date,datasets,datasets_cumul
2023-09-01,4,4
2023-10-01,10,14
2023-11-01,40,54
2023-12-01,4,58
2024-01-01,17,75
2024-02-01,10,85
2024-03-01,18,103
2024-04-01,4,107
2024-05-01,26,133
2024-06-01,0,133
2024-07-01,19,152
2024-08-01,3,155
2024-09-01,64,219
2024-10-01,0,219
2024-11-01,5,224
2024-12-01,1,225
2025-01-01,4,229
2025-02-01,8,237
2025-03-01,7,244
2025-04-01,0,244
2025-05-01,0,244
2025-06-01,0,244
2025-07-01,0,244
2025-08-01,2,246
2025-09-01,3,249
2025-10-01,1,250
2025-11-01,4,254
2025-12-01,0,254
2026-01-01,26,280
2026-02-01,0,280
2026-03-01,0,280
2026-04-01,8,288
2026-05-01,0,288
2026-06-01,1,289
2026-07-01,1,290
2026-08-01,0,290
2026-09-01,0,290
