id,title_en,title_bm,views,download_csv,download_parquet,download_svg,download_png
fuelprice,Price of Petroleum & Diesel,Harga Petrol & Diesel,619366,14181,2505,420,1513
population_state,Population Table: States,Jadual Penduduk: Negeri,358874,33814,4519,2,2
population_malaysia,Population Table: Malaysia,Jadual Penduduk: Malaysia,277758,35071,4903,1,3
population_district,Population Table: Administrative Districts,Jadual Penduduk: Daerah Pentadbiran,269088,21086,3535,0,0
crime_district,Crimes by District & Crime Type,Jenayah mengikut Daerah & Jenis Jenayah,154662,8768,1196,170,720
registration_transactions_car,Car Registration Transactions,Transaksi Pendaftaran Kereta,136323,57677,2551,0,0
hies_state,Household Income and Expenditure: States,Pendapatan dan Perbelanjaan Isi Rumah: Negeri,98491,10005,1265,211,540
covid_cases,Daily COVID-19 Cases by State,Kes COVID-19 Harian mengikut Negeri,95275,6255,814,117,419
lfs_year,Annual Principal Labour Force Statistics,Statistik Tenaga Buruh Tahunan Utama,81446,5919,1365,187,678
pricecatcher,PriceCatcher: Transactional Records,PriceCatcher: Rekod Transaksi,79004,24669,3256,0,0
births_annual_state,Annual Live Births by State,Kelahiran Hidup Tahunan mengikut Negeri,71951,3215,388,42,167
hies_malaysia_percentile,Household Income by Percentile,Pendapatan Isi Rumah mengikut Persentil,68359,3162,343,47,159
hh_poverty_state,Poverty by State,Kemiskinan Mengikut Negeri,63072,3063,464,77,313
gdp_state_real_supply,Annual Real GDP by State & Economic Sector,KDNK Sebenar Tahunan mengikut Negeri & Sektor Ekonomi,62519,2921,315,57,230
hh_income,Household Income,Pendapatan Isi Rumah,61333,5473,641,70,322
ridership_headline,Daily Public Transport Ridership,Penggunaan Pengangkutan Awam Harian,59331,6341,666,104,361
hh_income_state,Household Income by State,Pendapatan Isi Rumah Mengikut Negeri,57732,5138,401,44,189
lfs_state_sex,Annual Principal Labour Force Statistics by State & Sex,Statistik Tenaga Buruh Tahunan Utama mengikut Negeri & Jantina,55788,2760,774,47,178
lfs_year_sex,Annual Principal Labour Force Statistics by Sex,Statistik Tenaga Buruh Tahunan Utama mengikut Jantina,53389,2218,870,67,291
hies_district,Household Income and Expenditure: Administrative Districts,Pendapatan dan Perbelanjaan Isi Rumah: Daerah Pentadbiran,52465,5123,483,77,200
electricity_consumption,Monthly Electricity Consumption,Penggunaan Elektrik Bulanan,51605,4352,548,101,439
crops_state,Crop Area and Production by State,Keluasan dan Pengeluaran Tanaman mengikut Negeri,51156,3652,587,34,192
lfs_month_youth,Monthly Youth Unemployment,Pengangguran Belia Bulanan,50823,4145,762,240,886
lfs_qtr_state,Quarterly Principal Labour Force Statistics by State,Statistik Tenaga Buruh Suku Tahunan Utama mengikut Negeri,50082,2779,494,49,256
births,Daily Live Births,Kelahiran Hidup Harian,48963,3614,533,80,409
hies_state_percentile,Household Income by State & Percentile,Pendapatan Isi Rumah mengikut Negeri & Persentil,48704,2912,192,17,67
population_parlimen,Population Table: Parliamentary Constituencies,Jadual Penduduk: Kawasan Parlimen,48299,2984,527,0,0
gdp_gni_annual_real,Annual Real GDP & GNI: 1970 to Present,KDNK & PNK Sebenar Tahunan: 1970 sehingga Kini,47282,4308,535,179,725
population_dun,Population Table: State Legislative Assemblies (DUNs),Jadual Penduduk: Dewan Undangan Negeri (DUN),47236,3718,656,0,0
hh_poverty,Poverty,Kemiskinan,46248,2854,452,126,692
fdi_flows,Foreign Direct Investment (FDI) Flows,Aliran Pelaburan Langsung Asing (FDI),45874,3186,426,140,655
ipi,Industrial Production Index (IPI),Indeks Pengeluaran Industri (IPP),45784,3957,395,65,229
schools_district,Public Education Institutions by District,Institusi Pendidikan Awam mengikut Daerah,44052,3236,275,13,72
enrolment_school_district,Enrolment in Government Schools by District,Enrolmen di Sekolah Kerajaan mengikut Daerah,43627,2777,300,17,107
gdp_qtr_nominal_supply,Quarterly Nominal GDP by Economic Sector,KDNK Nominal Suku Tahunan mengikut Sektor Ekonomi,41731,8920,81,22,104
gdp_qtr_real_supply,Quarterly Real GDP by Economic Sector,KDNK Sebenar Suku Tahunan mengikut Sektor Ekonomi,41693,8859,78,23,76
interestrates,Monthly Interest Rates,Kadar Faedah Bulanan,40139,2559,314,46,134
gdp_qtr_real_demand,Quarterly Real GDP by Expenditure Type,KDNK Sebenar Suku Tahunan mengikut Jenis Perbelanjaan,38739,8835,42,3,17
air_pollution,Monthly Air Pollution,Pencemaran Udara Bulanan,38397,3635,538,71,355
deaths_state,Annual Deaths by State,Kematian Tahunan mengikut Negeri,37586,2070,258,30,134
cpi_headline,Monthly CPI by Division (2-digit),IHP Bulanan mengikut Bahagian (2-digit),37169,4699,383,73,284
gdp_qtr_nominal_demand,Quarterly Nominal GDP by Expenditure Type,KDNK Nominal Suku Tahunan mengikut Jenis Perbelanjaan,36810,8534,26,2,7
economic_indicators,Malaysian Economic Indicators,Indikator Ekonomi Malaysia,36378,1808,196,28,104
teachers_district,Teachers in Government Schools by District,Guru di Sekolah Kerajaan mengikut Daerah,36121,2255,317,12,78
