house,date,female,male
House of Representatives,2016-01-01,10.8,89.2
House of Representatives,2017-01-01,10.9,89.1
House of Representatives,2018-01-01,14.0,86.0
House of Representatives,2019-01-01,14.4,85.6
House of Representatives,2020-01-01,14.4,85.6
House of Representatives,2021-01-01,14.9,84.2
House of Representatives,2022-01-01,13.5,86.5
Senate,2016-01-01,22.4,77.6
Senate,2017-01-01,20.0,80.0
Senate,2018-01-01,18.5,81.5
Senate,2019-01-01,18.0,82.0
Senate,2020-01-01,13.8,86.2
Senate,2021-01-01,18.2,81.8
Senate,2022-01-01,14.8,85.2
