date,state,office,passports
2020-01-01,Malaysia,All,188991
2020-02-01,Malaysia,All,123109
2020-03-01,Malaysia,All,51693
2020-04-01,Malaysia,All,1563
2020-05-01,Malaysia,All,5632
2020-06-01,Malaysia,All,13923
2020-07-01,Malaysia,All,22255
2020-08-01,Malaysia,All,20822
2020-09-01,Malaysia,All,29107
2020-10-01,Malaysia,All,26589
2020-11-01,Malaysia,All,20000
2020-12-01,Malaysia,All,24421
2021-01-01,Malaysia,All,19437
2021-02-01,Malaysia,All,20696
2021-03-01,Malaysia,All,36938
2021-04-01,Malaysia,All,34701
2021-05-01,Malaysia,All,24608
2021-06-01,Malaysia,All,13203
2021-07-01,Malaysia,All,25465
2021-08-01,Malaysia,All,29295
2021-09-01,Malaysia,All,32332
2021-10-01,Malaysia,All,53643
2021-11-01,Malaysia,All,74017
2021-12-01,Malaysia,All,79670
2022-01-01,Malaysia,All,62782
2022-02-01,Malaysia,All,63703
2022-03-01,Malaysia,All,100432
2022-04-01,Malaysia,All,156679
2022-05-01,Malaysia,All,230303
2022-06-01,Malaysia,All,293894
2022-07-01,Malaysia,All,262137
2022-08-01,Malaysia,All,291181
2022-09-01,Malaysia,All,284910
2022-10-01,Malaysia,All,277514
2022-11-01,Malaysia,All,248066
2022-12-01,Malaysia,All,302686
2023-01-01,Malaysia,All,278810
2023-02-01,Malaysia,All,306536
2023-03-01,Malaysia,All,284693
2023-04-01,Malaysia,All,235249
2023-05-01,Malaysia,All,273983
2023-06-01,Malaysia,All,234408
2023-07-01,Malaysia,All,252604
2023-08-01,Malaysia,All,246125
2023-09-01,Malaysia,All,226146
2023-10-01,Malaysia,All,239268
2023-11-01,Malaysia,All,226851
2023-12-01,Malaysia,All,253152
2024-01-01,Malaysia,All,268160
2024-02-01,Malaysia,All,258146
2024-03-01,Malaysia,All,218356
2024-04-01,Malaysia,All,205924
2024-05-01,Malaysia,All,227862
2024-06-01,Malaysia,All,207777
2024-07-01,Malaysia,All,223129
2024-08-01,Malaysia,All,217832
2024-09-01,Malaysia,All,221730
2024-10-01,Malaysia,All,210219
2020-01-01,Johor,All,35037
2020-02-01,Johor,All,
2020-03-01,Johor,All,14343
2020-04-01,Johor,All,57
2020-05-01,Johor,All,2025
2020-06-01,Johor,All,3040
2020-07-01,Johor,All,4485
2020-08-01,Johor,All,4179
2020-09-01,Johor,All,12076
2020-10-01,Johor,All,14104
2020-11-01,Johor,All,9308
2020-12-01,Johor,All,6829
2021-01-01,Johor,All,5477
2021-02-01,Johor,All,6733
2021-03-01,Johor,All,13384
2021-04-01,Johor,All,13884
2021-05-01,Johor,All,9434
2021-06-01,Johor,All,3027
2021-07-01,Johor,All,9244
2021-08-01,Johor,All,11225
2021-09-01,Johor,All,9819
2021-10-01,Johor,All,11550
2021-11-01,Johor,All,14831
2021-12-01,Johor,All,18112
2022-01-01,Johor,All,17084
2022-02-01,Johor,All,13661
2022-03-01,Johor,All,20330
2022-04-01,Johor,All,35941
2022-05-01,Johor,All,55355
2022-06-01,Johor,All,61957
2022-07-01,Johor,All,51494
2022-08-01,Johor,All,49692
2022-09-01,Johor,All,44839
2022-10-01,Johor,All,45691
2022-11-01,Johor,All,38632
2022-12-01,Johor,All,52133
