date,instrument,value,volume
2019-01-01,charge_f2f,,
2019-02-01,charge_f2f,,
2019-03-01,charge_f2f,,
2019-04-01,charge_f2f,823845053.0,465311.0
2019-05-01,charge_f2f,826836024.0,340428.0
2019-06-01,charge_f2f,738326031.0,322902.0
2019-07-01,charge_f2f,814159256.9999998,368060.0
2019-08-01,charge_f2f,864757414.0,358874.0
2019-09-01,charge_f2f,823128357.0,347238.99999999994
2019-10-01,charge_f2f,812091728.0,377872.0
2019-11-01,charge_f2f,806058553.0000001,362220.0
2019-12-01,charge_f2f,811876823.0,338427.0
2020-01-01,charge_f2f,864581647.9999999,325815.99999999994
2020-02-01,charge_f2f,749694955.0,284488.0
2020-03-01,charge_f2f,740707226.0,216033.0
2020-04-01,charge_f2f,629388437.0,114595.0
2020-05-01,charge_f2f,625522113.9999999,143543.0
2020-06-01,charge_f2f,625771531.9999999,175792.0
2020-07-01,charge_f2f,703848159.0,200614.0
2020-08-01,charge_f2f,742269353.0,199665.0
2020-09-01,charge_f2f,760842736.0,207751.0
2020-10-01,charge_f2f,734629775.9999999,191505.00000000003
2020-11-01,charge_f2f,683448283.0,180043.0
2020-12-01,charge_f2f,700755137.0,207032.00000000006
2021-01-01,charge_f2f,819491953.0,188042.00000000003
2021-02-01,charge_f2f,643155537.0,166536.0
2021-03-01,charge_f2f,820356220.0,211795.00000000006
2021-04-01,charge_f2f,778858525.0,207365.0
2021-05-01,charge_f2f,702848242.0000001,180861.0
2021-06-01,charge_f2f,723999569.0,167173.99999999997
2021-07-01,charge_f2f,713890973.0,197721.99999999997
2021-08-01,charge_f2f,765612700.0,235401.0
2021-09-01,charge_f2f,790251275.0,236399.0
2021-10-01,charge_f2f,790886044.9999999,244322.0
2021-11-01,charge_f2f,813376106.0,254427.0
2021-12-01,charge_f2f,767778034.0,258261.99999999994
2022-01-01,charge_f2f,934473441.0000002,266321.0
2022-02-01,charge_f2f,793558452.0000001,243361.0
2022-03-01,charge_f2f,872299234.9999998,303278.0
2022-04-01,charge_f2f,947306493.0,315545.0
2022-05-01,charge_f2f,847705773.0,316079.0
2022-06-01,charge_f2f,964689317.0,353319.0
2022-07-01,charge_f2f,939867607.9999998,322337.0
2022-08-01,charge_f2f,1023817492.0,329583.0
2022-09-01,charge_f2f,935806897.0,285145.0
2022-10-01,charge_f2f,991302364.0000002,293473.0
2022-11-01,charge_f2f,957150051.0,290450.0
2022-12-01,charge_f2f,938794797.0,295923.0
2023-01-01,charge_f2f,1084666139.0000002,278571.0
2023-02-01,charge_f2f,980949940.0,281478.0
2023-03-01,charge_f2f,1073137935.0000002,330688.00000000006
2023-04-01,charge_f2f,983858223.0,287797.0
2023-05-01,charge_f2f,1042824016.9999998,325129.99999999994
2023-06-01,charge_f2f,1013531437.0,319416.0
2023-07-01,charge_f2f,1021364505.0,326627.0
2023-08-01,charge_f2f,1083634563.0,338773.0000000001
2023-09-01,charge_f2f,1021984608.0,340368.99999999994
2023-10-01,charge_f2f,1067919202.0,357725.0
2023-11-01,charge_f2f,1064368398.9999998,351528.0000000001
2023-12-01,charge_f2f,1012990350.0,340143.0
2024-01-01,charge_f2f,1134300661.9999998,362718.0
2024-02-01,charge_f2f,984410233.0,337594.99999999994
2024-03-01,charge_f2f,1057585672.0000002,377333.0
2024-04-01,charge_f2f,961805447.0000002,354743.0
2024-05-01,charge_f2f,1018916472.0,401106.0
2024-06-01,charge_f2f,1014000210.0,381083.0
2024-07-01,charge_f2f,1068045175.0,413087.0000000001
2024-08-01,charge_f2f,1001750138.0,410357.0
2024-09-01,charge_f2f,941387598.0,392258.0
2024-10-01,charge_f2f,1014194783.0000002,423798.0
2024-11-01,charge_f2f,1019199818.0,412618.0
2024-12-01,charge_f2f,1003549477.0,392204.0
2025-01-01,charge_f2f,1151636742.9999998,395289.9999999999
2025-02-01,charge_f2f,1020094372.0,373289.9999999999
2025-03-01,charge_f2f,1107591541.9999998,411966.0
2025-04-01,charge_f2f,1051817828.0,401517.0
2025-05-01,charge_f2f,1102328080.0,441140.0
2025-06-01,charge_f2f,1078512018.0,415588.0
2025-07-01,charge_f2f,1151605685.0,464826.0
2025-08-01,charge_f2f,1153310535.0,465795.0
2025-09-01,charge_f2f,1099358498.9999998,439484.0000000001
2025-10-01,charge_f2f,1208546424.0000002,481749.0
2025-11-01,charge_f2f,1149023617.0,474203.0
2025-12-01,charge_f2f,1093493761.0,455764.0000000001
2026-01-01,charge_f2f,1334894621.0,474134.0000000001
2026-02-01,charge_f2f,1077012677.0,398839.0
2026-03-01,charge_f2f,1190834600.0,442108.0
2026-04-01,charge_f2f,1166876742.0,480173.9999999999
2026-05-01,charge_f2f,1125824551.0,477102.9999999999
2026-06-01,charge_f2f,1106363130.0,469613.0
2019-01-01,charge_online,,
2019-02-01,charge_online,,
2019-03-01,charge_online,,
2019-04-01,charge_online,301140090.0,174117.0
2019-05-01,charge_online,288281069.0,197663.0
2019-06-01,charge_online,274858627.0,172725.0
2019-07-01,charge_online,289701201.0,193998.0
2019-08-01,charge_online,291087916.0,189343.0
2019-09-01,charge_online,278283282.0,164360.0
2019-10-01,charge_online,308212332.0,162083.0
2019-11-01,charge_online,240595647.0,156057.0
2019-12-01,charge_online,194590255.0,132836.0
2020-01-01,charge_online,184057982.0,129497.0
2020-02-01,charge_online,169517869.0,117947.0
2020-03-01,charge_online,141112857.0,83418.0
2020-04-01,charge_online,96440324.0,38382.0
2020-05-01,charge_online,121540682.0,46381.0
2020-06-01,charge_online,127255075.0,50895.0
2020-07-01,charge_online,139018527.0,79515.0
2020-08-01,charge_online,127859889.0,68825.0
2020-09-01,charge_online,138616914.0,75747.0
2020-10-01,charge_online,137234351.0,66135.0
2020-11-01,charge_online,143240350.0,64559.00000000001
2020-12-01,charge_online,165279943.0,75497.0
2021-01-01,charge_online,132417651.0,63600.00000000001
2021-02-01,charge_online,131532340.0,55003.0
2021-03-01,charge_online,150572724.0,71240.0
2021-04-01,charge_online,146765423.0,68258.0
2021-05-01,charge_online,139273222.0,63864.00000000001
2021-06-01,charge_online,130314054.0,62765.0
2021-07-01,charge_online,129178136.99999999,62927.0
2021-08-01,charge_online,131154200.0,65043.0
2021-09-01,charge_online,149800364.0,72968.0
2021-10-01,charge_online,171287027.0,91414.0
2021-11-01,charge_online,181912060.0,101127.0
2021-12-01,charge_online,210175965.0,113731.0
2022-01-01,charge_online,178533562.0,103349.0
2022-02-01,charge_online,161544459.0,92279.0
2022-03-01,charge_online,223788064.0,119309.0
2022-04-01,charge_online,246227809.0,135702.0
2022-05-01,charge_online,231084895.0,142384.0
2022-06-01,charge_online,248145725.0,156124.0
2022-07-01,charge_online,234525032.0,155124.0
2022-08-01,charge_online,273451094.0,174891.0
2022-09-01,charge_online,266083941.99999997,162590.0
2022-10-01,charge_online,250262633.0,160766.0
2022-11-01,charge_online,282046725.0,178055.0
2022-12-01,charge_online,282918191.0,155831.0
2023-01-01,charge_online,237984631.0,146202.0
2023-02-01,charge_online,275008700.0,166420.0
2023-03-01,charge_online,332488983.0,192294.0
2023-04-01,charge_online,270111039.0,152675.0
2023-05-01,charge_online,304243096.0,190948.0
2023-06-01,charge_online,261931183.99999997,163479.0
2023-07-01,charge_online,266373147.00000003,167817.0
2023-08-01,charge_online,314595387.0,191893.0
2023-09-01,charge_online,303453691.0,172683.0
2023-10-01,charge_online,316450130.0,195625.0
2023-11-01,charge_online,325855514.0,196782.0
2023-12-01,charge_online,306659369.0,183454.0
2024-01-01,charge_online,332943452.0,206220.0
2024-02-01,charge_online,348840388.0,179819.0
2024-03-01,charge_online,334310890.0,203626.0
2024-04-01,charge_online,317723350.0,192696.0
2024-05-01,charge_online,335614777.0,217734.0
2024-06-01,charge_online,332142103.0,205306.0
2024-07-01,charge_online,338346449.0,219120.0
2024-08-01,charge_online,367397128.0,225472.0
2024-09-01,charge_online,355858790.0,213232.0
2024-10-01,charge_online,397306691.0,243814.0
2024-11-01,charge_online,402674889.0,249754.0
2024-12-01,charge_online,405488515.0,229371.0
2025-01-01,charge_online,378919777.0,230711.0
2025-02-01,charge_online,366165800.0,238611.0
2025-03-01,charge_online,452100896.0,263357.0
2025-04-01,charge_online,419638169.0,251560.99999999997
2025-05-01,charge_online,451971018.0,285035.0
2025-06-01,charge_online,416903638.0,261614.0
2025-07-01,charge_online,454534386.0,303102.0
2025-08-01,charge_online,466495819.0,299459.0
2025-09-01,charge_online,424103796.0,283210.0
2025-10-01,charge_online,482485885.0,312358.0
2025-11-01,charge_online,448534959.0,310690.0
2025-12-01,charge_online,436474979.0,285961.0
2026-01-01,charge_online,426429473.0,314049.0
2026-02-01,charge_online,403870473.0,264160.0
2026-03-01,charge_online,442765217.0,303022.0
2026-04-01,charge_online,505972048.0,330416.0
2026-05-01,charge_online,529129578.00000006,323260.0
2026-06-01,charge_online,512632354.99999994,331224.0
2019-01-01,cheque,135030863104.30997,8683212.0
2019-02-01,cheque,90336252966.84,6008610.0
2019-03-01,cheque,108306112233.52,7166676.000000001
2019-04-01,cheque,111727269230.65999,7703343.0
2019-05-01,cheque,109683092491.7,7483912.0
2019-06-01,cheque,89341315660.12,5870154.0
