date,system,value,volume
2019-01-01,dd,3527380891.06,355819.0
2019-02-01,dd,3108772890.29,347732.00000000006
2019-03-01,dd,3464107934.12,363469.0
2019-04-01,dd,3679215811.1599994,368624.0
2019-05-01,dd,3553669855.74,369548.0
2019-06-01,dd,3308798671.4,367026.0
2019-07-01,dd,3713160250.55,388826.0
2019-08-01,dd,3636450065.04,378258.0
2019-09-01,dd,3413660592.1,384385.0
2019-10-01,dd,3838917222.48,397951.0
2019-11-01,dd,3506704835.33,386441.0
2019-12-01,dd,3776066935.0500007,401699.0
2020-01-01,dd,3886305126.419999,403227.0
2020-02-01,dd,3550907815.06,405422.0
2020-03-01,dd,3518902510.12,406698.0
2020-04-01,dd,2803462350.8799996,334597.0
2020-05-01,dd,2832721794.37,343505.0
2020-06-01,dd,3611449342.59,366813.0
2020-07-01,dd,3986866262.35,410930.0
2020-08-01,dd,3830113053.82,394233.0
2020-09-01,dd,4380789407.919999,464151.00000000006
2020-10-01,dd,3793483958.37,465415.0
2020-11-01,dd,4089917355.47,472080.0
2020-12-01,dd,4549239926.900001,545240.0
2021-01-01,dd,4106129593.7100005,624597.0
2021-02-01,dd,4256703089.4100003,594804.9999999999
2021-03-01,dd,5335286817.290001,735852.0
2021-04-01,dd,4387704557.46,701908.0
2021-05-01,dd,4089839642.750003,713737.0
2021-06-01,dd,3821331585.31,738094.0
2021-07-01,dd,3767707190.9000006,746011.0
2021-08-01,dd,3989213372.13,766540.0
2021-09-01,dd,4578768537.440002,810808.0
2021-10-01,dd,4331789721.36,819193.0
2021-11-01,dd,5082553055.390002,868798.0
2021-12-01,dd,5187290684.39,897978.0
2022-01-01,dd,5272413525.309999,899401.0
2022-02-01,dd,4452409701.049998,878094.0
2022-03-01,dd,5257380680.320001,987253.0
2022-04-01,dd,5564128353.71,968537.0
2022-05-01,dd,5326841838.43,999884.0
2022-06-01,dd,5188511506.610001,1031697.0000000001
2022-07-01,dd,5156102201.710001,1018983.9999999999
2022-08-01,dd,5454928552.299999,1037272.0
2022-09-01,dd,5683419010.429999,1058806.0
2022-10-01,dd,5267241789.930002,1038006.9999999999
2022-11-01,dd,5565952308.349999,1045023.0
2022-12-01,dd,5734449043.829999,1068515.0
2023-01-01,dd,5592898825.02,1085336.0
2023-02-01,dd,5222987999.68,1034909.0000000001
2023-03-01,dd,6669588827.28,1173022.0
2023-04-01,dd,5207555224.849999,1110626.0
2023-05-01,dd,6443635025.61,1174311.0
2023-06-01,dd,5605587624.93,1154945.0
2023-07-01,dd,5951741359.499999,1153974.0
2023-08-01,dd,5907553914.200001,1173431.0
2023-09-01,dd,5611243150.16,1176820.0
2023-10-01,dd,6158070998.99,1213109.0
2023-11-01,dd,5767984394.3,1235577.0
2023-12-01,dd,5485970567.47,1213705.0
2024-01-01,dd,6193202754.33,1265091.0
2024-02-01,dd,5772707358.400001,1237274.0
2024-03-01,dd,6305135796.900001,1226569.0
2024-04-01,dd,6661435122.94,1311105.0
2024-05-01,dd,6308597294.150001,1341925.0
2024-06-01,dd,5619638440.96,1279366.0
2024-07-01,dd,6828461164.62,1378065.0
2024-08-01,dd,6049869390.1500025,1340973.0
2024-09-01,dd,5859680756.239999,1356822.0
2024-10-01,dd,6403856440.690001,1426940.0
2024-11-01,dd,6205747506.950001,1386177.0
2024-12-01,dd,6803813162.760001,1444786.0
2025-01-01,dd,6412007258.819998,1468978.0
2025-02-01,dd,5990287158.54,1417879.0
2025-03-01,dd,6390758531.06,1525264.0
2025-04-01,dd,7269827649.740001,1563449.0
2025-05-01,dd,6878126022.030001,1535181.0
2025-06-01,dd,6755808065.450001,1522217.0
2025-07-01,dd,7979101176.540001,1649615.0
2025-08-01,dd,7219941369.990002,1604848.0
2025-09-01,dd,7700546765.539998,1644858.0
2025-10-01,dd,8031277283.930001,1748849.0
2025-11-01,dd,7188092527.219997,1665380.0
2025-12-01,dd,8414065038.309995,1806866.0
2026-01-01,dd,7520760963.1399975,1754041.000000001
2026-02-01,dd,6921490248.470001,1698980.000000001
2026-03-01,dd,8405476231.870001,1898010.0
2026-04-01,dd,8467358340.24,1879283.0
2026-05-01,dd,8327428565.709999,1885380.0
2026-06-01,dd,8259749915.3099985,1843390.0
2019-01-01,fpx,6557173726.66,10713381.0
2019-02-01,fpx,5930793156.33,9358483.0
2019-03-01,fpx,6728026484.149999,12441025.0
2019-04-01,fpx,6655729031.28,11967677.0
2019-05-01,fpx,7709027271.54,13825979.0
2019-06-01,fpx,6193461523.29,12324497.0
2019-07-01,fpx,8086688143.559999,15057205.0
2019-08-01,fpx,7377144749.67,15443884.0
2019-09-01,fpx,8214834602.02,16402433.000000002
2019-10-01,fpx,8323319990.779998,17984633.000000004
2019-11-01,fpx,9660182090.13,18329141.0
2019-12-01,fpx,8384023289.36,20310312.000000004
2020-01-01,fpx,9821230634.2,19818101.0
2020-02-01,fpx,8552173941.84,18169986.0
2020-03-01,fpx,8912564772.959997,21942595.0
2020-04-01,fpx,9462146233.73,29380778.999999996
2020-05-01,fpx,11489831439.3,32006624.000000004
2020-06-01,fpx,10727371582.239998,29923499.0
2020-07-01,fpx,13176172098.849998,32910314.0
2020-08-01,fpx,11795888306.05,32711310.000000004
2020-09-01,fpx,12560276385.439999,33408429.0
2020-10-01,fpx,13614800922.2,36981994.0
2020-11-01,fpx,13818885976.369999,39247430.0
2020-12-01,fpx,14584650682.51,40706882.0
2021-01-01,fpx,16682231504.730001,45885363.0
2021-02-01,fpx,14611810329.88,44171594.0
2021-03-01,fpx,17185557746.58,47683867.0
2021-04-01,fpx,16644741667.099993,46343669.99999999
2021-05-01,fpx,18613702258.38981,51338273.0
2021-06-01,fpx,16862822733.139996,55659074.99999999
2021-07-01,fpx,19033681888.36,58113766.00000001
2021-08-01,fpx,17790191396.98,60944390.0
2021-09-01,fpx,19245196016.669994,59260528.0
2021-10-01,fpx,20737185676.65,57382054.0
2021-11-01,fpx,20480140755.189995,54175587.0
2021-12-01,fpx,21864605540.37,57546595.0
2022-01-01,fpx,21526439779.140003,53396380.0
2022-02-01,fpx,17122624279.53,46182512.0
2022-03-01,fpx,20558417839.63,54710481.0
2022-04-01,fpx,20519660749.2,57024728.0
2022-05-01,fpx,20221290361.03001,52049957.0
2022-06-01,fpx,18199976657.01,51583109.0
2022-07-01,fpx,21913021807.56,54055074.0
2022-08-01,fpx,22109707913.2,53393298.0
2022-09-01,fpx,21200224677.61,53492581.0
2022-10-01,fpx,21127568361.57,56155444.0
2022-11-01,fpx,23030245591.710052,55409959.0
2022-12-01,fpx,23893924849.909992,58621970.00000001
2023-01-01,fpx,21518193870.249996,57916523.0
2023-02-01,fpx,21451379574.04,52380602.0
2023-03-01,fpx,24874382833.91,61624574.0
2023-04-01,fpx,21555438164.650005,58094285.0
2023-05-01,fpx,25765937696.99,59494165.0
2023-06-01,fpx,21745721153.379997,58165943.0
2023-07-01,fpx,27445504761.99,60745275.0
2023-08-01,fpx,27649470403.87,58783636.0
2023-09-01,fpx,25441271759.67,57361079.0
2023-10-01,fpx,24916399765.909996,61857371.0
2023-11-01,fpx,28265400617.55,62134550.0
2023-12-01,fpx,28926912504.670002,65687342.0
2024-01-01,fpx,30999843447.94,65580389.99999999
2024-02-01,fpx,27592299506.96,61795215.0
2024-03-01,fpx,32101685700.400005,71978850.0
2024-04-01,fpx,28340168561.969997,62075360.0
2024-05-01,fpx,32331059440.730003,69999525.0
2024-06-01,fpx,28021646963.84,66940047.00000001
2024-07-01,fpx,33523066181.909996,67947747.0
2024-08-01,fpx,34322778337.390026,68947406.0
2024-09-01,fpx,31704991950.840008,67269058.0
2024-10-01,fpx,31923330256.5,72993386.0
2024-11-01,fpx,34491645586.829994,73212196.0
2024-12-01,fpx,34983998888.12998,77594850.0
2025-01-01,fpx,38634053058.96,76110019.0
2025-02-01,fpx,32905998322.62,68179776.0
2025-03-01,fpx,40429273241.720024,85596754.0
2025-04-01,fpx,35540338492.36001,73361928.0
2025-05-01,fpx,39162388916.1,79528549.0
2025-06-01,fpx,31210363079.529987,72890053.0
2025-07-01,fpx,41353363980.54001,80796265.0
2025-08-01,fpx,41345829552.33999,81657387.0
2025-09-01,fpx,40337609844.81998,78243063.0
2025-10-01,fpx,40743458679.16998,87296094.0
2025-11-01,fpx,41520637683.119934,83957950.0
