date,screenings
2019-04-15,58
2019-04-16,154
2019-04-17,155
2019-04-18,185
2019-04-19,140
2019-04-20,164
2019-04-21,114
2019-04-22,200
2019-04-23,237
2019-04-24,206
2019-04-25,244
2019-04-26,188
2019-04-27,205
2019-04-28,181
2019-04-29,290
2019-04-30,237
2019-05-01,114
2019-05-02,301
2019-05-03,238
2019-05-04,180
2019-05-05,153
2019-05-06,254
2019-05-07,297
2019-05-08,254
2019-05-09,291
2019-05-10,275
2019-05-11,152
2019-05-12,128
2019-05-13,349
2019-05-14,323
2019-05-15,392
2019-05-16,386
2019-05-17,319
2019-05-18,184
2019-05-19,114
2019-05-20,385
2019-05-21,427
2019-05-22,408
2019-05-23,351
2019-05-24,288
2019-05-25,192
2019-05-26,198
2019-05-27,425
2019-05-28,353
2019-05-29,381
2019-05-30,361
2019-05-31,251
2019-06-01,144
2019-06-02,143
2019-06-03,214
2019-06-04,165
2019-06-05,42
2019-06-06,88
2019-06-07,196
2019-06-08,181
2019-06-09,183
2019-06-10,388
2019-06-11,406
2019-06-12,453
2019-06-13,557
2019-06-14,424
2019-06-15,359
2019-06-16,213
2019-06-17,516
2019-06-18,582
2019-06-19,546
2019-06-20,568
2019-06-21,442
2019-06-22,341
2019-06-23,289
2019-06-24,518
2019-06-25,564
2019-06-26,608
2019-06-27,573
2019-06-28,474
2019-06-29,308
2019-06-30,230
2019-07-01,589
2019-07-02,587
2019-07-03,496
2019-07-04,538
2019-07-05,473
2019-07-06,280
2019-07-07,256
2019-07-08,620
2019-07-09,589
2019-07-10,565
2019-07-11,624
2019-07-12,416
2019-07-13,371
2019-07-14,340
2019-07-15,616
2019-07-16,693
2019-07-17,736
2019-07-18,682
2019-07-19,536
2019-07-20,332
2019-07-21,321
2019-07-22,713
2019-07-23,698
2019-07-24,681
2019-07-25,708
2019-07-26,572
2019-07-27,294
2019-07-28,369
2019-07-29,650
2019-07-30,228
2019-07-31,742
2019-08-01,757
2019-08-02,434
2019-08-03,377
2019-08-04,396
2019-08-05,1030
2019-08-06,933
2019-08-07,946
2019-08-08,922
2019-08-09,669
2019-08-10,363
2019-08-11,166
2019-08-12,329
2019-08-13,726
2019-08-14,923
2019-08-15,783
2019-08-16,630
2019-08-17,475
