series,date,section,index,index_sa
abs,2010-01-01,A,92.7,
abs,2010-02-01,A,93.3,
abs,2010-03-01,A,96.1,
abs,2010-04-01,A,95.3,
abs,2010-05-01,A,94.1,
abs,2010-06-01,A,94.4,
abs,2010-07-01,A,93.7,
abs,2010-08-01,A,98.5,
abs,2010-09-01,A,99.4,
abs,2010-10-01,A,104.6,
abs,2010-11-01,A,114.2,
abs,2010-12-01,A,123.8,
abs,2011-01-01,A,131.5,
abs,2011-02-01,A,134.1,
abs,2011-03-01,A,123.0,
abs,2011-04-01,A,121.0,
abs,2011-05-01,A,121.4,
abs,2011-06-01,A,120.6,
abs,2011-07-01,A,115.6,
abs,2011-08-01,A,116.6,
abs,2011-09-01,A,116.1,
abs,2011-10-01,A,109.4,
abs,2011-11-01,A,113.2,
abs,2011-12-01,A,113.1,
abs,2012-01-01,A,115.5,
abs,2012-02-01,A,114.1,
abs,2012-03-01,A,118.3,
abs,2012-04-01,A,120.9,
abs,2012-05-01,A,114.8,
abs,2012-06-01,A,107.5,
abs,2012-07-01,A,108.7,
abs,2012-08-01,A,102.9,
abs,2012-09-01,A,100.6,
abs,2012-10-01,A,90.7,
abs,2012-11-01,A,89.4,
abs,2012-12-01,A,87.3,
abs,2013-01-01,A,91.6,
abs,2013-02-01,A,95.2,
abs,2013-03-01,A,93.4,
abs,2013-04-01,A,91.7,
abs,2013-05-01,A,91.7,
abs,2013-06-01,A,94.4,
abs,2013-07-01,A,93.2,
abs,2013-08-01,A,93.0,
abs,2013-09-01,A,93.8,
abs,2013-10-01,A,93.4,
abs,2013-11-01,A,98.4,
abs,2013-12-01,A,100.2,
abs,2014-01-01,A,99.9,
abs,2014-02-01,A,102.1,
abs,2014-03-01,A,107.0,
abs,2014-04-01,A,102.1,
abs,2014-05-01,A,99.5,
abs,2014-06-01,A,97.0,
abs,2014-07-01,A,95.4,
abs,2014-08-01,A,89.5,
abs,2014-09-01,A,87.4,
abs,2014-10-01,A,89.3,
abs,2014-11-01,A,90.8,
abs,2014-12-01,A,90.9,
abs,2015-01-01,A,95.2,
abs,2015-02-01,A,95.0,
abs,2015-03-01,A,95.0,
abs,2015-04-01,A,92.0,
abs,2015-05-01,A,91.4,
abs,2015-06-01,A,93.7,
abs,2015-07-01,A,92.1,
abs,2015-08-01,A,87.5,
abs,2015-09-01,A,88.4,
abs,2015-10-01,A,93.1,
abs,2015-11-01,A,91.0,
abs,2015-12-01,A,92.5,
abs,2016-01-01,A,95.8,
abs,2016-02-01,A,99.0,
abs,2016-03-01,A,102.9,
abs,2016-04-01,A,105.8,
abs,2016-05-01,A,105.9,
abs,2016-06-01,A,104.9,
abs,2016-07-01,A,102.0,
abs,2016-08-01,A,107.9,
abs,2016-09-01,A,113.4,
abs,2016-10-01,A,108.8,
abs,2016-11-01,A,115.3,
abs,2016-12-01,A,124.4,
abs,2017-01-01,A,127.8,123.4
abs,2017-02-01,A,128.0,123.6
abs,2017-03-01,A,117.1,113.0
abs,2017-04-01,A,110.0,107.6
abs,2017-05-01,A,112.7,111.9
abs,2017-06-01,A,110.1,110.4
abs,2017-07-01,A,110.0,111.3
abs,2017-08-01,A,111.4,116.1
abs,2017-09-01,A,115.1,118.2
abs,2017-10-01,A,113.5,117.9
abs,2017-11-01,A,113.2,115.2
abs,2017-12-01,A,107.2,107.2
abs,2018-01-01,A,110.1,106.2
abs,2018-02-01,A,107.3,103.6
abs,2018-03-01,A,104.2,100.7
abs,2018-04-01,A,102.5,100.3
abs,2018-05-01,A,101.9,101.2
abs,2018-06-01,A,99.0,99.4
abs,2018-07-01,A,97.4,98.6
abs,2018-08-01,A,96.7,100.8
abs,2018-09-01,A,96.2,98.7
abs,2018-10-01,A,93.5,97.0
abs,2018-11-01,A,87.5,89.0
abs,2018-12-01,A,88.3,88.2
abs,2019-01-01,A,94.7,90.7
abs,2019-02-01,A,94.9,90.9
abs,2019-03-01,A,89.4,89.5
abs,2019-04-01,A,90.3,90.3
abs,2019-05-01,A,88.9,90.0
abs,2019-06-01,A,89.9,92.3
abs,2019-07-01,A,91.1,93.5
abs,2019-08-01,A,95.8,96.5
abs,2019-09-01,A,95.1,94.5
abs,2019-10-01,A,94.9,95.4
abs,2019-11-01,A,104.9,105.3
abs,2019-12-01,A,107.6,108.9
abs,2020-01-01,A,111.7,106.9
abs,2020-02-01,A,103.6,99.2
abs,2020-03-01,A,101.4,101.7
abs,2020-04-01,A,98.2,98.4
abs,2020-05-01,A,93.8,95.0
abs,2020-06-01,A,103.5,106.4
abs,2020-07-01,A,104.4,107.2
abs,2020-08-01,A,110.7,111.3
abs,2020-09-01,A,113.5,112.5
abs,2020-10-01,A,114.8,115.4
abs,2020-11-01,A,127.5,127.9
abs,2020-12-01,A,132.9,134.6
abs,2021-01-01,A,136.9,129.1
abs,2021-02-01,A,139.9,135.5
abs,2021-03-01,A,143.1,144.7
abs,2021-04-01,A,147.1,150.5
abs,2021-05-01,A,150.1,154.0
abs,2021-06-01,A,134.3,138.1
abs,2021-07-01,A,137.3,141.4
abs,2021-08-01,A,141.2,141.7
abs,2021-09-01,A,141.6,142.1
abs,2021-10-01,A,143.3,146.5
abs,2021-11-01,A,151.8,147.5
abs,2021-12-01,A,147.4,144.1
abs,2022-01-01,A,154.0,145.2
abs,2022-02-01,A,164.6,159.5
abs,2022-03-01,A,178.7,178.3
abs,2022-04-01,A,173.6,175.0
abs,2022-05-01,A,175.2,179.1
abs,2022-06-01,A,158.6,162.7
abs,2022-07-01,A,123.2,128.2
abs,2022-08-01,A,126.3,127.6
abs,2022-09-01,A,119.6,121.8
abs,2022-10-01,A,117.2,121.2
abs,2022-11-01,A,123.7,119.7
abs,2022-12-01,A,121.6,118.1
abs,2023-01-01,A,121.8,116.067
abs,2023-02-01,A,121.7,117.41
abs,2023-03-01,A,127.5,124.487
abs,2023-04-01,A,128.5,124.596
abs,2023-05-01,A,127.6,128.976
abs,2023-06-01,A,126.3,126.273
abs,2023-07-01,A,127.6,133.109
abs,2023-08-01,A,125.1,129.33
abs,2023-09-01,A,123.4,128.887
abs,2023-10-01,A,121.6,127.681
abs,2023-11-01,A,123.2,120.808
abs,2023-12-01,A,123.2,121.589
abs,2024-01-01,A,125.7,123.5
