series,date,division,index
abs,2015-01-01,01,89.9
abs,2015-02-01,01,89.7
abs,2015-03-01,01,89.2
abs,2015-04-01,01,85.6
abs,2015-05-01,01,85.6
abs,2015-06-01,01,88.1
abs,2015-07-01,01,85.9
abs,2015-08-01,01,79.7
abs,2015-09-01,01,80.8
abs,2015-10-01,01,86.2
abs,2015-11-01,01,84.1
abs,2015-12-01,01,85.9
abs,2016-01-01,01,89.3
abs,2016-02-01,01,94.0
abs,2016-03-01,01,97.6
abs,2016-04-01,01,101.2
abs,2016-05-01,01,101.0
abs,2016-06-01,01,100.2
abs,2016-07-01,01,96.4
abs,2016-08-01,01,104.1
abs,2016-09-01,01,110.7
abs,2016-10-01,01,105.3
abs,2016-11-01,01,113.2
abs,2016-12-01,01,124.7
abs,2017-01-01,01,128.4
abs,2017-02-01,01,127.8
abs,2017-03-01,01,114.2
abs,2017-04-01,01,105.7
abs,2017-05-01,01,108.8
abs,2017-06-01,01,105.3
abs,2017-07-01,01,105.1
abs,2017-08-01,01,106.9
abs,2017-09-01,01,112.3
abs,2017-10-01,01,110.2
abs,2017-11-01,01,109.5
abs,2017-12-01,01,102.1
abs,2018-01-01,01,104.2
abs,2018-02-01,01,101.4
abs,2018-03-01,01,97.9
abs,2018-04-01,01,95.8
abs,2018-05-01,01,95.3
abs,2018-06-01,01,92.5
abs,2018-07-01,01,90.1
abs,2018-08-01,01,89.3
abs,2018-09-01,01,88.5
abs,2018-10-01,01,85.6
abs,2018-11-01,01,78.9
abs,2018-12-01,01,79.6
abs,2019-01-01,01,86.4
abs,2019-02-01,01,86.5
abs,2019-03-01,01,80.6
abs,2019-04-01,01,82.1
abs,2019-05-01,01,80.6
abs,2019-06-01,01,81.3
abs,2019-07-01,01,82.5
abs,2019-08-01,01,87.9
abs,2019-09-01,01,87.0
abs,2019-10-01,01,86.9
abs,2019-11-01,01,97.8
abs,2019-12-01,01,100.7
abs,2020-01-01,01,105.0
abs,2020-02-01,01,96.7
abs,2020-03-01,01,94.5
abs,2020-04-01,01,91.1
abs,2020-05-01,01,86.6
abs,2020-06-01,01,97.4
abs,2020-07-01,01,98.4
abs,2020-08-01,01,105.3
abs,2020-09-01,01,108.3
abs,2020-10-01,01,110.0
abs,2020-11-01,01,123.8
abs,2020-12-01,01,129.9
abs,2021-01-01,01,134.1
abs,2021-02-01,01,136.8
abs,2021-03-01,01,140.2
abs,2021-04-01,01,144.6
abs,2021-05-01,01,148.3
abs,2021-06-01,01,130.7
abs,2021-07-01,01,133.6
abs,2021-08-01,01,137.4
abs,2021-09-01,01,137.7
abs,2021-10-01,01,139.5
abs,2021-11-01,01,149.1
abs,2021-12-01,01,144.1
abs,2022-01-01,01,151.2
abs,2022-02-01,01,163.0
abs,2022-03-01,01,178.7
abs,2022-04-01,01,172.7
abs,2022-05-01,01,174.6
abs,2022-06-01,01,155.8
abs,2022-07-01,01,116.4
abs,2022-08-01,01,119.6
abs,2022-09-01,01,111.7
abs,2022-10-01,01,109.4
abs,2022-11-01,01,115.9
abs,2022-12-01,01,114.1
abs,2023-01-01,01,114.0
abs,2023-02-01,01,114.1
abs,2023-03-01,01,119.7
abs,2023-04-01,01,120.8
abs,2023-05-01,01,118.7
abs,2023-06-01,01,117.3
abs,2023-07-01,01,118.8
abs,2023-08-01,01,117.2
abs,2023-09-01,01,115.4
abs,2023-10-01,01,113.2
abs,2023-11-01,01,115.2
abs,2023-12-01,01,115.1
abs,2024-01-01,01,117.9
abs,2024-02-01,01,121.1
abs,2024-03-01,01,127.8
abs,2024-04-01,01,129.0
abs,2024-05-01,01,122.1
abs,2024-06-01,01,123.9
abs,2024-07-01,01,125.1
abs,2024-08-01,01,121.8
abs,2024-09-01,01,124.0
abs,2024-10-01,01,132.7
abs,2024-11-01,01,146.2
abs,2024-12-01,01,148.6
abs,2025-01-01,01,142.2
abs,2025-02-01,01,144.0
abs,2025-03-01,01,143.3
abs,2025-04-01,01,134.1
abs,2025-05-01,01,125.3
abs,2025-06-01,01,124.0
abs,2025-07-01,01,127.7
abs,2025-08-01,01,132.6
abs,2025-09-01,01,135.4
abs,2025-10-01,01,136.8
abs,2025-11-01,01,129.5
abs,2025-12-01,01,127.7
abs,2026-01-01,01,127.9
abs,2026-02-01,01,128.8
abs,2026-03-01,01,132.6
abs,2026-04-01,01,136.4
abs,2026-05-01,01,136.7
abs,2026-06-01,01,135.9
abs,2026-07-01,01,136.9
growth_yoy,2016-01-01,01,-0.667
growth_yoy,2016-02-01,01,4.794
growth_yoy,2016-03-01,01,9.417
growth_yoy,2016-04-01,01,18.224
growth_yoy,2016-05-01,01,17.991
growth_yoy,2016-06-01,01,13.734
growth_yoy,2016-07-01,01,12.224
growth_yoy,2016-08-01,01,30.615
growth_yoy,2016-09-01,01,37.005
growth_yoy,2016-10-01,01,22.158
growth_yoy,2016-11-01,01,34.602
growth_yoy,2016-12-01,01,45.169
growth_yoy,2017-01-01,01,43.785
growth_yoy,2017-02-01,01,35.957
growth_yoy,2017-03-01,01,17.008
growth_yoy,2017-04-01,01,4.447
growth_yoy,2017-05-01,01,7.723
growth_yoy,2017-06-01,01,5.09
growth_yoy,2017-07-01,01,9.025
growth_yoy,2017-08-01,01,2.69
growth_yoy,2017-09-01,01,1.445
growth_yoy,2017-10-01,01,4.653
growth_yoy,2017-11-01,01,-3.269
growth_yoy,2017-12-01,01,-18.123
growth_yoy,2018-01-01,01,-18.847
growth_yoy,2018-02-01,01,-20.657
growth_yoy,2018-03-01,01,-14.273
growth_yoy,2018-04-01,01,-9.366
growth_yoy,2018-05-01,01,-12.408
growth_yoy,2018-06-01,01,-12.156
growth_yoy,2018-07-01,01,-14.272
growth_yoy,2018-08-01,01,-16.464
growth_yoy,2018-09-01,01,-21.193
growth_yoy,2018-10-01,01,-22.323
growth_yoy,2018-11-01,01,-27.945
growth_yoy,2018-12-01,01,-22.037
growth_yoy,2019-01-01,01,-17.083
growth_yoy,2019-02-01,01,-14.694
growth_yoy,2019-03-01,01,-17.671
growth_yoy,2019-04-01,01,-14.301
growth_yoy,2019-05-01,01,-15.425
growth_yoy,2019-06-01,01,-12.108
growth_yoy,2019-07-01,01,-8.435
growth_yoy,2019-08-01,01,-1.568
growth_yoy,2019-09-01,01,-1.695
growth_yoy,2019-10-01,01,1.519
growth_yoy,2019-11-01,01,23.954
growth_yoy,2019-12-01,01,26.508
growth_yoy,2020-01-01,01,21.528
growth_yoy,2020-02-01,01,11.792
growth_yoy,2020-03-01,01,17.246
growth_yoy,2020-04-01,01,10.962
growth_yoy,2020-05-01,01,7.444
growth_yoy,2020-06-01,01,19.803
growth_yoy,2020-07-01,01,19.273
growth_yoy,2020-08-01,01,19.795
growth_yoy,2020-09-01,01,24.483
growth_yoy,2020-10-01,01,26.582
growth_yoy,2020-11-01,01,26.585
growth_yoy,2020-12-01,01,28.997
growth_yoy,2021-01-01,01,27.714
growth_yoy,2021-02-01,01,41.468
growth_yoy,2021-03-01,01,48.36
growth_yoy,2021-04-01,01,58.727
growth_yoy,2021-05-01,01,71.247
growth_yoy,2021-06-01,01,34.189
growth_yoy,2021-07-01,01,35.772
growth_yoy,2021-08-01,01,30.484
growth_yoy,2021-09-01,01,27.147
growth_yoy,2021-10-01,01,26.818
growth_yoy,2021-11-01,01,20.436
growth_yoy,2021-12-01,01,10.931
growth_yoy,2022-01-01,01,12.752
growth_yoy,2022-02-01,01,19.152
growth_yoy,2022-03-01,01,27.461
growth_yoy,2022-04-01,01,19.433
growth_yoy,2022-05-01,01,17.734
growth_yoy,2022-06-01,01,19.204
growth_yoy,2022-07-01,01,-12.874
growth_yoy,2022-08-01,01,-12.955
growth_yoy,2022-09-01,01,-18.882
growth_yoy,2022-10-01,01,-21.577
growth_yoy,2022-11-01,01,-22.267
growth_yoy,2022-12-01,01,-20.819
growth_yoy,2023-01-01,01,-24.603
growth_yoy,2023-02-01,01,-30.0
growth_yoy,2023-03-01,01,-33.016
growth_yoy,2023-04-01,01,-30.052
growth_yoy,2023-05-01,01,-32.016
growth_yoy,2023-06-01,01,-24.711
growth_yoy,2023-07-01,01,2.062
growth_yoy,2023-08-01,01,-2.007
growth_yoy,2023-09-01,01,3.312
growth_yoy,2023-10-01,01,3.473
growth_yoy,2023-11-01,01,-0.604
growth_yoy,2023-12-01,01,0.876
growth_yoy,2024-01-01,01,3.421
growth_yoy,2024-02-01,01,6.135
growth_yoy,2024-03-01,01,6.767
growth_yoy,2024-04-01,01,6.788
growth_yoy,2024-05-01,01,2.864
growth_yoy,2024-06-01,01,5.627
growth_yoy,2024-07-01,01,5.303
growth_yoy,2024-08-01,01,3.925
growth_yoy,2024-09-01,01,7.452
growth_yoy,2024-10-01,01,17.226
growth_yoy,2024-11-01,01,26.91
growth_yoy,2024-12-01,01,29.105
growth_yoy,2025-01-01,01,20.611
growth_yoy,2025-02-01,01,18.91
growth_yoy,2025-03-01,01,12.128
growth_yoy,2025-04-01,01,3.953
growth_yoy,2025-05-01,01,2.621
growth_yoy,2025-06-01,01,0.081
growth_yoy,2025-07-01,01,2.078
growth_yoy,2025-08-01,01,8.867
growth_yoy,2025-09-01,01,9.194
growth_yoy,2025-10-01,01,3.09
growth_yoy,2025-11-01,01,-11.423
growth_yoy,2025-12-01,01,-14.065
growth_yoy,2026-01-01,01,-10.056
growth_yoy,2026-02-01,01,-10.556
growth_yoy,2026-03-01,01,-7.467
growth_yoy,2026-04-01,01,1.715
growth_yoy,2026-05-01,01,9.098
growth_yoy,2026-06-01,01,9.597
growth_yoy,2026-07-01,01,7.204
growth_mom,2015-02-01,01,-0.222
growth_mom,2015-03-01,01,-0.557
growth_mom,2015-04-01,01,-4.036
growth_mom,2015-05-01,01,0.0
growth_mom,2015-06-01,01,2.921
growth_mom,2015-07-01,01,-2.497
growth_mom,2015-08-01,01,-7.218
growth_mom,2015-09-01,01,1.38
growth_mom,2015-10-01,01,6.683
growth_mom,2015-11-01,01,-2.436
growth_mom,2015-12-01,01,2.14
growth_mom,2016-01-01,01,3.958
growth_mom,2016-02-01,01,5.263
growth_mom,2016-03-01,01,3.83
growth_mom,2016-04-01,01,3.689
growth_mom,2016-05-01,01,-0.198
growth_mom,2016-06-01,01,-0.792
growth_mom,2016-07-01,01,-3.792
growth_mom,2016-08-01,01,7.988
growth_mom,2016-09-01,01,6.34
growth_mom,2016-10-01,01,-4.878
growth_mom,2016-11-01,01,7.502
growth_mom,2016-12-01,01,10.159
growth_mom,2017-01-01,01,2.967
growth_mom,2017-02-01,01,-0.467
growth_mom,2017-03-01,01,-10.642
growth_mom,2017-04-01,01,-7.443
growth_mom,2017-05-01,01,2.933
growth_mom,2017-06-01,01,-3.217
growth_mom,2017-07-01,01,-0.19
growth_mom,2017-08-01,01,1.713
growth_mom,2017-09-01,01,5.051
growth_mom,2017-10-01,01,-1.87
growth_mom,2017-11-01,01,-0.635
growth_mom,2017-12-01,01,-6.758
growth_mom,2018-01-01,01,2.057
growth_mom,2018-02-01,01,-2.687
growth_mom,2018-03-01,01,-3.452
growth_mom,2018-04-01,01,-2.145
growth_mom,2018-05-01,01,-0.522
growth_mom,2018-06-01,01,-2.938
growth_mom,2018-07-01,01,-2.595
growth_mom,2018-08-01,01,-0.888
growth_mom,2018-09-01,01,-0.896
growth_mom,2018-10-01,01,-3.277
growth_mom,2018-11-01,01,-7.827
growth_mom,2018-12-01,01,0.887
growth_mom,2019-01-01,01,8.543
growth_mom,2019-02-01,01,0.116
growth_mom,2019-03-01,01,-6.821
growth_mom,2019-04-01,01,1.861
growth_mom,2019-05-01,01,-1.827
growth_mom,2019-06-01,01,0.868
growth_mom,2019-07-01,01,1.476
growth_mom,2019-08-01,01,6.545
growth_mom,2019-09-01,01,-1.024
growth_mom,2019-10-01,01,-0.115
growth_mom,2019-11-01,01,12.543
growth_mom,2019-12-01,01,2.965
growth_mom,2020-01-01,01,4.27
growth_mom,2020-02-01,01,-7.905
growth_mom,2020-03-01,01,-2.275
growth_mom,2020-04-01,01,-3.598
growth_mom,2020-05-01,01,-4.94
growth_mom,2020-06-01,01,12.471
growth_mom,2020-07-01,01,1.027
growth_mom,2020-08-01,01,7.012
growth_mom,2020-09-01,01,2.849
growth_mom,2020-10-01,01,1.57
growth_mom,2020-11-01,01,12.545
growth_mom,2020-12-01,01,4.927
growth_mom,2021-01-01,01,3.233
growth_mom,2021-02-01,01,2.013
growth_mom,2021-03-01,01,2.485
growth_mom,2021-04-01,01,3.138
growth_mom,2021-05-01,01,2.559
growth_mom,2021-06-01,01,-11.868
growth_mom,2021-07-01,01,2.219
growth_mom,2021-08-01,01,2.844
growth_mom,2021-09-01,01,0.218
growth_mom,2021-10-01,01,1.307
growth_mom,2021-11-01,01,6.882
growth_mom,2021-12-01,01,-3.353
growth_mom,2022-01-01,01,4.927
growth_mom,2022-02-01,01,7.804
growth_mom,2022-03-01,01,9.632
growth_mom,2022-04-01,01,-3.358
growth_mom,2022-05-01,01,1.1
growth_mom,2022-06-01,01,-10.767
growth_mom,2022-07-01,01,-25.289
growth_mom,2022-08-01,01,2.749
growth_mom,2022-09-01,01,-6.605
growth_mom,2022-10-01,01,-2.059
growth_mom,2022-11-01,01,5.941
growth_mom,2022-12-01,01,-1.553
growth_mom,2023-01-01,01,-0.088
growth_mom,2023-02-01,01,0.088
growth_mom,2023-03-01,01,4.908
growth_mom,2023-04-01,01,0.919
growth_mom,2023-05-01,01,-1.738
growth_mom,2023-06-01,01,-1.179
growth_mom,2023-07-01,01,1.279
growth_mom,2023-08-01,01,-1.347
growth_mom,2023-09-01,01,-1.536
growth_mom,2023-10-01,01,-1.906
growth_mom,2023-11-01,01,1.767
growth_mom,2023-12-01,01,-0.087
growth_mom,2024-01-01,01,2.433
growth_mom,2024-02-01,01,2.714
growth_mom,2024-03-01,01,5.533
growth_mom,2024-04-01,01,0.939
growth_mom,2024-05-01,01,-5.349
growth_mom,2024-06-01,01,1.474
growth_mom,2024-07-01,01,0.969
growth_mom,2024-08-01,01,-2.638
growth_mom,2024-09-01,01,1.806
growth_mom,2024-10-01,01,7.016
growth_mom,2024-11-01,01,10.173
growth_mom,2024-12-01,01,1.642
growth_mom,2025-01-01,01,-4.307
growth_mom,2025-02-01,01,1.266
growth_mom,2025-03-01,01,-0.486
growth_mom,2025-04-01,01,-6.42
growth_mom,2025-05-01,01,-6.562
growth_mom,2025-06-01,01,-1.038
growth_mom,2025-07-01,01,2.984
growth_mom,2025-08-01,01,3.837
growth_mom,2025-09-01,01,2.112
growth_mom,2025-10-01,01,1.034
growth_mom,2025-11-01,01,-5.336
growth_mom,2025-12-01,01,-1.39
growth_mom,2026-01-01,01,0.157
growth_mom,2026-02-01,01,0.704
growth_mom,2026-03-01,01,2.95
growth_mom,2026-04-01,01,2.866
growth_mom,2026-05-01,01,0.22
growth_mom,2026-06-01,01,-0.585
growth_mom,2026-07-01,01,0.736
abs,2015-01-01,02,116.4
abs,2015-02-01,02,114.7
abs,2015-03-01,02,116.2
abs,2015-04-01,02,116.1
abs,2015-05-01,02,112.8
abs,2015-06-01,02,117.9
abs,2015-07-01,02,120.9
abs,2015-08-01,02,123.8
abs,2015-09-01,02,124.3
abs,2015-10-01,02,125.0
abs,2015-11-01,02,125.9
abs,2015-12-01,02,125.9
abs,2016-01-01,02,125.9
abs,2016-02-01,02,126.7
abs,2016-03-01,02,131.4
abs,2016-04-01,02,131.0
abs,2016-05-01,02,132.8
abs,2016-06-01,02,130.0
abs,2016-07-01,02,127.1
abs,2016-08-01,02,126.2
abs,2016-09-01,02,127.9
abs,2016-10-01,02,127.9
abs,2016-11-01,02,126.6
abs,2016-12-01,02,126.6
abs,2017-01-01,02,126.6
abs,2017-02-01,02,126.7
abs,2017-03-01,02,125.0
abs,2017-04-01,02,126.1
abs,2017-05-01,02,128.6
abs,2017-06-01,02,129.7
abs,2017-07-01,02,129.0
abs,2017-08-01,02,129.7
abs,2017-09-01,02,129.0
abs,2017-10-01,02,129.7
abs,2017-11-01,02,134.4
abs,2017-12-01,02,134.4
abs,2018-01-01,02,134.4
abs,2018-02-01,02,134.4
abs,2018-03-01,02,134.4
abs,2018-04-01,02,134.4
abs,2018-05-01,02,134.4
abs,2018-06-01,02,135.3
abs,2018-07-01,02,135.3
abs,2018-08-01,02,135.7
abs,2018-09-01,02,137.9
abs,2018-10-01,02,139.5
abs,2018-11-01,02,139.6
abs,2018-12-01,02,139.2
abs,2019-01-01,02,141.2
abs,2019-02-01,02,142.1
abs,2019-03-01,02,142.1
abs,2019-04-01,02,141.2
abs,2019-05-01,02,141.2
abs,2019-06-01,02,141.2
abs,2019-07-01,02,141.2
abs,2019-08-01,02,141.2
abs,2019-09-01,02,142.2
abs,2019-10-01,02,142.3
abs,2019-11-01,02,145.7
abs,2019-12-01,02,146.5
abs,2020-01-01,02,146.6
abs,2020-02-01,02,146.3
abs,2020-03-01,02,146.3
abs,2020-04-01,02,145.9
abs,2020-05-01,02,145.9
abs,2020-06-01,02,145.9
abs,2020-07-01,02,145.9
abs,2020-08-01,02,145.9
abs,2020-09-01,02,145.9
abs,2020-10-01,02,141.9
abs,2020-11-01,02,145.9
abs,2020-12-01,02,145.9
abs,2021-01-01,02,145.9
abs,2021-02-01,02,145.9
abs,2021-03-01,02,145.9
abs,2021-04-01,02,146.8
abs,2021-05-01,02,146.4
abs,2021-06-01,02,148.0
abs,2021-07-01,02,149.4
abs,2021-08-01,02,153.5
abs,2021-09-01,02,158.1
abs,2021-10-01,02,158.2
abs,2021-11-01,02,159.0
abs,2021-12-01,02,161.9
abs,2022-01-01,02,158.3
abs,2022-02-01,02,152.4
abs,2022-03-01,02,152.6
abs,2022-04-01,02,156.5
abs,2022-05-01,02,155.9
abs,2022-06-01,02,162.9
abs,2022-07-01,02,168.3
abs,2022-08-01,02,170.3
abs,2022-09-01,02,179.1
abs,2022-10-01,02,174.7
abs,2022-11-01,02,177.0
abs,2022-12-01,02,176.9
abs,2023-01-01,02,175.7
abs,2023-02-01,02,177.4
abs,2023-03-01,02,180.3
abs,2023-04-01,02,181.9
abs,2023-05-01,02,185.6
abs,2023-06-01,02,183.2
abs,2023-07-01,02,179.8
abs,2023-08-01,02,183.7
abs,2023-09-01,02,182.3
abs,2023-10-01,02,183.9
abs,2023-11-01,02,185.1
abs,2023-12-01,02,183.8
abs,2024-01-01,02,184.1
abs,2024-02-01,02,184.0
abs,2024-03-01,02,184.0
abs,2024-04-01,02,184.0
abs,2024-05-01,02,179.7
abs,2024-06-01,02,179.6
abs,2024-07-01,02,179.0
abs,2024-08-01,02,173.3
abs,2024-09-01,02,173.0
abs,2024-10-01,02,172.3
abs,2024-11-01,02,167.0
abs,2024-12-01,02,166.9
abs,2025-01-01,02,166.9
abs,2025-02-01,02,165.4
abs,2025-03-01,02,166.0
abs,2025-04-01,02,162.9
abs,2025-05-01,02,166.0
abs,2025-06-01,02,164.1
abs,2025-07-01,02,164.7
abs,2025-08-01,02,165.2
abs,2025-09-01,02,164.9
abs,2025-10-01,02,164.0
abs,2025-11-01,02,164.6
abs,2025-12-01,02,164.6
abs,2026-01-01,02,164.6
abs,2026-02-01,02,164.6
abs,2026-03-01,02,164.8
abs,2026-04-01,02,165.3
abs,2026-05-01,02,165.6
abs,2026-06-01,02,165.7
abs,2026-07-01,02,165.7
growth_yoy,2016-01-01,02,8.162
growth_yoy,2016-02-01,02,10.462
growth_yoy,2016-03-01,02,13.081
growth_yoy,2016-04-01,02,12.834
growth_yoy,2016-05-01,02,17.73
growth_yoy,2016-06-01,02,10.263
growth_yoy,2016-07-01,02,5.128
growth_yoy,2016-08-01,02,1.939
growth_yoy,2016-09-01,02,2.896
growth_yoy,2016-10-01,02,2.32
growth_yoy,2016-11-01,02,0.556
growth_yoy,2016-12-01,02,0.556
growth_yoy,2017-01-01,02,0.556
growth_yoy,2017-02-01,02,0.0
growth_yoy,2017-03-01,02,-4.871
growth_yoy,2017-04-01,02,-3.74
growth_yoy,2017-05-01,02,-3.163
growth_yoy,2017-06-01,02,-0.231
growth_yoy,2017-07-01,02,1.495
growth_yoy,2017-08-01,02,2.773
growth_yoy,2017-09-01,02,0.86
growth_yoy,2017-10-01,02,1.407
growth_yoy,2017-11-01,02,6.161
growth_yoy,2017-12-01,02,6.161
growth_yoy,2018-01-01,02,6.161
growth_yoy,2018-02-01,02,6.077
growth_yoy,2018-03-01,02,7.52
growth_yoy,2018-04-01,02,6.582
growth_yoy,2018-05-01,02,4.51
growth_yoy,2018-06-01,02,4.318
growth_yoy,2018-07-01,02,4.884
growth_yoy,2018-08-01,02,4.626
growth_yoy,2018-09-01,02,6.899
growth_yoy,2018-10-01,02,7.556
growth_yoy,2018-11-01,02,3.869
growth_yoy,2018-12-01,02,3.571
growth_yoy,2019-01-01,02,5.06
growth_yoy,2019-02-01,02,5.729
growth_yoy,2019-03-01,02,5.729
growth_yoy,2019-04-01,02,5.06
growth_yoy,2019-05-01,02,5.06
growth_yoy,2019-06-01,02,4.361
growth_yoy,2019-07-01,02,4.361
growth_yoy,2019-08-01,02,4.053
growth_yoy,2019-09-01,02,3.118
growth_yoy,2019-10-01,02,2.007
growth_yoy,2019-11-01,02,4.37
growth_yoy,2019-12-01,02,5.244
growth_yoy,2020-01-01,02,3.824
growth_yoy,2020-02-01,02,2.956
growth_yoy,2020-03-01,02,2.956
growth_yoy,2020-04-01,02,3.329
growth_yoy,2020-05-01,02,3.329
growth_yoy,2020-06-01,02,3.329
growth_yoy,2020-07-01,02,3.329
growth_yoy,2020-08-01,02,3.329
growth_yoy,2020-09-01,02,2.602
growth_yoy,2020-10-01,02,-0.281
growth_yoy,2020-11-01,02,0.137
growth_yoy,2020-12-01,02,-0.41
growth_yoy,2021-01-01,02,-0.477
growth_yoy,2021-02-01,02,-0.273
growth_yoy,2021-03-01,02,-0.273
growth_yoy,2021-04-01,02,0.617
growth_yoy,2021-05-01,02,0.343
growth_yoy,2021-06-01,02,1.439
growth_yoy,2021-07-01,02,2.399
growth_yoy,2021-08-01,02,5.209
growth_yoy,2021-09-01,02,8.362
growth_yoy,2021-10-01,02,11.487
growth_yoy,2021-11-01,02,8.979
growth_yoy,2021-12-01,02,10.966
growth_yoy,2022-01-01,02,8.499
growth_yoy,2022-02-01,02,4.455
growth_yoy,2022-03-01,02,4.592
growth_yoy,2022-04-01,02,6.608
growth_yoy,2022-05-01,02,6.489
growth_yoy,2022-06-01,02,10.068
growth_yoy,2022-07-01,02,12.651
