series,date,group,index
abs,2010-01-01,011,101.8
abs,2010-02-01,011,98.1
abs,2010-03-01,011,100.6
abs,2010-04-01,011,100.5
abs,2010-05-01,011,102.7
abs,2010-06-01,011,99.8
abs,2010-07-01,011,100.0
abs,2010-08-01,011,96.5
abs,2010-09-01,011,97.1
abs,2010-10-01,011,101.2
abs,2010-11-01,011,101.5
abs,2010-12-01,011,99.9
abs,2011-01-01,011,106.7
abs,2011-02-01,011,107.6
abs,2011-03-01,011,101.5
abs,2011-04-01,011,104.5
abs,2011-05-01,011,104.6
abs,2011-06-01,011,105.4
abs,2011-07-01,011,99.4
abs,2011-08-01,011,99.8
abs,2011-09-01,011,104.9
abs,2011-10-01,011,106.8
abs,2011-11-01,011,106.5
abs,2011-12-01,011,109.8
abs,2012-01-01,011,108.1
abs,2012-02-01,011,104.9
abs,2012-03-01,011,102.9
abs,2012-04-01,011,98.3
abs,2012-05-01,011,99.8
abs,2012-06-01,011,97.5
abs,2012-07-01,011,100.1
abs,2012-08-01,011,102.1
abs,2012-09-01,011,102.7
abs,2012-10-01,011,106.0
abs,2012-11-01,011,106.2
abs,2012-12-01,011,110.1
abs,2013-01-01,011,113.7
abs,2013-02-01,011,112.5
abs,2013-03-01,011,110.6
abs,2013-04-01,011,110.5
abs,2013-05-01,011,114.4
abs,2013-06-01,011,114.1
abs,2013-07-01,011,111.8
abs,2013-08-01,011,108.6
abs,2013-09-01,011,105.8
abs,2013-10-01,011,108.7
abs,2013-11-01,011,110.2
abs,2013-12-01,011,111.9
abs,2014-01-01,011,115.5
abs,2014-02-01,011,111.7
abs,2014-03-01,011,108.4
abs,2014-04-01,011,110.1
abs,2014-05-01,011,108.3
abs,2014-06-01,011,111.1
abs,2014-07-01,011,110.8
abs,2014-08-01,011,110.4
abs,2014-09-01,011,110.6
abs,2014-10-01,011,112.5
abs,2014-11-01,011,114.7
abs,2014-12-01,011,129.8
abs,2015-01-01,011,135.0
abs,2015-02-01,011,132.3
abs,2015-03-01,011,130.2
abs,2015-04-01,011,127.5
abs,2015-05-01,011,128.8
abs,2015-06-01,011,127.8
abs,2015-07-01,011,129.7
abs,2015-08-01,011,130.6
abs,2015-09-01,011,129.7
abs,2015-10-01,011,129.4
abs,2015-11-01,011,130.0
abs,2015-12-01,011,129.6
abs,2016-01-01,011,130.1
abs,2016-02-01,011,134.5
abs,2016-03-01,011,132.1
abs,2016-04-01,011,131.4
abs,2016-05-01,011,133.7
abs,2016-06-01,011,132.6
abs,2016-07-01,011,129.5
abs,2016-08-01,011,130.0
abs,2016-09-01,011,128.8
abs,2016-10-01,011,127.6
abs,2016-11-01,011,129.9
abs,2016-12-01,011,132.6
abs,2017-01-01,011,133.5
abs,2017-02-01,011,136.0
abs,2017-03-01,011,133.4
abs,2017-04-01,011,134.2
abs,2017-05-01,011,134.9
abs,2017-06-01,011,133.4
abs,2017-07-01,011,131.3
abs,2017-08-01,011,131.1
abs,2017-09-01,011,131.4
abs,2017-10-01,011,132.4
abs,2017-11-01,011,135.6
abs,2017-12-01,011,137.4
abs,2018-01-01,011,138.2
abs,2018-02-01,011,137.5
abs,2018-03-01,011,134.1
abs,2018-04-01,011,132.8
abs,2018-05-01,011,132.6
abs,2018-06-01,011,133.9
abs,2018-07-01,011,133.4
abs,2018-08-01,011,132.7
abs,2018-09-01,011,132.1
abs,2018-10-01,011,134.2
abs,2018-11-01,011,135.6
abs,2018-12-01,011,134.3
abs,2019-01-01,011,134.6
abs,2019-02-01,011,134.7
abs,2019-03-01,011,133.7
abs,2019-04-01,011,133.6
abs,2019-05-01,011,134.3
abs,2019-06-01,011,134.6
abs,2019-07-01,011,135.0
abs,2019-08-01,011,134.5
abs,2019-09-01,011,133.4
abs,2019-10-01,011,133.8
abs,2019-11-01,011,134.0
abs,2019-12-01,011,136.0
abs,2020-01-01,011,138.8
abs,2020-02-01,011,137.1
abs,2020-03-01,011,134.1
abs,2020-04-01,011,133.7
abs,2020-05-01,011,132.5
abs,2020-06-01,011,133.0
abs,2020-07-01,011,134.1
abs,2020-08-01,011,132.4
abs,2020-09-01,011,130.7
abs,2020-10-01,011,131.9
abs,2020-11-01,011,133.1
abs,2020-12-01,011,137.0
abs,2021-01-01,011,139.8
abs,2021-02-01,011,140.7
abs,2021-03-01,011,138.6
abs,2021-04-01,011,137.8
abs,2021-05-01,011,135.1
abs,2021-06-01,011,135.8
abs,2021-07-01,011,135.8
abs,2021-08-01,011,135.4
abs,2021-09-01,011,136.7
abs,2021-10-01,011,138.1
abs,2021-11-01,011,142.2
abs,2021-12-01,011,144.4
abs,2022-01-01,011,144.5
abs,2022-02-01,011,142.1
abs,2022-03-01,011,141.6
abs,2022-04-01,011,144.0
abs,2022-05-01,011,145.7
abs,2022-06-01,011,146.0
abs,2022-07-01,011,144.5
abs,2022-08-01,011,145.0
abs,2022-09-01,011,146.0
abs,2022-10-01,011,142.0
abs,2022-11-01,011,142.1
abs,2022-12-01,011,146.4
abs,2023-01-01,011,147.6
abs,2023-02-01,011,149.2
abs,2023-03-01,011,148.1
abs,2023-04-01,011,146.0
abs,2023-05-01,011,143.2
abs,2023-06-01,011,141.7
abs,2023-07-01,011,141.0
abs,2023-08-01,011,141.6
abs,2023-09-01,011,139.1
abs,2023-10-01,011,137.9
abs,2023-11-01,011,138.9
abs,2023-12-01,011,138.2
abs,2024-01-01,011,141.4
abs,2024-02-01,011,136.6
abs,2024-03-01,011,133.4
abs,2024-04-01,011,134.0
abs,2024-05-01,011,137.3
abs,2024-06-01,011,138.2
abs,2024-07-01,011,134.1
abs,2024-08-01,011,132.9
abs,2024-09-01,011,134.9
abs,2024-10-01,011,135.9
abs,2024-11-01,011,132.9
abs,2024-12-01,011,137.7
abs,2025-01-01,011,142.0
abs,2025-02-01,011,139.9
abs,2025-03-01,011,136.8
abs,2025-04-01,011,135.2
abs,2025-05-01,011,134.5
abs,2025-06-01,011,135.4
abs,2025-07-01,011,135.8
abs,2025-08-01,011,136.2
abs,2025-09-01,011,136.0
abs,2025-10-01,011,140.4
abs,2025-11-01,011,142.2
abs,2025-12-01,011,147.8
abs,2026-01-01,011,145.5
abs,2026-02-01,011,140.5
abs,2026-03-01,011,140.1
abs,2026-04-01,011,140.6
abs,2026-05-01,011,142.2
abs,2026-06-01,011,141.0
abs,2026-07-01,011,142.3
growth_yoy,2011-01-01,011,4.813
growth_yoy,2011-02-01,011,9.684
growth_yoy,2011-03-01,011,0.895
growth_yoy,2011-04-01,011,3.98
growth_yoy,2011-05-01,011,1.85
growth_yoy,2011-06-01,011,5.611
growth_yoy,2011-07-01,011,-0.6
growth_yoy,2011-08-01,011,3.42
growth_yoy,2011-09-01,011,8.033
growth_yoy,2011-10-01,011,5.534
growth_yoy,2011-11-01,011,4.926
growth_yoy,2011-12-01,011,9.91
growth_yoy,2012-01-01,011,1.312
growth_yoy,2012-02-01,011,-2.509
growth_yoy,2012-03-01,011,1.379
growth_yoy,2012-04-01,011,-5.933
growth_yoy,2012-05-01,011,-4.589
growth_yoy,2012-06-01,011,-7.495
growth_yoy,2012-07-01,011,0.704
growth_yoy,2012-08-01,011,2.305
growth_yoy,2012-09-01,011,-2.097
growth_yoy,2012-10-01,011,-0.749
growth_yoy,2012-11-01,011,-0.282
growth_yoy,2012-12-01,011,0.273
growth_yoy,2013-01-01,011,5.18
growth_yoy,2013-02-01,011,7.245
growth_yoy,2013-03-01,011,7.483
growth_yoy,2013-04-01,011,12.411
growth_yoy,2013-05-01,011,14.629
growth_yoy,2013-06-01,011,17.026
growth_yoy,2013-07-01,011,11.688
growth_yoy,2013-08-01,011,6.366
growth_yoy,2013-09-01,011,3.019
growth_yoy,2013-10-01,011,2.547
growth_yoy,2013-11-01,011,3.766
growth_yoy,2013-12-01,011,1.635
growth_yoy,2014-01-01,011,1.583
growth_yoy,2014-02-01,011,-0.711
growth_yoy,2014-03-01,011,-1.989
growth_yoy,2014-04-01,011,-0.362
growth_yoy,2014-05-01,011,-5.332
growth_yoy,2014-06-01,011,-2.629
growth_yoy,2014-07-01,011,-0.894
growth_yoy,2014-08-01,011,1.657
growth_yoy,2014-09-01,011,4.537
growth_yoy,2014-10-01,011,3.496
growth_yoy,2014-11-01,011,4.083
growth_yoy,2014-12-01,011,15.996
growth_yoy,2015-01-01,011,16.883
growth_yoy,2015-02-01,011,18.442
growth_yoy,2015-03-01,011,20.111
growth_yoy,2015-04-01,011,15.804
growth_yoy,2015-05-01,011,18.929
growth_yoy,2015-06-01,011,15.032
growth_yoy,2015-07-01,011,17.058
growth_yoy,2015-08-01,011,18.297
growth_yoy,2015-09-01,011,17.269
growth_yoy,2015-10-01,011,15.022
growth_yoy,2015-11-01,011,13.339
growth_yoy,2015-12-01,011,-0.154
growth_yoy,2016-01-01,011,-3.63
growth_yoy,2016-02-01,011,1.663
growth_yoy,2016-03-01,011,1.459
growth_yoy,2016-04-01,011,3.059
growth_yoy,2016-05-01,011,3.804
growth_yoy,2016-06-01,011,3.756
growth_yoy,2016-07-01,011,-0.154
growth_yoy,2016-08-01,011,-0.459
growth_yoy,2016-09-01,011,-0.694
growth_yoy,2016-10-01,011,-1.391
growth_yoy,2016-11-01,011,-0.077
growth_yoy,2016-12-01,011,2.315
growth_yoy,2017-01-01,011,2.613
growth_yoy,2017-02-01,011,1.115
growth_yoy,2017-03-01,011,0.984
growth_yoy,2017-04-01,011,2.131
growth_yoy,2017-05-01,011,0.898
growth_yoy,2017-06-01,011,0.603
growth_yoy,2017-07-01,011,1.39
