series,date,section,index
abs,2010-01-01,0,97.3
abs,2010-02-01,0,97.6
abs,2010-03-01,0,98.6
abs,2010-04-01,0,99.5
abs,2010-05-01,0,99.8
abs,2010-06-01,0,100.1
abs,2010-07-01,0,101.0
abs,2010-08-01,0,100.7
abs,2010-09-01,0,100.5
abs,2010-10-01,0,101.2
abs,2010-11-01,0,101.3
abs,2010-12-01,0,102.2
abs,2011-01-01,0,106.2
abs,2011-02-01,0,107.7
abs,2011-03-01,0,107.6
abs,2011-04-01,0,108.1
abs,2011-05-01,0,109.4
abs,2011-06-01,0,111.4
abs,2011-07-01,0,111.0
abs,2011-08-01,0,111.2
abs,2011-09-01,0,113.2
abs,2011-10-01,0,112.6
abs,2011-11-01,0,112.5
abs,2011-12-01,0,111.8
abs,2012-01-01,0,112.3
abs,2012-02-01,0,110.5
abs,2012-03-01,0,110.2
abs,2012-04-01,0,109.7
abs,2012-05-01,0,110.5
abs,2012-06-01,0,110.5
abs,2012-07-01,0,110.2
abs,2012-08-01,0,109.7
abs,2012-09-01,0,110.4
abs,2012-10-01,0,110.5
abs,2012-11-01,0,110.1
abs,2012-12-01,0,110.9
abs,2013-01-01,0,111.4
abs,2013-02-01,0,110.9
abs,2013-03-01,0,111.0
abs,2013-04-01,0,110.8
abs,2013-05-01,0,110.8
abs,2013-06-01,0,112.2
abs,2013-07-01,0,112.4
abs,2013-08-01,0,111.6
abs,2013-09-01,0,111.5
abs,2013-10-01,0,112.7
abs,2013-11-01,0,113.3
abs,2013-12-01,0,114.1
abs,2014-01-01,0,116.1
abs,2014-02-01,0,117.2
abs,2014-03-01,0,116.7
abs,2014-04-01,0,116.4
abs,2014-05-01,0,116.5
abs,2014-06-01,0,117.2
abs,2014-07-01,0,116.9
abs,2014-08-01,0,116.7
abs,2014-09-01,0,117.0
abs,2014-10-01,0,116.7
abs,2014-11-01,0,116.6
abs,2014-12-01,0,118.2
abs,2015-01-01,0,119.1
abs,2015-02-01,0,119.1
abs,2015-03-01,0,119.5
abs,2015-04-01,0,118.5
abs,2015-05-01,0,118.2
abs,2015-06-01,0,118.2
abs,2015-07-01,0,118.5
abs,2015-08-01,0,118.7
abs,2015-09-01,0,118.8
abs,2015-10-01,0,118.5
abs,2015-11-01,0,117.8
abs,2015-12-01,0,118.5
abs,2016-01-01,0,119.8
abs,2016-02-01,0,119.5
abs,2016-03-01,0,120.0
abs,2016-04-01,0,119.5
abs,2016-05-01,0,120.5
abs,2016-06-01,0,120.9
abs,2016-07-01,0,123.0
abs,2016-08-01,0,122.9
abs,2016-09-01,0,122.1
abs,2016-10-01,0,120.4
abs,2016-11-01,0,120.7
abs,2016-12-01,0,120.8
abs,2017-01-01,0,122.6
abs,2017-02-01,0,125.8
abs,2017-03-01,0,125.5
abs,2017-04-01,0,125.9
abs,2017-05-01,0,127.1
abs,2017-06-01,0,128.2
abs,2017-07-01,0,128.8
abs,2017-08-01,0,128.3
abs,2017-09-01,0,127.2
abs,2017-10-01,0,126.8
abs,2017-11-01,0,128.0
abs,2017-12-01,0,128.0
abs,2018-01-01,0,129.2
abs,2018-02-01,0,127.7
abs,2018-03-01,0,127.6
abs,2018-04-01,0,126.9
abs,2018-05-01,0,125.6
abs,2018-06-01,0,125.0
abs,2018-07-01,0,125.6
abs,2018-08-01,0,124.9
abs,2018-09-01,0,124.3
abs,2018-10-01,0,124.8
abs,2018-11-01,0,124.7
abs,2018-12-01,0,126.1
abs,2019-01-01,0,127.5
abs,2019-02-01,0,126.9
abs,2019-03-01,0,125.7
abs,2019-04-01,0,123.9
abs,2019-05-01,0,124.0
abs,2019-06-01,0,124.5
abs,2019-07-01,0,126.1
abs,2019-08-01,0,126.3
abs,2019-09-01,0,125.1
abs,2019-10-01,0,124.6
abs,2019-11-01,0,124.4
abs,2019-12-01,0,124.9
abs,2020-01-01,0,125.1
abs,2020-02-01,0,124.1
abs,2020-03-01,0,123.5
abs,2020-04-01,0,122.5
abs,2020-05-01,0,124.1
abs,2020-06-01,0,126.0
abs,2020-07-01,0,124.6
abs,2020-08-01,0,123.9
abs,2020-09-01,0,123.1
abs,2020-10-01,0,123.0
abs,2020-11-01,0,122.7
abs,2020-12-01,0,123.3
abs,2021-01-01,0,124.7
abs,2021-02-01,0,125.6
abs,2021-03-01,0,125.8
abs,2021-04-01,0,127.2
abs,2021-05-01,0,127.3
abs,2021-06-01,0,127.7
abs,2021-07-01,0,127.7
abs,2021-08-01,0,128.6
abs,2021-09-01,0,129.4
abs,2021-10-01,0,129.6
abs,2021-11-01,0,131.0
abs,2021-12-01,0,131.4
abs,2022-01-01,0,131.8
abs,2022-02-01,0,132.2
abs,2022-03-01,0,132.5
abs,2022-04-01,0,133.3
abs,2022-05-01,0,135.4
abs,2022-06-01,0,136.7
abs,2022-07-01,0,136.7
abs,2022-08-01,0,137.2
abs,2022-09-01,0,137.6
abs,2022-10-01,0,137.7
abs,2022-11-01,0,138.7
abs,2022-12-01,0,138.3
abs,2023-01-01,0,139.5
abs,2023-02-01,0,140.0
abs,2023-03-01,0,141.4
abs,2023-04-01,0,141.6
abs,2023-05-01,0,142.6
abs,2023-06-01,0,143.5
abs,2023-07-01,0,142.9
abs,2023-08-01,0,140.5
abs,2023-09-01,0,140.6
abs,2023-10-01,0,140.6
abs,2023-11-01,0,140.0
abs,2023-12-01,0,140.8
abs,2024-01-01,0,141.2
abs,2024-02-01,0,141.1
abs,2024-03-01,0,140.8
abs,2024-04-01,0,140.8
abs,2024-05-01,0,142.2
abs,2024-06-01,0,142.1
abs,2024-07-01,0,141.0
abs,2024-08-01,0,140.2
abs,2024-09-01,0,140.4
abs,2024-10-01,0,140.3
abs,2024-11-01,0,140.1
abs,2024-12-01,0,140.6
abs,2025-01-01,0,141.0
abs,2025-02-01,0,141.5
abs,2025-03-01,0,141.2
abs,2025-04-01,0,141.2
abs,2025-05-01,0,141.4
abs,2025-06-01,0,140.8
abs,2025-07-01,0,140.5
abs,2025-08-01,0,140.1
abs,2025-09-01,0,141.5
abs,2025-10-01,0,142.3
abs,2025-11-01,0,142.4
abs,2025-12-01,0,142.4
abs,2026-01-01,0,142.7
abs,2026-02-01,0,143.3
abs,2026-03-01,0,143.9
abs,2026-04-01,0,142.6
abs,2026-05-01,0,143.7
abs,2026-06-01,0,144.0
abs,2026-07-01,0,145.1
growth_yoy,2011-01-01,0,9.147
growth_yoy,2011-02-01,0,10.348
growth_yoy,2011-03-01,0,9.128
growth_yoy,2011-04-01,0,8.643
growth_yoy,2011-05-01,0,9.619
growth_yoy,2011-06-01,0,11.289
growth_yoy,2011-07-01,0,9.901
growth_yoy,2011-08-01,0,10.427
growth_yoy,2011-09-01,0,12.637
growth_yoy,2011-10-01,0,11.265
growth_yoy,2011-11-01,0,11.056
growth_yoy,2011-12-01,0,9.393
growth_yoy,2012-01-01,0,5.744
growth_yoy,2012-02-01,0,2.6
growth_yoy,2012-03-01,0,2.416
growth_yoy,2012-04-01,0,1.48
growth_yoy,2012-05-01,0,1.005
growth_yoy,2012-06-01,0,-0.808
growth_yoy,2012-07-01,0,-0.721
growth_yoy,2012-08-01,0,-1.349
growth_yoy,2012-09-01,0,-2.473
growth_yoy,2012-10-01,0,-1.865
growth_yoy,2012-11-01,0,-2.133
growth_yoy,2012-12-01,0,-0.805
growth_yoy,2013-01-01,0,-0.801
growth_yoy,2013-02-01,0,0.362
growth_yoy,2013-03-01,0,0.726
growth_yoy,2013-04-01,0,1.003
growth_yoy,2013-05-01,0,0.271
growth_yoy,2013-06-01,0,1.538
growth_yoy,2013-07-01,0,1.996
growth_yoy,2013-08-01,0,1.732
growth_yoy,2013-09-01,0,0.996
growth_yoy,2013-10-01,0,1.991
growth_yoy,2013-11-01,0,2.906
growth_yoy,2013-12-01,0,2.885
growth_yoy,2014-01-01,0,4.219
growth_yoy,2014-02-01,0,5.681
growth_yoy,2014-03-01,0,5.135
growth_yoy,2014-04-01,0,5.054
growth_yoy,2014-05-01,0,5.144
growth_yoy,2014-06-01,0,4.456
growth_yoy,2014-07-01,0,4.004
growth_yoy,2014-08-01,0,4.57
growth_yoy,2014-09-01,0,4.933
growth_yoy,2014-10-01,0,3.549
growth_yoy,2014-11-01,0,2.913
growth_yoy,2014-12-01,0,3.593
growth_yoy,2015-01-01,0,2.584
growth_yoy,2015-02-01,0,1.621
growth_yoy,2015-03-01,0,2.399
growth_yoy,2015-04-01,0,1.804
growth_yoy,2015-05-01,0,1.459
growth_yoy,2015-06-01,0,0.853
growth_yoy,2015-07-01,0,1.369
growth_yoy,2015-08-01,0,1.714
growth_yoy,2015-09-01,0,1.538
growth_yoy,2015-10-01,0,1.542
growth_yoy,2015-11-01,0,1.029
growth_yoy,2015-12-01,0,0.254
growth_yoy,2016-01-01,0,0.588
growth_yoy,2016-02-01,0,0.336
growth_yoy,2016-03-01,0,0.418
growth_yoy,2016-04-01,0,0.844
growth_yoy,2016-05-01,0,1.946
growth_yoy,2016-06-01,0,2.284
growth_yoy,2016-07-01,0,3.797
growth_yoy,2016-08-01,0,3.538
growth_yoy,2016-09-01,0,2.778
growth_yoy,2016-10-01,0,1.603
growth_yoy,2016-11-01,0,2.462
growth_yoy,2016-12-01,0,1.941
growth_yoy,2017-01-01,0,2.337
growth_yoy,2017-02-01,0,5.272
growth_yoy,2017-03-01,0,4.583
growth_yoy,2017-04-01,0,5.356
growth_yoy,2017-05-01,0,5.477
growth_yoy,2017-06-01,0,6.038
growth_yoy,2017-07-01,0,4.715
growth_yoy,2017-08-01,0,4.394
growth_yoy,2017-09-01,0,4.177
growth_yoy,2017-10-01,0,5.316
growth_yoy,2017-11-01,0,6.048
growth_yoy,2017-12-01,0,5.96
growth_yoy,2018-01-01,0,5.383
growth_yoy,2018-02-01,0,1.51
growth_yoy,2018-03-01,0,1.673
growth_yoy,2018-04-01,0,0.794
growth_yoy,2018-05-01,0,-1.18
growth_yoy,2018-06-01,0,-2.496
growth_yoy,2018-07-01,0,-2.484
growth_yoy,2018-08-01,0,-2.65
growth_yoy,2018-09-01,0,-2.28
growth_yoy,2018-10-01,0,-1.577
growth_yoy,2018-11-01,0,-2.578
growth_yoy,2018-12-01,0,-1.484
growth_yoy,2019-01-01,0,-1.316
growth_yoy,2019-02-01,0,-0.626
growth_yoy,2019-03-01,0,-1.489
growth_yoy,2019-04-01,0,-2.364
growth_yoy,2019-05-01,0,-1.274
growth_yoy,2019-06-01,0,-0.4
growth_yoy,2019-07-01,0,0.398
growth_yoy,2019-08-01,0,1.121
growth_yoy,2019-09-01,0,0.644
growth_yoy,2019-10-01,0,-0.16
growth_yoy,2019-11-01,0,-0.241
growth_yoy,2019-12-01,0,-0.952
growth_yoy,2020-01-01,0,-1.882
growth_yoy,2020-02-01,0,-2.206
growth_yoy,2020-03-01,0,-1.75
growth_yoy,2020-04-01,0,-1.13
growth_yoy,2020-05-01,0,0.081
growth_yoy,2020-06-01,0,1.205
growth_yoy,2020-07-01,0,-1.19
growth_yoy,2020-08-01,0,-1.9
growth_yoy,2020-09-01,0,-1.599
growth_yoy,2020-10-01,0,-1.284
growth_yoy,2020-11-01,0,-1.367
growth_yoy,2020-12-01,0,-1.281
growth_yoy,2021-01-01,0,-0.32
growth_yoy,2021-02-01,0,1.209
growth_yoy,2021-03-01,0,1.862
growth_yoy,2021-04-01,0,3.837
growth_yoy,2021-05-01,0,2.579
growth_yoy,2021-06-01,0,1.349
growth_yoy,2021-07-01,0,2.488
growth_yoy,2021-08-01,0,3.793
growth_yoy,2021-09-01,0,5.118
growth_yoy,2021-10-01,0,5.366
growth_yoy,2021-11-01,0,6.764
growth_yoy,2021-12-01,0,6.569
growth_yoy,2022-01-01,0,5.694
growth_yoy,2022-02-01,0,5.255
growth_yoy,2022-03-01,0,5.326
growth_yoy,2022-04-01,0,4.796
growth_yoy,2022-05-01,0,6.363
growth_yoy,2022-06-01,0,7.048
growth_yoy,2022-07-01,0,7.048
growth_yoy,2022-08-01,0,6.687
growth_yoy,2022-09-01,0,6.337
growth_yoy,2022-10-01,0,6.25
growth_yoy,2022-11-01,0,5.878
growth_yoy,2022-12-01,0,5.251
growth_yoy,2023-01-01,0,5.842
growth_yoy,2023-02-01,0,5.9
growth_yoy,2023-03-01,0,6.717
growth_yoy,2023-04-01,0,6.227
growth_yoy,2023-05-01,0,5.318
growth_yoy,2023-06-01,0,4.974
growth_yoy,2023-07-01,0,4.535
growth_yoy,2023-08-01,0,2.405
growth_yoy,2023-09-01,0,2.18
growth_yoy,2023-10-01,0,2.106
growth_yoy,2023-11-01,0,0.937
growth_yoy,2023-12-01,0,1.808
growth_yoy,2024-01-01,0,1.219
growth_yoy,2024-02-01,0,0.786
growth_yoy,2024-03-01,0,-0.424
growth_yoy,2024-04-01,0,-0.565
growth_yoy,2024-05-01,0,-0.281
growth_yoy,2024-06-01,0,-0.976
growth_yoy,2024-07-01,0,-1.33
growth_yoy,2024-08-01,0,-0.214
growth_yoy,2024-09-01,0,-0.142
growth_yoy,2024-10-01,0,-0.213
growth_yoy,2024-11-01,0,0.071
growth_yoy,2024-12-01,0,-0.142
growth_yoy,2025-01-01,0,-0.142
