series,date,stage,index
abs,2010-01-01,1,97.3
abs,2010-02-01,1,95.9
abs,2010-03-01,1,99.5
abs,2010-04-01,1,101.9
abs,2010-05-01,1,93.7
abs,2010-06-01,1,96.0
abs,2010-07-01,1,95.8
abs,2010-08-01,1,96.6
abs,2010-09-01,1,98.9
abs,2010-10-01,1,104.3
abs,2010-11-01,1,106.5
abs,2010-12-01,1,113.7
abs,2011-01-01,1,118.9
abs,2011-02-01,1,122.8
abs,2011-03-01,1,128.1
abs,2011-04-01,1,131.1
abs,2011-05-01,1,127.9
abs,2011-06-01,1,126.7
abs,2011-07-01,1,126.0
abs,2011-08-01,1,121.4
abs,2011-09-01,1,122.9
abs,2011-10-01,1,123.2
abs,2011-11-01,1,123.9
abs,2011-12-01,1,123.9
abs,2012-01-01,1,126.1
abs,2012-02-01,1,127.7
abs,2012-03-01,1,132.3
abs,2012-04-01,1,132.2
abs,2012-05-01,1,123.0
abs,2012-06-01,1,114.9
abs,2012-07-01,1,119.1
abs,2012-08-01,1,121.1
abs,2012-09-01,1,119.7
abs,2012-10-01,1,114.2
abs,2012-11-01,1,112.3
abs,2012-12-01,1,111.4
abs,2013-01-01,1,115.0
abs,2013-02-01,1,120.2
abs,2013-03-01,1,114.7
abs,2013-04-01,1,111.0
abs,2013-05-01,1,110.3
abs,2013-06-01,1,112.6
abs,2013-07-01,1,115.6
abs,2013-08-01,1,119.2
abs,2013-09-01,1,121.2
abs,2013-10-01,1,118.3
abs,2013-11-01,1,121.0
abs,2013-12-01,1,123.6
abs,2014-01-01,1,122.0
abs,2014-02-01,1,124.5
abs,2014-03-01,1,124.7
abs,2014-04-01,1,122.1
abs,2014-05-01,1,122.1
abs,2014-06-01,1,120.9
abs,2014-07-01,1,117.7
abs,2014-08-01,1,112.9
abs,2014-09-01,1,108.7
abs,2014-10-01,1,104.8
abs,2014-11-01,1,100.9
abs,2014-12-01,1,91.6
abs,2015-01-01,1,85.5
abs,2015-02-01,1,91.5
abs,2015-03-01,1,92.4
abs,2015-04-01,1,94.2
abs,2015-05-01,1,95.8
abs,2015-06-01,1,96.0
abs,2015-07-01,1,92.7
abs,2015-08-01,1,85.2
abs,2015-09-01,1,88.8
abs,2015-10-01,1,93.1
abs,2015-11-01,1,89.7
abs,2015-12-01,1,86.1
abs,2016-01-01,1,82.7
abs,2016-02-01,1,83.6
abs,2016-03-01,1,89.2
abs,2016-04-01,1,90.1
abs,2016-05-01,1,93.7
abs,2016-06-01,1,96.2
abs,2016-07-01,1,90.8
abs,2016-08-01,1,93.5
abs,2016-09-01,1,97.7
abs,2016-10-01,1,99.2
abs,2016-11-01,1,99.3
abs,2016-12-01,1,111.5
abs,2017-01-01,1,115.0
abs,2017-02-01,1,115.1
abs,2017-03-01,1,108.1
abs,2017-04-01,1,106.1
abs,2017-05-01,1,104.3
abs,2017-06-01,1,100.0
abs,2017-07-01,1,101.2
abs,2017-08-01,1,104.0
abs,2017-09-01,1,108.4
abs,2017-10-01,1,109.3
abs,2017-11-01,1,112.8
abs,2017-12-01,1,110.1
abs,2018-01-01,1,113.9
abs,2018-02-01,1,108.4
abs,2018-03-01,1,107.3
abs,2018-04-01,1,110.0
abs,2018-05-01,1,114.2
abs,2018-06-01,1,112.3
abs,2018-07-01,1,112.4
abs,2018-08-01,1,111.5
abs,2018-09-01,1,116.1
abs,2018-10-01,1,117.8
abs,2018-11-01,1,105.0
abs,2018-12-01,1,99.2
abs,2019-01-01,1,102.9
abs,2019-02-01,1,105.3
abs,2019-03-01,1,104.1
abs,2019-04-01,1,108.3
abs,2019-05-01,1,108.5
abs,2019-06-01,1,104.4
abs,2019-07-01,1,103.7
abs,2019-08-01,1,103.1
abs,2019-09-01,1,106.2
abs,2019-10-01,1,104.4
abs,2019-11-01,1,111.2
abs,2019-12-01,1,115.1
abs,2020-01-01,1,113.9
abs,2020-02-01,1,105.4
abs,2020-03-01,1,89.6
abs,2020-04-01,1,77.0
abs,2020-05-01,1,79.6
abs,2020-06-01,1,86.0
abs,2020-07-01,1,90.2
abs,2020-08-01,1,94.1
abs,2020-09-01,1,92.2
abs,2020-10-01,1,90.6
abs,2020-11-01,1,97.5
abs,2020-12-01,1,103.6
abs,2021-01-01,1,110.0
abs,2021-02-01,1,115.9
abs,2021-03-01,1,118.1
abs,2021-04-01,1,120.0
abs,2021-05-01,1,122.3
abs,2021-06-01,1,119.7
abs,2021-07-01,1,122.5
abs,2021-08-01,1,123.2
abs,2021-09-01,1,123.9
abs,2021-10-01,1,127.2
abs,2021-11-01,1,130.1
abs,2021-12-01,1,125.8
abs,2022-01-01,1,130.1
abs,2022-02-01,1,136.4
abs,2022-03-01,1,145.6
abs,2022-04-01,1,140.5
abs,2022-05-01,1,143.5
abs,2022-06-01,1,139.9
abs,2022-07-01,1,123.8
abs,2022-08-01,1,122.6
abs,2022-09-01,1,116.0
abs,2022-10-01,1,116.1
abs,2022-11-01,1,119.1
abs,2022-12-01,1,116.1
abs,2023-01-01,1,114.0
abs,2023-02-01,1,113.3
abs,2023-03-01,1,115.0
abs,2023-04-01,1,115.8
abs,2023-05-01,1,114.7
abs,2023-06-01,1,113.8
