date,premise_code,item_code,price
2026-09-01,2,1,11.0
2026-09-01,2,47,10.0
2026-09-01,2,55,10.0
2026-09-01,2,70,24.0
2026-09-01,2,88,10.0
2026-09-01,2,92,12.0
2026-09-01,2,93,16.0
2026-09-01,2,94,12.0
2026-09-01,2,95,10.0
2026-09-01,2,96,8.0
2026-09-01,2,97,10.0
2026-09-01,2,98,8.0
2026-09-01,2,104,4.0
2026-09-01,2,105,4.0
2026-09-01,2,108,12.0
2026-09-01,2,109,5.0
2026-09-01,2,113,5.0
2026-09-01,2,114,8.0
2026-09-01,2,129,4.0
2026-09-01,2,131,8.0
2026-09-01,2,845,30.0
2026-09-01,2,847,30.0
2026-09-01,2,1109,15.0
2026-09-01,2,1110,14.7
2026-09-01,2,1111,14.4
2026-09-01,2,1131,4.0
2026-09-01,2,1132,10.0
2026-09-01,2,1436,13.0
2026-09-01,2,1440,4.0
2026-09-01,2,1442,6.0
2026-09-01,2,1458,8.0
2026-09-01,2,1475,40.0
2026-09-01,2,1476,16.0
2026-09-01,2,1477,20.0
2026-09-01,2,1481,8.0
2026-09-01,2,1555,30.0
2026-09-01,2,1556,4.0
2026-09-01,2,1558,5.0
2026-09-01,2,1559,5.0
2026-09-01,2,1560,8.0
2026-09-01,2,1564,10.0
2026-09-01,2,1819,15.0
2026-09-01,2,1916,20.0
2026-09-01,2,1921,20.0
2026-09-01,2,1926,10.0
2026-09-01,2,1927,13.0
2026-09-01,2,1928,5.0
2026-09-01,2,2045,10.0
2026-09-01,2,2047,14.0
2026-09-01,2,2086,6.0
2026-09-01,2,2087,4.0
2026-09-01,3,1,9.8
2026-09-01,3,2,11.2
2026-09-01,3,69,16.9
2026-09-01,3,70,23.9
2026-09-01,3,88,14.9
2026-09-01,3,92,14.2
2026-09-01,3,93,15.4
2026-09-01,3,95,6.9
2026-09-01,3,105,4.0
2026-09-01,3,108,8.2
2026-09-01,3,109,5.0
2026-09-01,3,113,3.8
2026-09-01,3,114,6.5
2026-09-01,3,129,5.2
2026-09-01,3,131,5.0
2026-09-01,3,132,13.8
2026-09-01,3,845,55.9
2026-09-01,3,847,59.9
2026-09-01,3,861,2.9
2026-09-01,3,1109,15.5
2026-09-01,3,1110,14.85
2026-09-01,3,1111,14.25
2026-09-01,3,1132,9.5
2026-09-01,3,1436,19.9
2026-09-01,3,1441,4.0
2026-09-01,3,1442,7.0
2026-09-01,3,1458,5.0
2026-09-01,3,1481,8.5
2026-09-01,3,1555,49.9
2026-09-01,3,1564,14.9
2026-09-01,3,1819,9.9
2026-09-01,3,1926,15.0
2026-09-01,3,1927,19.0
2026-09-01,3,1928,9.5
2026-09-01,3,2047,17.9
2026-09-01,16,1,8.99
2026-09-01,16,55,18.5
2026-09-01,16,88,9.5
2026-09-01,16,94,17.9
2026-09-01,16,95,8.9
2026-09-01,16,96,8.9
2026-09-01,16,97,14.9
2026-09-01,16,98,5.9
2026-09-01,16,104,2.9
2026-09-01,16,108,16.5
2026-09-01,16,109,5.5
2026-09-01,16,113,3.5
2026-09-01,16,114,9.5
2026-09-01,16,129,4.5
2026-09-01,16,131,7.8
2026-09-01,16,1110,15.5
2026-09-01,16,1131,3.9
2026-09-01,16,1132,6.5
2026-09-01,16,1458,5.5
2026-09-01,16,1481,8.9
2026-09-01,16,1555,31.9
2026-09-01,16,1556,7.5
2026-09-01,16,1558,3.5
2026-09-01,16,1559,5.5
2026-09-01,16,1560,7.9
2026-09-01,16,1564,14.0
2026-09-01,16,1819,15.5
2026-09-01,16,1926,16.5
2026-09-01,16,1927,15.5
2026-09-01,16,1928,7.5
2026-09-01,16,2045,14.9
2026-09-01,16,2086,4.9
2026-09-01,16,2087,5.9
2026-09-01,115,47,11.0
2026-09-01,115,69,14.0
2026-09-01,115,92,13.5
2026-09-01,115,94,15.5
2026-09-01,115,95,7.5
2026-09-01,115,96,10.0
2026-09-01,115,97,10.0
2026-09-01,115,98,8.5
2026-09-01,115,108,9.6
2026-09-01,115,109,4.0
2026-09-01,115,113,5.0
2026-09-01,115,114,11.0
2026-09-01,115,129,4.5
2026-09-01,115,845,38.0
2026-09-01,115,1109,15.6
2026-09-01,115,1110,15.3
2026-09-01,115,1131,3.2
2026-09-01,115,1132,10.5
2026-09-01,115,1440,3.5
2026-09-01,115,1442,5.0
2026-09-01,115,1458,6.5
2026-09-01,115,1481,7.6
2026-09-01,115,1555,35.0
2026-09-01,115,1556,6.0
2026-09-01,115,1558,7.0
2026-09-01,115,1559,6.0
2026-09-01,115,1560,10.0
2026-09-01,115,1819,11.0
2026-09-01,115,1926,11.6
2026-09-01,115,1927,16.0
2026-09-01,115,1928,8.0
2026-09-01,115,2086,7.0
2026-09-01,115,2087,6.5
2026-09-01,136,1,10.99
2026-09-01,136,92,15.99
2026-09-01,136,94,15.99
2026-09-01,136,95,10.99
2026-09-01,136,96,14.99
2026-09-01,136,97,12.99
2026-09-01,136,104,4.99
2026-09-01,136,105,5.99
2026-09-01,136,108,16.99
2026-09-01,136,109,4.99
2026-09-01,136,113,5.99
2026-09-01,136,114,7.99
2026-09-01,136,129,4.99
2026-09-01,136,131,9.99
2026-09-01,136,1109,15.6
2026-09-01,136,1110,14.7
2026-09-01,136,1131,3.99
2026-09-01,136,1132,12.99
2026-09-01,136,1440,3.99
2026-09-01,136,1442,5.99
2026-09-01,136,1458,5.99
2026-09-01,136,1481,7.99
2026-09-01,136,1556,10.99
2026-09-01,136,1558,8.99
2026-09-01,136,1559,10.99
2026-09-01,136,1560,12.99
2026-09-01,136,1564,10.99
2026-09-01,136,1819,19.99
2026-09-01,136,1926,19.99
2026-09-01,136,1928,12.99
2026-09-01,136,2086,8.99
2026-09-01,136,2087,6.99
2026-09-01,176,1,8.29
2026-09-01,176,47,7.29
2026-09-01,176,92,8.89
2026-09-01,176,94,8.89
2026-09-01,176,95,6.85
2026-09-01,176,96,10.36
2026-09-01,176,97,14.36
2026-09-01,176,98,7.96
2026-09-01,176,104,1.95
2026-09-01,176,108,5.49
2026-09-01,176,109,2.49
2026-09-01,176,113,1.79
2026-09-01,176,114,5.49
2026-09-01,176,129,3.99
2026-09-01,176,132,12.98
2026-09-01,176,1111,13.75
2026-09-01,176,1131,2.69
2026-09-01,176,1132,5.38
2026-09-01,176,1440,1.95
2026-09-01,176,1442,1.99
2026-09-01,176,1458,3.29
2026-09-01,176,1477,14.99
2026-09-01,176,1481,5.99
2026-09-01,176,1555,29.99
2026-09-01,176,1556,2.99
2026-09-01,176,1558,4.89
2026-09-01,176,1559,2.39
2026-09-01,176,1560,6.99
2026-09-01,176,1564,6.45
2026-09-01,176,1819,6.39
2026-09-01,176,1926,9.89
2026-09-01,176,1927,10.89
2026-09-01,176,1928,4.98
2026-09-01,176,2045,10.99
2026-09-01,176,2086,2.69
2026-09-01,176,2087,3.29
2026-09-01,234,55,15.0
2026-09-01,234,93,18.0
