date,state,prison,sex,prisoners
2017-01-01,Johor,Penjara Kluang,both,10003
2018-01-01,Johor,Penjara Kluang,both,1070
2019-01-01,Johor,Penjara Kluang,both,2138
2020-01-01,Johor,Penjara Kluang,both,10802
2021-01-01,Johor,Penjara Kluang,both,7486
2022-01-01,Johor,Penjara Kluang,both,5923
2017-01-01,Johor,Penjara Kluang,female,1792
2018-01-01,Johor,Penjara Kluang,female,0
2019-01-01,Johor,Penjara Kluang,female,1
2020-01-01,Johor,Penjara Kluang,female,1356
2021-01-01,Johor,Penjara Kluang,female,717
2022-01-01,Johor,Penjara Kluang,female,547
2017-01-01,Johor,Penjara Kluang,male,8211
2018-01-01,Johor,Penjara Kluang,male,1070
2019-01-01,Johor,Penjara Kluang,male,2137
2020-01-01,Johor,Penjara Kluang,male,9446
2021-01-01,Johor,Penjara Kluang,male,6769
2022-01-01,Johor,Penjara Kluang,male,5376
2017-01-01,Johor,Penjara Simpang Renggam,both,1290
2018-01-01,Johor,Penjara Simpang Renggam,both,270
2019-01-01,Johor,Penjara Simpang Renggam,both,321
2020-01-01,Johor,Penjara Simpang Renggam,both,792
2021-01-01,Johor,Penjara Simpang Renggam,both,439
2022-01-01,Johor,Penjara Simpang Renggam,both,576
2017-01-01,Johor,Penjara Simpang Renggam,female,0
2018-01-01,Johor,Penjara Simpang Renggam,female,0
2019-01-01,Johor,Penjara Simpang Renggam,female,0
2020-01-01,Johor,Penjara Simpang Renggam,female,10
2021-01-01,Johor,Penjara Simpang Renggam,female,5
2022-01-01,Johor,Penjara Simpang Renggam,female,2
2017-01-01,Johor,Penjara Simpang Renggam,male,1290
2018-01-01,Johor,Penjara Simpang Renggam,male,270
2019-01-01,Johor,Penjara Simpang Renggam,male,321
2020-01-01,Johor,Penjara Simpang Renggam,male,782
2021-01-01,Johor,Penjara Simpang Renggam,male,434
2022-01-01,Johor,Penjara Simpang Renggam,male,574
2017-01-01,Johor,Pusat Koreksional Johor Bahru,both,290
2018-01-01,Johor,Pusat Koreksional Johor Bahru,both,10549
2019-01-01,Johor,Pusat Koreksional Johor Bahru,both,11817
2020-01-01,Johor,Pusat Koreksional Johor Bahru,both,297
2021-01-01,Johor,Pusat Koreksional Johor Bahru,both,112
2022-01-01,Johor,Pusat Koreksional Johor Bahru,both,229
2017-01-01,Johor,Pusat Koreksional Johor Bahru,female,0
2018-01-01,Johor,Pusat Koreksional Johor Bahru,female,1963
2019-01-01,Johor,Pusat Koreksional Johor Bahru,female,1948
2020-01-01,Johor,Pusat Koreksional Johor Bahru,female,0
2021-01-01,Johor,Pusat Koreksional Johor Bahru,female,0
2022-01-01,Johor,Pusat Koreksional Johor Bahru,female,16
2017-01-01,Johor,Pusat Koreksional Johor Bahru,male,290
2018-01-01,Johor,Pusat Koreksional Johor Bahru,male,8586
2019-01-01,Johor,Pusat Koreksional Johor Bahru,male,9869
2020-01-01,Johor,Pusat Koreksional Johor Bahru,male,297
2021-01-01,Johor,Pusat Koreksional Johor Bahru,male,112
2022-01-01,Johor,Pusat Koreksional Johor Bahru,male,213
2017-01-01,Johor,Pusat Koreksional Muar,both,6
2018-01-01,Johor,Pusat Koreksional Muar,both,13
2019-01-01,Johor,Pusat Koreksional Muar,both,36
2020-01-01,Johor,Pusat Koreksional Muar,both,267
2021-01-01,Johor,Pusat Koreksional Muar,both,579
2022-01-01,Johor,Pusat Koreksional Muar,both,1907
2017-01-01,Johor,Pusat Koreksional Muar,female,0
2018-01-01,Johor,Pusat Koreksional Muar,female,0
2019-01-01,Johor,Pusat Koreksional Muar,female,0
2020-01-01,Johor,Pusat Koreksional Muar,female,0
2021-01-01,Johor,Pusat Koreksional Muar,female,0
2022-01-01,Johor,Pusat Koreksional Muar,female,0
2017-01-01,Johor,Pusat Koreksional Muar,male,6
2018-01-01,Johor,Pusat Koreksional Muar,male,13
2019-01-01,Johor,Pusat Koreksional Muar,male,36
2020-01-01,Johor,Pusat Koreksional Muar,male,267
2021-01-01,Johor,Pusat Koreksional Muar,male,579
2022-01-01,Johor,Pusat Koreksional Muar,male,1907
2017-01-01,Kedah,Penjara Alor Setar,both,136
2018-01-01,Kedah,Penjara Alor Setar,both,5856
2019-01-01,Kedah,Penjara Alor Setar,both,6251
2020-01-01,Kedah,Penjara Alor Setar,both,60
2021-01-01,Kedah,Penjara Alor Setar,both,468
2022-01-01,Kedah,Penjara Alor Setar,both,482
2017-01-01,Kedah,Penjara Alor Setar,female,67
2018-01-01,Kedah,Penjara Alor Setar,female,588
2019-01-01,Kedah,Penjara Alor Setar,female,631
2020-01-01,Kedah,Penjara Alor Setar,female,23
2021-01-01,Kedah,Penjara Alor Setar,female,0
2022-01-01,Kedah,Penjara Alor Setar,female,0
2017-01-01,Kedah,Penjara Alor Setar,male,69
2018-01-01,Kedah,Penjara Alor Setar,male,5268
2019-01-01,Kedah,Penjara Alor Setar,male,5620
2020-01-01,Kedah,Penjara Alor Setar,male,37
2021-01-01,Kedah,Penjara Alor Setar,male,468
2022-01-01,Kedah,Penjara Alor Setar,male,482
2017-01-01,Kedah,Penjara Pokok Sena,both,5726
