date_reg,type,maker,model,colour,fuel,state
2000-01-02,jip,Ford,Courier,grey,greendiesel,Terengganu
2000-01-02,pick_up,Ford,Ranger,yellow,greendiesel,Terengganu
2000-01-02,motokar,Honda,Civic,green,petrol,Kelantan
2000-01-02,jip,Mitsubishi,Pajero,maroon,petrol,Terengganu
2000-01-02,motokar_pelbagai_utiliti,Mitsubishi,Space,red,petrol,Kedah
2000-01-02,motokar,Nissan,Sentra,white,petrol,Kedah
2000-01-02,motokar,Nissan,Sentra,red,petrol,Terengganu
2000-01-02,window_van,Nissan,Serena,green,petrol,Terengganu
2000-01-02,window_van,Nissan,Vanette,purple,petrol,Kedah
2000-01-02,motokar,Perodua,Kancil,silver,petrol,Kedah
2000-01-02,motokar,Perodua,Kancil,blue,petrol,Kedah
2000-01-02,motokar,Perodua,Kancil,gold,petrol,Kedah
2000-01-02,motokar,Perodua,Kancil,white,petrol,Kedah
2000-01-02,motokar,Perodua,Kancil,silver,petrol,Kedah
2000-01-02,motokar,Perodua,Kancil,gold,petrol,Kedah
2000-01-02,motokar,Perodua,Kancil,gold,petrol,Terengganu
2000-01-02,motokar,Perodua,Kancil,green,petrol,Kedah
2000-01-02,motokar,Perodua,Kancil,blue,petrol,Terengganu
2000-01-02,motokar,Perodua,Kancil,silver,petrol,Kelantan
2000-01-02,motokar,Perodua,Kancil,silver,petrol,Kelantan
2000-01-02,motokar,Perodua,Kancil,blue,petrol,Kelantan
2000-01-02,motokar,Perodua,Kancil,green,petrol,Kelantan
2000-01-02,motokar,Perodua,Kancil,green,petrol,Kelantan
2000-01-02,motokar,Perodua,Kancil,blue,petrol,Kelantan
2000-01-02,motokar,Perodua,Kancil,silver,petrol,Kelantan
2000-01-02,motokar,Perodua,Kancil,blue,petrol,Kelantan
2000-01-02,motokar,Perodua,Kancil,blue,petrol,Kelantan
2000-01-02,motokar,Perodua,Kancil,silver,petrol,Kelantan
2000-01-02,motokar,Perodua,Kancil,white,petrol,Kelantan
2000-01-02,motokar,Perodua,Kancil,green,petrol,Kelantan
2000-01-02,motokar,Perodua,Kancil,silver,petrol,Kelantan
2000-01-02,jip,Perodua,Kembara,silver,petrol,Terengganu
2000-01-02,motokar,Proton,Iswara,grey,petrol,Terengganu
2000-01-02,motokar,Proton,Iswara,green,petrol,Kedah
2000-01-02,motokar,Proton,Iswara,grey,petrol,Terengganu
2000-01-02,motokar,Proton,Iswara,grey,petrol,Terengganu
2000-01-02,motokar,Proton,Iswara,grey,petrol,Kedah
2000-01-02,motokar,Proton,Iswara,green,petrol,Terengganu
2000-01-02,motokar,Proton,Iswara,grey,petrol,Kedah
2000-01-02,motokar,Proton,Iswara,white,petrol,Kedah
2000-01-02,motokar,Proton,Iswara,green,petrol,Terengganu
2000-01-02,motokar,Proton,Iswara,grey,petrol,Kedah
2000-01-02,motokar,Proton,Iswara,silver,petrol,Kedah
2000-01-02,motokar,Proton,Iswara,white,petrol,Kelantan
2000-01-02,motokar,Proton,Iswara,red,petrol,Kedah
2000-01-02,motokar,Proton,Iswara,grey,petrol,Terengganu
2000-01-02,motokar,Proton,Iswara,grey,petrol,Kelantan
2000-01-02,motokar,Proton,Iswara,grey,petrol,Kelantan
2000-01-02,motokar,Proton,Iswara,green,petrol,Kelantan
2000-01-02,motokar,Proton,Iswara,grey,petrol,Kelantan
2000-01-02,motokar,Proton,Iswara,green,petrol,Kelantan
2000-01-02,motokar,Proton,Iswara,grey,petrol,Kelantan
2000-01-02,motokar,Proton,Iswara,grey,petrol,Kelantan
2000-01-02,motokar,Proton,Iswara,grey,petrol,Terengganu
2000-01-02,motokar,Proton,Iswara,green,petrol,Kelantan
2000-01-02,motokar,Proton,Iswara,white,petrol,Kelantan
2000-01-02,motokar,Proton,Iswara,grey,petrol,Kelantan
2000-01-02,motokar,Proton,Iswara,grey,petrol,Kelantan
2000-01-02,motokar,Proton,Satria,silver,petrol,Kelantan
2000-01-02,motokar,Proton,Wira,silver,petrol,Kelantan
2000-01-02,motokar,Proton,Wira,grey,petrol,Terengganu
2000-01-02,motokar,Proton,Wira,grey,petrol,Terengganu
2000-01-02,motokar,Proton,Wira,silver,petrol,Kelantan
2000-01-02,motokar,Proton,Wira,maroon,petrol,Kedah
2000-01-02,motokar,Proton,Wira,grey,petrol,Kelantan
2000-01-02,motokar,Proton,Wira,green,petrol,Kedah
2000-01-02,motokar,Proton,Wira,grey,petrol,Kedah
2000-01-02,motokar,Proton,Wira,grey,petrol,Terengganu
2000-01-02,motokar,Proton,Wira,silver,petrol,Kelantan
2000-01-02,motokar,Proton,Wira,green,petrol,Kelantan
2000-01-02,motokar,Toyota,Corolla,green,petrol,Terengganu
2000-01-03,motokar,Alfa Romeo,156,blue,petrol,W.P. Kuala Lumpur
2000-01-03,motokar,Alfa Romeo,156,red,petrol,W.P. Kuala Lumpur
2000-01-03,motokar,Alfa Romeo,156,red,petrol,Melaka
2000-01-03,motokar,Alfa Romeo,156,red,petrol,W.P. Kuala Lumpur
2000-01-03,motokar,Audi,A6,silver,petrol,W.P. Kuala Lumpur
2000-01-03,motokar,BMW,3 Series,silver,petrol,Pulau Pinang
2000-01-03,motokar,BMW,3 Series,blue,petrol,Johor
2000-01-03,motokar,BMW,3 Series,blue,petrol,W.P. Kuala Lumpur
2000-01-03,motokar,BMW,3 Series,blue,petrol,W.P. Kuala Lumpur
2000-01-03,motokar,BMW,3 Series,silver,petrol,Johor
2000-01-03,motokar,BMW,3 Series,silver,petrol,Melaka
2000-01-03,motokar,BMW,3 Series,blue,petrol,W.P. Kuala Lumpur
2000-01-03,motokar,BMW,3 Series,maroon,petrol,W.P. Kuala Lumpur
2000-01-03,motokar,BMW,3 Series,silver,petrol,Pulau Pinang
2000-01-03,motokar,BMW,3 Series,green,petrol,Pulau Pinang
2000-01-03,motokar,BMW,3 Series,green,petrol,Pulau Pinang
2000-01-03,motokar,BMW,3 Series,silver,petrol,W.P. Kuala Lumpur
2000-01-03,motokar,BMW,3 Series,blue,petrol,W.P. Kuala Lumpur
2000-01-03,motokar,BMW,5 Series,silver,petrol,W.P. Kuala Lumpur
2000-01-03,window_van,Citroen,Evasion,silver,petrol,W.P. Kuala Lumpur
2000-01-03,motokar,Citroen,Xsara,silver,petrol,Melaka
2000-01-03,motokar,Citroen,Xsara,blue,petrol,Johor
2000-01-03,motokar,Citroen,Xsara,green,petrol,Negeri Sembilan
2000-01-03,motokar,Daihatsu,Charade,red,petrol,W.P. Kuala Lumpur
2000-01-03,pick_up,Ford,Courier,yellow,greendiesel,W.P. Kuala Lumpur
2000-01-03,pick_up,Ford,Courier,blue,greendiesel,Pulau Pinang
2000-01-03,pick_up,Ford,Courier,red,greendiesel,Pulau Pinang
2000-01-03,pick_up,Ford,Ranger,red,diesel,W.P. Kuala Lumpur
2000-01-03,pick_up,Ford,Ranger,yellow,greendiesel,Melaka
2000-01-03,pick_up,Ford,Ranger,yellow,greendiesel,Sarawak
2000-01-03,pick_up,Ford,Courier,blue,diesel,Sarawak
2000-01-03,window_van,Ford,Econovan,blue,petrol,Johor
2000-01-03,window_van,Ford,Econovan,blue,petrol,W.P. Kuala Lumpur
2000-01-03,window_van,Ford,Econovan,blue,petrol,Pulau Pinang
2000-01-03,window_van,Ford,Econovan,blue,petrol,Johor
2000-01-03,window_van,Ford,Econovan,pink,petrol,Sabah
2000-01-03,pick_up,Ford,Ranger,red,greendiesel,Sarawak
2000-01-03,motokar,Ford,Telstar,silver,petrol,Pulau Pinang
2000-01-03,window_van,Ford,Transit,blue,greendiesel,Selangor
2000-01-03,window_van,Ford,Transit,blue,greendiesel,Selangor
2000-01-03,window_van,Ford,Transit,blue,greendiesel,Selangor
2000-01-03,pick_up,Ford,Ranger,blue,greendiesel,Sarawak
2000-01-03,motokar,Honda,Accord,silver,petrol,W.P. Kuala Lumpur
2000-01-03,motokar,Honda,Accord,silver,petrol,W.P. Kuala Lumpur
2000-01-03,motokar,Honda,Accord,white,petrol,W.P. Kuala Lumpur
2000-01-03,motokar,Honda,Accord,gold,petrol,W.P. Kuala Lumpur
2000-01-03,motokar,Honda,Accord,green,petrol,W.P. Kuala Lumpur
2000-01-03,motokar,Honda,Accord,silver,petrol,Selangor
2000-01-03,motokar,Honda,Accord,silver,petrol,W.P. Kuala Lumpur
2000-01-03,motokar,Honda,Accord,black,petrol,W.P. Kuala Lumpur
2000-01-03,motokar,Honda,Accord,silver,petrol,Sabah
2000-01-03,motokar,Honda,Accord,green,petrol_ng,Pulau Pinang
2000-01-03,motokar,Honda,Accord,gold,petrol,Pulau Pinang
2000-01-03,motokar,Honda,City,beige,petrol,W.P. Kuala Lumpur
2000-01-03,motokar,Honda,City,silver,petrol,W.P. Kuala Lumpur
2000-01-03,motokar,Honda,City,green,petrol,W.P. Kuala Lumpur
2000-01-03,motokar,Honda,City,green,petrol,Pulau Pinang
2000-01-03,motokar,Honda,City,gold,petrol,W.P. Kuala Lumpur
2000-01-03,motokar,Honda,City,gold,petrol,Selangor
2000-01-03,motokar,Honda,City,gold,petrol,Johor
