date_reg,type,maker,colour,fuel,state
2003-01-01,motosikal,Allied Pacific Motor,red,petrol,Terengganu
2003-01-01,motosikal,Cagiva,red,petrol,Johor
2003-01-01,motosikal,Honda,black,petrol,Kedah
2003-01-01,motosikal,Honda,black,petrol,Terengganu
2003-01-01,motosikal,Honda,black,petrol,Johor
2003-01-01,motosikal,Honda,black,petrol,Johor
2003-01-01,motosikal,Honda,black,petrol,Terengganu
2003-01-01,motosikal,Honda,black,petrol,Kedah
2003-01-01,motosikal,Honda,blue,petrol,Terengganu
2003-01-01,motosikal,Honda,black,petrol,Terengganu
2003-01-01,motosikal,Honda,black,petrol,Kedah
2003-01-01,motosikal,Honda,blue,petrol,Johor
2003-01-01,motosikal,Honda,black,petrol,Terengganu
2003-01-01,motosikal,Honda,blue,petrol,Johor
2003-01-01,motosikal,Honda,blue,petrol,Terengganu
2003-01-01,motosikal,Honda,black,petrol,Kedah
2003-01-01,motosikal,Honda,red,petrol,Johor
2003-01-01,motosikal,Honda,red,petrol,Johor
2003-01-01,motosikal,Honda,blue,petrol,Johor
2003-01-01,motosikal,Honda,red,petrol,Johor
2003-01-01,motosikal,Honda,blue,petrol,Terengganu
2003-01-01,motosikal,Honda,black,petrol,Kedah
2003-01-01,motosikal,Honda,blue,petrol,Johor
2003-01-01,motosikal,Honda,blue,petrol,Kedah
2003-01-01,motosikal,Honda,black,petrol,Johor
2003-01-01,motosikal,Honda,blue,petrol,Johor
2003-01-01,motosikal,Honda,blue,petrol,Kedah
2003-01-01,motosikal,Honda,blue,petrol,Johor
2003-01-01,motosikal,Honda,black,petrol,Johor
2003-01-01,motosikal,Honda,black,petrol,Terengganu
2003-01-01,motosikal,Honda,black,petrol,Kedah
2003-01-01,motosikal,Honda,red,petrol,Johor
2003-01-01,motosikal,Honda,red,petrol,Kedah
2003-01-01,motosikal,Honda,blue,petrol,Johor
2003-01-01,motosikal,Honda,blue,petrol,Kedah
2003-01-01,motosikal,Honda,black,petrol,Johor
2003-01-01,motosikal,Honda,blue,petrol,Johor
2003-01-01,motosikal,Honda,black,petrol,Johor
2003-01-01,motosikal,Honda,red,petrol,Johor
2003-01-01,motosikal,Honda,black,petrol,Johor
2003-01-01,motosikal,Honda,black,petrol,Perlis
2003-01-01,motosikal,Honda,blue,petrol,Kedah
2003-01-01,motosikal,Honda,blue,petrol,Perlis
2003-01-01,motosikal,Honda,black,petrol,Kedah
2003-01-01,motosikal,Honda,black,petrol,Kedah
2003-01-01,motosikal,Honda,blue,petrol,Kedah
2003-01-01,motosikal,Honda,blue,petrol,Terengganu
2003-01-01,motosikal,Honda,black,petrol,Johor
2003-01-01,motosikal,Honda,blue,petrol,Johor
2003-01-01,motosikal,Honda,black,petrol,Kedah
2003-01-01,motosikal,Honda,blue,petrol,Kedah
2003-01-01,motosikal,Honda,black,petrol,Terengganu
2003-01-01,motosikal,Honda,black,petrol,Johor
2003-01-01,motosikal,Honda,black,petrol,Johor
2003-01-01,motosikal,Honda,blue,petrol,Terengganu
2003-01-01,motosikal,Honda,blue,petrol,Kedah
2003-01-01,motosikal,Honda,black,petrol,Kelantan
2003-01-01,motosikal,Honda,black,petrol,Terengganu
2003-01-01,motosikal,Honda,blue,petrol,Kedah
2003-01-01,motosikal,Honda,black,petrol,Kedah
2003-01-01,motosikal,Honda,blue,petrol,Terengganu
2003-01-01,motosikal,Honda,green,petrol,Johor
2003-01-01,motosikal,Honda,green,petrol,Terengganu
2003-01-01,motosikal,Honda,green,petrol,Kedah
2003-01-01,motosikal,Honda,green,petrol,Kedah
2003-01-01,motosikal,Honda,green,petrol,Terengganu
2003-01-01,motosikal,Honda,green,petrol,Terengganu
2003-01-01,motosikal,Honda,blue,petrol,Johor
2003-01-01,motosikal,Honda,blue,petrol,Kelantan
2003-01-01,motosikal,Honda,blue,petrol,Kelantan
2003-01-01,motosikal,Honda,blue,petrol,Kelantan
2003-01-01,motosikal,Honda,green,petrol,Johor
2003-01-01,motosikal,Honda,black,petrol,Kedah
2003-01-01,motosikal,Honda,blue,petrol,Kelantan
2003-01-01,motosikal,Honda,blue,petrol,Johor
2003-01-01,motosikal,Honda,blue,petrol,Kelantan
2003-01-01,motosikal,Honda,red,petrol,Kedah
2003-01-01,motosikal,Honda,blue,petrol,Terengganu
2003-01-01,motosikal,Honda,blue,petrol,Kelantan
2003-01-01,motosikal,Honda,blue,petrol,Kedah
2003-01-01,motosikal,Honda,blue,petrol,Kedah
2003-01-01,motosikal,Honda,green,petrol,Kelantan
2003-01-01,motosikal,Honda,blue,petrol,Kelantan
2003-01-01,motosikal,Honda,green,petrol,Kelantan
2003-01-01,motosikal,Honda,green,petrol,Kedah
2003-01-01,motosikal,Honda,green,petrol,Johor
2003-01-01,motosikal,Modenas,red,petrol,Kelantan
2003-01-01,motosikal,Modenas,red,petrol,Johor
2003-01-01,motosikal,Modenas,purple,petrol,Johor
2003-01-01,motosikal,Modenas,purple,petrol,Johor
2003-01-01,motosikal,Modenas,silver,petrol,Perlis
2003-01-01,motosikal,Modenas,black,petrol,Terengganu
2003-01-01,motosikal,Modenas,black,petrol,Johor
2003-01-01,motosikal,Modenas,purple,petrol,Johor
2003-01-01,motosikal,Modenas,black,petrol,Johor
2003-01-01,motosikal,Modenas,black,petrol,Kedah
2003-01-01,motosikal,Modenas,black,petrol,Kedah
2003-01-01,motosikal,Modenas,black,petrol,Kedah
2003-01-01,motosikal,Modenas,red,petrol,Johor
2003-01-01,motosikal,Modenas,red,petrol,Kedah
2003-01-01,motosikal,Modenas,black,petrol,Johor
2003-01-01,motosikal,Modenas,black,petrol,Kedah
2003-01-01,motosikal,Modenas,black,petrol,Johor
2003-01-01,motosikal,Modenas,blue,petrol,Kedah
2003-01-01,motosikal,Modenas,red,petrol,Kedah
2003-01-01,motosikal,Modenas,blue,petrol,Kedah
2003-01-01,motosikal,Modenas,blue,petrol,Johor
2003-01-01,motosikal,Modenas,red,petrol,Johor
2003-01-01,motosikal,Modenas,black,petrol,Kedah
2003-01-01,motosikal,Modenas,red,petrol,Kedah
2003-01-01,motosikal,Modenas,blue,petrol,Johor
2003-01-01,motosikal,Modenas,black,petrol,Kedah
2003-01-01,motosikal,Modenas,blue,petrol,Kedah
2003-01-01,motosikal,Modenas,red,petrol,Kedah
2003-01-01,motosikal,Modenas,black,petrol,Kedah
2003-01-01,motosikal,Modenas,red,petrol,Kedah
2003-01-01,motosikal,Modenas,black,petrol,Johor
2003-01-01,motosikal,Modenas,blue,petrol,Perlis
2003-01-01,motosikal,Modenas,blue,petrol,Terengganu
2003-01-01,motosikal,Modenas,black,petrol,Kedah
2003-01-01,motosikal,Modenas,maroon,petrol,Kedah
2003-01-01,motosikal,Modenas,red,petrol,Johor
2003-01-01,motosikal,Modenas,black,petrol,Kedah
2003-01-01,motosikal,Modenas,black,petrol,Kedah
2003-01-01,motosikal,Modenas,black,petrol,Kedah
2003-01-01,motosikal,Modenas,blue,petrol,Johor
2003-01-01,motosikal,Modenas,red,petrol,Perlis
2003-01-01,motosikal,Modenas,blue,petrol,Kedah
2003-01-01,motosikal,Modenas,black,petrol,Johor
2003-01-01,motosikal,Modenas,blue,petrol,Kedah
2003-01-01,motosikal,Modenas,blue,petrol,Kedah
2003-01-01,motosikal,Modenas,red,petrol,Johor
2003-01-01,motosikal,Modenas,black,petrol,Johor
2003-01-01,motosikal,Modenas,black,petrol,Johor
2003-01-01,motosikal,Modenas,blue,petrol,Johor
2003-01-01,motosikal,Modenas,maroon,petrol,Kedah
2003-01-01,motosikal,Modenas,black,petrol,Perlis
2003-01-01,motosikal,Modenas,blue,petrol,Kedah
2003-01-01,motosikal,Modenas,black,petrol,Kedah
2003-01-01,motosikal,Modenas,black,petrol,Kedah
2003-01-01,motosikal,Modenas,black,petrol,Kedah
2003-01-01,motosikal,Modenas,red,petrol,Johor
2003-01-01,motosikal,Modenas,red,petrol,Johor
2003-01-01,motosikal,Modenas,black,petrol,Kedah
2003-01-01,motosikal,Modenas,black,petrol,Johor
2003-01-01,motosikal,Modenas,blue,petrol,Johor
2003-01-01,motosikal,Modenas,black,petrol,Terengganu
2003-01-01,motosikal,Modenas,blue,petrol,Kedah
2003-01-01,motosikal,Modenas,purple,petrol,Kedah
2003-01-01,motosikal,Modenas,red,petrol,Kedah
2003-01-01,motosikal,Modenas,red,petrol,Perlis
2003-01-01,motosikal,Modenas,blue,petrol,Johor
2003-01-01,motosikal,Modenas,blue,petrol,Terengganu
2003-01-01,motosikal,Modenas,maroon,petrol,Johor
2003-01-01,motosikal,Modenas,black,petrol,Johor
2003-01-01,motosikal,Modenas,black,petrol,Johor
2003-01-01,motosikal,Modenas,red,petrol,Kedah
2003-01-01,motosikal,Modenas,black,petrol,Kedah
2003-01-01,motosikal,Modenas,blue,petrol,Kedah
2003-01-01,motosikal,Modenas,purple,petrol,Kedah
2003-01-01,motosikal,Modenas,purple,petrol,Johor
2003-01-01,motosikal,Modenas,purple,petrol,Johor
2003-01-01,motosikal,Modenas,purple,petrol,Kedah
2003-01-01,motosikal,Modenas,purple,petrol,Johor
2003-01-01,motosikal,Modenas,green,petrol,Johor
2003-01-01,motosikal,Modenas,purple,petrol,Terengganu
2003-01-01,motosikal,Modenas,purple,petrol,Terengganu
2003-01-01,motosikal,Modenas,purple,petrol,Kelantan
2003-01-01,motosikal,Modenas,blue,petrol,Terengganu
2003-01-01,motosikal,Modenas,purple,petrol,Kedah
2003-01-01,motosikal,Modenas,purple,petrol,Terengganu
2003-01-01,motosikal,Modenas,purple,petrol,Johor
2003-01-01,motosikal,Modenas,purple,petrol,Kedah
