origin,destination,date,ridership
A0: All Stations,BRT01: Sunway-Setia Jaya,2024-01-01,516
A0: All Stations,BRT01: Sunway-Setia Jaya,2024-01-02,882
A0: All Stations,BRT01: Sunway-Setia Jaya,2024-01-03,916
A0: All Stations,BRT01: Sunway-Setia Jaya,2024-01-04,965
A0: All Stations,BRT01: Sunway-Setia Jaya,2024-01-05,903
A0: All Stations,BRT01: Sunway-Setia Jaya,2024-01-06,580
A0: All Stations,BRT01: Sunway-Setia Jaya,2024-01-07,486
A0: All Stations,BRT01: Sunway-Setia Jaya,2024-01-08,971
A0: All Stations,BRT01: Sunway-Setia Jaya,2024-01-09,1103
A0: All Stations,BRT01: Sunway-Setia Jaya,2024-01-10,1050
A0: All Stations,BRT01: Sunway-Setia Jaya,2024-01-11,1055
A0: All Stations,BRT01: Sunway-Setia Jaya,2024-01-12,1011
A0: All Stations,BRT01: Sunway-Setia Jaya,2024-01-13,704
A0: All Stations,BRT01: Sunway-Setia Jaya,2024-01-14,542
A0: All Stations,BRT01: Sunway-Setia Jaya,2024-01-15,1314
A0: All Stations,BRT01: Sunway-Setia Jaya,2024-01-16,1415
A0: All Stations,BRT01: Sunway-Setia Jaya,2024-01-17,1450
A0: All Stations,BRT01: Sunway-Setia Jaya,2024-01-18,1337
A0: All Stations,BRT01: Sunway-Setia Jaya,2024-01-19,1247
A0: All Stations,BRT01: Sunway-Setia Jaya,2024-01-20,712
A0: All Stations,BRT01: Sunway-Setia Jaya,2024-01-21,454
A0: All Stations,BRT01: Sunway-Setia Jaya,2024-01-22,1289
A0: All Stations,BRT01: Sunway-Setia Jaya,2024-01-23,1431
A0: All Stations,BRT01: Sunway-Setia Jaya,2024-01-24,1533
A0: All Stations,BRT01: Sunway-Setia Jaya,2024-01-25,551
A0: All Stations,BRT01: Sunway-Setia Jaya,2024-01-26,1254
A0: All Stations,BRT01: Sunway-Setia Jaya,2024-01-27,759
A0: All Stations,BRT01: Sunway-Setia Jaya,2024-01-28,455
A0: All Stations,BRT01: Sunway-Setia Jaya,2024-01-29,1395
A0: All Stations,BRT01: Sunway-Setia Jaya,2024-01-30,1423
A0: All Stations,BRT01: Sunway-Setia Jaya,2024-01-31,1466
A0: All Stations,BRT01: Sunway-Setia Jaya,2024-02-01,1365
A0: All Stations,BRT01: Sunway-Setia Jaya,2024-02-02,1317
A0: All Stations,BRT01: Sunway-Setia Jaya,2024-02-03,753
A0: All Stations,BRT01: Sunway-Setia Jaya,2024-02-04,507
A0: All Stations,BRT01: Sunway-Setia Jaya,2024-02-05,1424
A0: All Stations,BRT01: Sunway-Setia Jaya,2024-02-06,1520
A0: All Stations,BRT01: Sunway-Setia Jaya,2024-02-07,1448
A0: All Stations,BRT01: Sunway-Setia Jaya,2024-02-08,1155
A0: All Stations,BRT01: Sunway-Setia Jaya,2024-02-09,794
A0: All Stations,BRT01: Sunway-Setia Jaya,2024-02-10,521
A0: All Stations,BRT01: Sunway-Setia Jaya,2024-02-11,460
A0: All Stations,BRT01: Sunway-Setia Jaya,2024-02-12,477
A0: All Stations,BRT01: Sunway-Setia Jaya,2024-02-13,800
A0: All Stations,BRT01: Sunway-Setia Jaya,2024-02-14,811
A0: All Stations,BRT01: Sunway-Setia Jaya,2024-02-15,886
A0: All Stations,BRT01: Sunway-Setia Jaya,2024-02-16,868
A0: All Stations,BRT01: Sunway-Setia Jaya,2024-02-17,608
A0: All Stations,BRT01: Sunway-Setia Jaya,2024-02-18,449
A0: All Stations,BRT01: Sunway-Setia Jaya,2024-02-19,1340
A0: All Stations,BRT01: Sunway-Setia Jaya,2024-02-20,1414
A0: All Stations,BRT01: Sunway-Setia Jaya,2024-02-21,1462
A0: All Stations,BRT01: Sunway-Setia Jaya,2024-02-22,1484
A0: All Stations,BRT01: Sunway-Setia Jaya,2024-02-23,1295
A0: All Stations,BRT01: Sunway-Setia Jaya,2024-02-24,782
A0: All Stations,BRT01: Sunway-Setia Jaya,2024-02-25,544
A0: All Stations,BRT01: Sunway-Setia Jaya,2024-02-26,1361
A0: All Stations,BRT01: Sunway-Setia Jaya,2024-02-27,1412
A0: All Stations,BRT01: Sunway-Setia Jaya,2024-02-28,1526
A0: All Stations,BRT01: Sunway-Setia Jaya,2024-02-29,1484
A0: All Stations,BRT01: Sunway-Setia Jaya,2024-03-01,1398
A0: All Stations,BRT01: Sunway-Setia Jaya,2024-03-02,891
A0: All Stations,BRT01: Sunway-Setia Jaya,2024-03-03,643
A0: All Stations,BRT01: Sunway-Setia Jaya,2024-03-04,1435
A0: All Stations,BRT01: Sunway-Setia Jaya,2024-03-05,1493
