date,time,origin,destination,ridership
2021-01-01,05:00,Batu Gajah,KL Sentral,11
2021-01-01,05:00,Batu Gajah,Slim River,2
2021-01-01,05:00,Batu Gajah,Sungai Buloh,2
2021-01-01,05:00,Bukit Mertajam,KL Sentral,19
2021-01-01,05:00,Bukit Mertajam,Kuala Lumpur,2
2021-01-01,05:00,Bukit Mertajam,Tanjong Malim,2
2021-01-01,05:00,Bukit Mertajam,Tapah Road,1
2021-01-01,05:00,Butterworth,Batu Gajah,2
2021-01-01,05:00,Butterworth,KL Sentral,31
2021-01-01,05:00,Butterworth,Kuala Lumpur,1
2021-01-01,05:00,Butterworth,Tanjong Malim,6
2021-01-01,05:00,Butterworth,Tapah Road,2
2021-01-01,05:00,Ipoh,KL Sentral,39
2021-01-01,05:00,Ipoh,Kepong Sentral,1
2021-01-01,05:00,Ipoh,Kuala Lumpur,4
2021-01-01,05:00,Kampar,KL Sentral,1
2021-01-01,05:00,Parit Buntar,Ipoh,10
2021-01-01,05:00,Parit Buntar,KL Sentral,20
2021-01-01,05:00,Parit Buntar,Kampar,1
2021-01-01,05:00,Parit Buntar,Tanjong Malim,2
2021-01-01,05:00,Parit Buntar,Tapah Road,1
2021-01-01,05:00,Tapah Road,Batang Kali,2
2021-01-01,05:00,Tapah Road,KL Sentral,1
2021-01-01,05:00,Tapah Road,Sungai Buloh,2
2021-01-01,06:00,Ipoh,KL Sentral,3
2021-01-01,06:00,Ipoh,Tanjong Malim,1
2021-01-01,06:00,Kuala Kangsar,KL Sentral,3
2021-01-01,06:00,Kuala Kangsar,Tanjong Malim,1
2021-01-01,06:00,Kuala Kangsar,Tapah Road,1
2021-01-01,06:00,Slim River,KL Sentral,1
2021-01-01,06:00,Taiping,Ipoh,1
2021-01-01,06:00,Taiping,KL Sentral,8
2021-01-01,06:00,Taiping,Kuala Lumpur,1
2021-01-01,06:00,Taiping,Tanjong Malim,9
2021-01-01,06:00,Taiping,Tapah Road,2
2021-01-01,06:00,Tanjong Malim,Rawang,1
2021-01-01,07:00,Batu Gajah,KL Sentral,1
2021-01-01,07:00,Batu Gajah,Tanjong Malim,1
2021-01-01,07:00,KL Sentral,Alor Setar,18
2021-01-01,07:00,KL Sentral,Anak Bukit,15
2021-01-01,07:00,KL Sentral,Arau,35
2021-01-01,07:00,KL Sentral,Bagan Serai,7
2021-01-01,07:00,KL Sentral,Gurun,10
2021-01-01,07:00,KL Sentral,Ipoh,13
2021-01-01,07:00,KL Sentral,Kampar,10
2021-01-01,07:00,KL Sentral,Kuala Kangsar,6
2021-01-01,07:00,KL Sentral,Nibong Tebal,5
2021-01-01,07:00,KL Sentral,Padang Besar,1
2021-01-01,07:00,KL Sentral,Parit Buntar,16
2021-01-01,07:00,KL Sentral,Sungai Petani,21
2021-01-01,07:00,KL Sentral,Sungai Siput,8
2021-01-01,07:00,KL Sentral,Taiping,18
2021-01-01,07:00,KL Sentral,Tanjong Malim,1
2021-01-01,07:00,KL Sentral,Tapah Road,2
2021-01-01,07:00,KL Sentral,Tasek Gelugor,7
2021-01-01,07:00,Kampar,KL Sentral,2
2021-01-01,07:00,Kuala Lumpur,Alor Setar,2
2021-01-01,07:00,Kuala Lumpur,Anak Bukit,1
2021-01-01,07:00,Kuala Lumpur,Arau,3
2021-01-01,07:00,Kuala Lumpur,Bagan Serai,1
2021-01-01,07:00,Kuala Lumpur,Gurun,2
2021-01-01,07:00,Kuala Lumpur,Parit Buntar,1
2021-01-01,07:00,Kuala Lumpur,Sungai Petani,1
2021-01-01,07:00,Kuala Lumpur,Sungai Siput,3
2021-01-01,07:00,Kuala Lumpur,Taiping,5
2021-01-01,07:00,Sungai Buloh,Alor Setar,7
2021-01-01,07:00,Sungai Buloh,Anak Bukit,1
2021-01-01,07:00,Sungai Buloh,Arau,7
2021-01-01,07:00,Sungai Buloh,Bagan Serai,6
