date,time,origin,destination,ridership
2021-01-01,00:00,Gemas,Dabong,1
2021-01-01,00:00,Gemas,Gua Musang,2
2021-01-01,00:00,Gemas,Krai,3
2021-01-01,00:00,Gemas,Kuala Lipis,1
2021-01-01,00:00,Gemas,Pasir Mas,2
2021-01-01,00:00,Gemas,Tanah Merah,1
2021-01-01,00:00,Gemas,Tumpat,6
2021-01-01,00:00,Gemas,Wakaf Bharu,30
2021-01-01,01:00,Bahau,Jerantut,2
2021-01-01,01:00,Bahau,Kuala Lipis,3
2021-01-01,01:00,Bahau,Pasir Mas,7
2021-01-01,01:00,Bahau,Tanah Merah,3
2021-01-01,01:00,Bahau,Tumpat,7
2021-01-01,01:00,Bahau,Wakaf Bharu,3
2021-01-01,01:00,Kuala Lipis,Kempas Baru,1
2021-01-01,01:00,Kuala Lipis,Kluang,7
2021-01-01,01:00,Kuala Lipis,Kulai,4
2021-01-01,01:00,Kuala Lipis,Segamat,2
2021-01-01,01:00,Kuala Lipis,Triang,1
2021-01-01,02:00,Gemas,JB Sentral,2
2021-01-01,02:00,Gemas,Kempas Baru,1
2021-01-01,02:00,Gemas,Kulai,2
2021-01-01,02:00,Segamat,JB Sentral,2
2021-01-01,02:00,Triang,Krai,2
2021-01-01,03:00,Jerantut,JB Sentral,1
2021-01-01,03:00,Jerantut,Kluang,4
2021-01-01,03:00,Kuala Krau,Kempas Baru,1
2021-01-01,03:00,Kuala Krau,Tanah Merah,1
2021-01-01,03:00,Kuala Lipis,Gua Musang,13
2021-01-01,03:00,Mentakab,Krai,2
2021-01-01,03:00,Mentakab,Pasir Mas,1
2021-01-01,03:00,Mentakab,Tanah Merah,4
2021-01-01,03:00,Mentakab,Tumpat,2
2021-01-01,03:00,Padang Tungku,Gua Musang,2
2021-01-01,04:00,Jerantut,Gua Musang,1
2021-01-01,04:00,Jerantut,Pasir Mas,5
2021-01-01,04:00,Jerantut,Tanah Merah,1
2021-01-01,04:00,Mentakab,Gemas,5
2021-01-01,04:00,Mentakab,Kempas Baru,1
2021-01-01,04:00,Mentakab,Kluang,4
2021-01-01,04:00,Mentakab,Kulai,1
2021-01-01,04:00,Mentakab,Segamat,2
2021-01-01,04:00,Pasir Mas,Dabong,14
2021-01-01,04:00,Pasir Mas,Gua Musang,3
2021-01-01,04:00,Pasir Mas,Kampung Baru Bukit Abu,5
2021-01-01,04:00,Pasir Mas,Kuala Gris,2
2021-01-01,04:00,Pasir Mas,Sri Bintang,2
2021-01-01,04:00,Tumpat,Wakaf Bharu,1
2021-01-01,04:00,Wakaf Bharu,Dabong,17
2021-01-01,04:00,Wakaf Bharu,Gua Musang,4
