date,time,origin,destination,ridership
2020-10-15,00:00,Bukit Mertajam,Sungai Petani,1
2020-10-15,00:00,Kobah,Alor Setar,1
2020-10-15,00:00,Tasek Gelugor,Anak Bukit,1
2020-10-15,01:00,Anak Bukit,Bukit Mertajam,1
2020-10-15,01:00,Kobah,Bukit Tengah,1
2020-10-15,01:00,Sungai Petani,Arau,2
2020-10-15,01:00,Sungai Petani,Tasek Gelugor,1
2020-10-15,02:00,Bukit Mertajam,Taiping,1
2020-10-15,03:00,Kobah,Bukit Tengah,1
2020-10-15,04:00,Anak Bukit,Bukit Tengah,1
2020-10-15,04:00,Kodiang,Bukit Tengah,1
2020-10-15,04:00,Kodiang,Tasek Gelugor,1
2020-10-15,04:00,Taiping,Butterworth,1
2020-10-15,04:00,Tasek Gelugor,Bukit Mertajam,1
2020-10-15,05:00,Alor Setar,Anak Bukit,1
2020-10-15,05:00,Alor Setar,Bukit Mertajam,6
2020-10-15,05:00,Alor Setar,Bukit Tengah,10
2020-10-15,05:00,Alor Setar,Butterworth,10
2020-10-15,05:00,Alor Setar,Gurun,1
2020-10-15,05:00,Alor Setar,Nibong Tebal,1
2020-10-15,05:00,Alor Setar,Parit Buntar,2
2020-10-15,05:00,Alor Setar,Sungai Petani,2
2020-10-15,05:00,Alor Setar,Taiping,1
2020-10-15,05:00,Alor Setar,Tasek Gelugor,5
2020-10-15,05:00,Anak Bukit,Bukit Mertajam,7
2020-10-15,05:00,Anak Bukit,Bukit Tengah,11
2020-10-15,05:00,Anak Bukit,Butterworth,13
2020-10-15,05:00,Anak Bukit,Gurun,1
2020-10-15,05:00,Anak Bukit,Nibong Tebal,2
2020-10-15,05:00,Anak Bukit,Simpang Ampat,1
2020-10-15,05:00,Anak Bukit,Sungai Petani,1
2020-10-15,05:00,Anak Bukit,Tasek Gelugor,1
2020-10-15,05:00,Arau,Bukit Mertajam,3
2020-10-15,05:00,Arau,Bukit Tengah,10
2020-10-15,05:00,Arau,Butterworth,7
2020-10-15,05:00,Arau,Sungai Petani,3
2020-10-15,05:00,Arau,Tasek Gelugor,2
2020-10-15,05:00,Bagan Serai,Arau,1
2020-10-15,05:00,Bagan Serai,Butterworth,1
2020-10-15,05:00,Bagan Serai,Taiping,2
2020-10-15,05:00,Bukit Ketri,Bukit Mertajam,4
2020-10-15,05:00,Bukit Ketri,Bukit Tengah,4
2020-10-15,05:00,Bukit Ketri,Butterworth,1
2020-10-15,05:00,Bukit Ketri,Sungai Petani,1
2020-10-15,05:00,Bukit Mertajam,Alor Setar,2
2020-10-15,05:00,Bukit Mertajam,Kamunting,2
2020-10-15,05:00,Bukit Mertajam,Padang Besar,1
2020-10-15,05:00,Bukit Mertajam,Padang Rengas,3
2020-10-15,05:00,Bukit Mertajam,Taiping,3
2020-10-15,05:00,Bukit Tengah,Alor Setar,2
2020-10-15,05:00,Bukit Tengah,Anak Bukit,2
2020-10-15,05:00,Bukit Tengah,Arau,3
2020-10-15,05:00,Butterworth,Alor Setar,2
2020-10-15,05:00,Butterworth,Anak Bukit,1
2020-10-15,05:00,Butterworth,Kobah,1
2020-10-15,05:00,Butterworth,Sungai Petani,3
2020-10-15,05:00,Butterworth,Taiping,2
2020-10-15,05:00,Kamunting,Bukit Mertajam,2
2020-10-15,05:00,Kamunting,Butterworth,5
2020-10-15,05:00,Kobah,Arau,1
2020-10-15,05:00,Kobah,Butterworth,2
2020-10-15,05:00,Kobah,Gurun,1
2020-10-15,05:00,Kobah,Taiping,1
2020-10-15,05:00,Kodiang,Bukit Mertajam,1
2020-10-15,05:00,Kodiang,Butterworth,1
2020-10-15,05:00,Kodiang,Sungai Petani,1
2020-10-15,05:00,Nibong Tebal,Alor Setar,2
2020-10-15,05:00,Nibong Tebal,Taiping,1
2020-10-15,05:00,Padang Besar,Bukit Mertajam,1
2020-10-15,05:00,Padang Rengas,Bukit Mertajam,1
2020-10-15,05:00,Padang Rengas,Gurun,2
2020-10-15,05:00,Padang Rengas,Kamunting,1
2020-10-15,05:00,Padang Rengas,Nibong Tebal,1
2020-10-15,05:00,Padang Rengas,Parit Buntar,1
2020-10-15,05:00,Padang Rengas,Sungai Petani,1
2020-10-15,05:00,Parit Buntar,Anak Bukit,2
2020-10-15,05:00,Parit Buntar,Kamunting,1
2020-10-15,05:00,Parit Buntar,Kodiang,1
2020-10-15,05:00,Parit Buntar,Taiping,4
2020-10-15,05:00,Simpang Ampat,Kamunting,1
2020-10-15,05:00,Simpang Ampat,Taiping,3
2020-10-15,05:00,Sungai Petani,Alor Setar,3
2020-10-15,05:00,Sungai Petani,Anak Bukit,2
2020-10-15,05:00,Sungai Petani,Arau,22
2020-10-15,05:00,Sungai Petani,Bagan Serai,1
2020-10-15,05:00,Sungai Petani,Bukit Ketri,6
2020-10-15,05:00,Sungai Petani,Bukit Mertajam,1
2020-10-15,05:00,Sungai Petani,Padang Besar,1
2020-10-15,05:00,Taiping,Alor Setar,1
2020-10-15,05:00,Taiping,Bukit Mertajam,2
2020-10-15,05:00,Taiping,Bukit Tengah,1
2020-10-15,05:00,Taiping,Butterworth,8
2020-10-15,05:00,Taiping,Sungai Petani,1
2020-10-15,05:00,Tasek Gelugor,Alor Setar,2
2020-10-15,05:00,Tasek Gelugor,Arau,4
2020-10-15,05:00,Tasek Gelugor,Bukit Ketri,3
2020-10-15,05:00,Tasek Gelugor,Padang Besar,1
2020-10-15,06:00,Alor Setar,Arau,3
2020-10-15,06:00,Alor Setar,Bukit Ketri,1
2020-10-15,06:00,Alor Setar,Bukit Mertajam,7
2020-10-15,06:00,Alor Setar,Bukit Tengah,4
2020-10-15,06:00,Alor Setar,Butterworth,8
2020-10-15,06:00,Alor Setar,Gurun,1
2020-10-15,06:00,Alor Setar,Kobah,1
2020-10-15,06:00,Alor Setar,Parit Buntar,1
2020-10-15,06:00,Alor Setar,Sungai Petani,12
2020-10-15,06:00,Alor Setar,Tasek Gelugor,6
2020-10-15,06:00,Anak Bukit,Bukit Ketri,1
2020-10-15,06:00,Anak Bukit,Bukit Mertajam,5
2020-10-15,06:00,Anak Bukit,Bukit Tengah,8
2020-10-15,06:00,Anak Bukit,Butterworth,6
2020-10-15,06:00,Anak Bukit,Gurun,3
2020-10-15,06:00,Anak Bukit,Sungai Petani,13
2020-10-15,06:00,Anak Bukit,Tasek Gelugor,4
2020-10-15,06:00,Arau,Alor Setar,7
2020-10-15,06:00,Arau,Anak Bukit,4
2020-10-15,06:00,Arau,Bukit Ketri,1
2020-10-15,06:00,Arau,Bukit Mertajam,6
2020-10-15,06:00,Arau,Bukit Tengah,10
2020-10-15,06:00,Arau,Butterworth,3
2020-10-15,06:00,Arau,Gurun,4
2020-10-15,06:00,Arau,Kodiang,1
2020-10-15,06:00,Arau,Padang Besar,1
2020-10-15,06:00,Arau,Sungai Petani,7
2020-10-15,06:00,Arau,Tasek Gelugor,2
2020-10-15,06:00,Bagan Serai,Anak Bukit,1
2020-10-15,06:00,Bagan Serai,Arau,1
2020-10-15,06:00,Bagan Serai,Butterworth,2
2020-10-15,06:00,Bagan Serai,Taiping,1
2020-10-15,06:00,Bukit Ketri,Alor Setar,5
2020-10-15,06:00,Bukit Ketri,Bukit Tengah,1
2020-10-15,06:00,Bukit Ketri,Butterworth,2
2020-10-15,06:00,Bukit Ketri,Gurun,3
2020-10-15,06:00,Bukit Ketri,Sungai Petani,2
2020-10-15,06:00,Bukit Ketri,Tasek Gelugor,4
2020-10-15,06:00,Bukit Mertajam,Alor Setar,11
2020-10-15,06:00,Bukit Mertajam,Anak Bukit,1
2020-10-15,06:00,Bukit Mertajam,Arau,5
2020-10-15,06:00,Bukit Mertajam,Bagan Serai,1
2020-10-15,06:00,Bukit Mertajam,Butterworth,7
2020-10-15,06:00,Bukit Mertajam,Kamunting,2
2020-10-15,06:00,Bukit Mertajam,Kobah,3
2020-10-15,06:00,Bukit Mertajam,Nibong Tebal,1
2020-10-15,06:00,Bukit Mertajam,Padang Rengas,4
2020-10-15,06:00,Bukit Mertajam,Simpang Ampat,3
2020-10-15,06:00,Bukit Mertajam,Sungai Petani,5
2020-10-15,06:00,Bukit Mertajam,Taiping,1
2020-10-15,06:00,Bukit Tengah,Alor Setar,6
2020-10-15,06:00,Bukit Tengah,Anak Bukit,2
2020-10-15,06:00,Bukit Tengah,Arau,4
2020-10-15,06:00,Bukit Tengah,Butterworth,1
2020-10-15,06:00,Bukit Tengah,Gurun,4
2020-10-15,06:00,Bukit Tengah,Kobah,1
2020-10-15,06:00,Bukit Tengah,Taiping,2
2020-10-15,06:00,Butterworth,Alor Setar,2
2020-10-15,06:00,Butterworth,Anak Bukit,6
2020-10-15,06:00,Butterworth,Arau,3
2020-10-15,06:00,Butterworth,Bukit Mertajam,1
2020-10-15,06:00,Butterworth,Kodiang,2
2020-10-15,06:00,Butterworth,Sungai Petani,2
