date,time,origin,destination,ridership
2022-06-19,05:00,JB Sentral,Woodlands CIQ,80
2022-06-19,06:00,JB Sentral,Woodlands CIQ,37
2022-06-19,07:00,JB Sentral,Woodlands CIQ,58
2022-06-19,08:00,JB Sentral,Woodlands CIQ,152
2022-06-19,08:00,Woodlands CIQ,JB Sentral,240
2022-06-19,09:00,Woodlands CIQ,JB Sentral,241
2022-06-19,10:00,JB Sentral,Woodlands CIQ,243
2022-06-19,11:00,JB Sentral,Woodlands CIQ,248
2022-06-19,11:00,Woodlands CIQ,JB Sentral,241
2022-06-19,12:00,JB Sentral,Woodlands CIQ,240
2022-06-19,12:00,Woodlands CIQ,JB Sentral,195
2022-06-19,13:00,Woodlands CIQ,JB Sentral,101
2022-06-19,14:00,JB Sentral,Woodlands CIQ,241
2022-06-19,15:00,JB Sentral,Woodlands CIQ,242
2022-06-19,15:00,Woodlands CIQ,JB Sentral,66
2022-06-19,16:00,JB Sentral,Woodlands CIQ,241
2022-06-19,16:00,Woodlands CIQ,JB Sentral,52
2022-06-19,17:00,JB Sentral,Woodlands CIQ,243
2022-06-19,17:00,Woodlands CIQ,JB Sentral,40
2022-06-19,18:00,Woodlands CIQ,JB Sentral,54
2022-06-19,19:00,JB Sentral,Woodlands CIQ,242
2022-06-19,20:00,JB Sentral,Woodlands CIQ,242
2022-06-19,20:00,Woodlands CIQ,JB Sentral,56
2022-06-19,21:00,JB Sentral,Woodlands CIQ,240
2022-06-19,21:00,Woodlands CIQ,JB Sentral,37
2022-06-19,22:00,JB Sentral,Woodlands CIQ,242
2022-06-19,22:00,Woodlands CIQ,JB Sentral,19
2022-06-19,23:00,Woodlands CIQ,JB Sentral,15
2022-06-20,05:00,JB Sentral,Woodlands CIQ,380
2022-06-20,06:00,JB Sentral,Woodlands CIQ,480
2022-06-20,07:00,JB Sentral,Woodlands CIQ,480
2022-06-20,08:00,JB Sentral,Woodlands CIQ,241
2022-06-20,08:00,Woodlands CIQ,JB Sentral,223
2022-06-20,09:00,Woodlands CIQ,JB Sentral,241
2022-06-20,10:00,JB Sentral,Woodlands CIQ,161
2022-06-20,11:00,JB Sentral,Woodlands CIQ,116
2022-06-20,11:00,Woodlands CIQ,JB Sentral,242
2022-06-20,12:00,JB Sentral,Woodlands CIQ,133
2022-06-20,12:00,Woodlands CIQ,JB Sentral,244
2022-06-20,13:00,Woodlands CIQ,JB Sentral,108
2022-06-20,14:00,JB Sentral,Woodlands CIQ,239
2022-06-20,15:00,JB Sentral,Woodlands CIQ,243
2022-06-20,15:00,Woodlands CIQ,JB Sentral,67
2022-06-20,16:00,JB Sentral,Woodlands CIQ,244
2022-06-20,16:00,Woodlands CIQ,JB Sentral,55
2022-06-20,17:00,JB Sentral,Woodlands CIQ,241
2022-06-20,17:00,Woodlands CIQ,JB Sentral,49
2022-06-20,18:00,Woodlands CIQ,JB Sentral,162
2022-06-20,19:00,JB Sentral,Woodlands CIQ,240
2022-06-20,20:00,JB Sentral,Woodlands CIQ,242
2022-06-20,20:00,Woodlands CIQ,JB Sentral,119
2022-06-20,21:00,JB Sentral,Woodlands CIQ,244
2022-06-20,21:00,Woodlands CIQ,JB Sentral,68
2022-06-20,22:00,JB Sentral,Woodlands CIQ,240
2022-06-20,22:00,Woodlands CIQ,JB Sentral,39
2022-06-20,23:00,Woodlands CIQ,JB Sentral,12
2022-06-21,05:00,JB Sentral,Woodlands CIQ,189
2022-06-21,06:00,JB Sentral,Woodlands CIQ,443
2022-06-21,07:00,JB Sentral,Woodlands CIQ,458
2022-06-21,08:00,JB Sentral,Woodlands CIQ,151
2022-06-21,08:00,Woodlands CIQ,JB Sentral,204
2022-06-21,09:00,Woodlands CIQ,JB Sentral,240
2022-06-21,10:00,JB Sentral,Woodlands CIQ,83
2022-06-21,11:00,JB Sentral,Woodlands CIQ,80
2022-06-21,11:00,Woodlands CIQ,JB Sentral,243
2022-06-21,12:00,JB Sentral,Woodlands CIQ,104
2022-06-21,12:00,Woodlands CIQ,JB Sentral,225
