state,sex,age,date,proportion
Malaysia,both,15+,2016-01-01,94.9
Malaysia,both,15+,2017-01-01,95.1
Malaysia,both,15+,2018-01-01,94.9
Malaysia,both,15+,2019-01-01,95.0
Malaysia,both,15+,2020-01-01,95.5
Malaysia,both,15+,2021-01-01,94.6
Malaysia,both,15+,2022-01-01,95.7
Malaysia,both,15-24,2016-01-01,97.6
Malaysia,both,15-24,2017-01-01,97.3
Malaysia,both,15-24,2018-01-01,96.8
Malaysia,both,15-24,2019-01-01,96.8
Malaysia,both,15-24,2020-01-01,97.4
Malaysia,both,15-24,2021-01-01,97.3
Malaysia,both,15-24,2022-01-01,98.6
Malaysia,female,15+,2016-01-01,93.4
Malaysia,female,15+,2017-01-01,93.6
Malaysia,female,15+,2018-01-01,93.5
Malaysia,female,15+,2019-01-01,93.6
Malaysia,female,15+,2020-01-01,94.3
Malaysia,female,15+,2021-01-01,93.7
Malaysia,female,15+,2022-01-01,94.6
Malaysia,female,15-24,2016-01-01,97.8
Malaysia,female,15-24,2017-01-01,97.4
Malaysia,female,15-24,2018-01-01,97.0
Malaysia,female,15-24,2019-01-01,97.0
Malaysia,female,15-24,2020-01-01,97.5
Malaysia,female,15-24,2021-01-01,97.5
Malaysia,female,15-24,2022-01-01,98.0
Malaysia,male,15+,2016-01-01,96.3
Malaysia,male,15+,2017-01-01,96.5
Malaysia,male,15+,2018-01-01,96.1
Malaysia,male,15+,2019-01-01,96.2
Malaysia,male,15+,2020-01-01,96.6
Malaysia,male,15+,2021-01-01,95.6
Malaysia,male,15+,2022-01-01,96.8
Malaysia,male,15-24,2016-01-01,97.4
Malaysia,male,15-24,2017-01-01,97.1
Malaysia,male,15-24,2018-01-01,96.7
Malaysia,male,15-24,2019-01-01,96.59679868
Malaysia,male,15-24,2020-01-01,97.3
Malaysia,male,15-24,2021-01-01,97.2
Malaysia,male,15-24,2022-01-01,99.1
Johor,both,15+,2016-01-01,96.2
Johor,both,15+,2017-01-01,96.6
Johor,both,15+,2018-01-01,96.4
Johor,both,15+,2019-01-01,96.3
Johor,both,15+,2020-01-01,96.7
Johor,both,15+,2021-01-01,95.9
Johor,both,15+,2022-01-01,97.4
Johor,both,15-24,2016-01-01,99.3
Johor,both,15-24,2017-01-01,99.1
Johor,both,15-24,2018-01-01,98.6
Johor,both,15-24,2019-01-01,98.6
Johor,both,15-24,2020-01-01,97.9
Johor,both,15-24,2021-01-01,98.7
Johor,both,15-24,2022-01-01,99.3
Johor,female,15+,2016-01-01,94.8
Johor,female,15+,2017-01-01,95.1
Johor,female,15+,2018-01-01,95.3
Johor,female,15+,2019-01-01,95.3
Johor,female,15+,2020-01-01,96.1
Johor,female,15+,2021-01-01,95.4
Johor,female,15+,2022-01-01,96.3
Johor,female,15-24,2016-01-01,99.6
Johor,female,15-24,2017-01-01,99.5
Johor,female,15-24,2018-01-01,99.1
Johor,female,15-24,2019-01-01,98.9
Johor,female,15-24,2020-01-01,99.1
Johor,female,15-24,2021-01-01,99.7
Johor,female,15-24,2022-01-01,98.9
Johor,male,15+,2016-01-01,97.4
Johor,male,15+,2017-01-01,97.9
Johor,male,15+,2018-01-01,97.4
Johor,male,15+,2019-01-01,97.3
Johor,male,15+,2020-01-01,97.3
Johor,male,15+,2021-01-01,96.4
Johor,male,15+,2022-01-01,98.4
Johor,male,15-24,2016-01-01,99.0
Johor,male,15-24,2017-01-01,98.7
Johor,male,15-24,2018-01-01,98.2
Johor,male,15-24,2019-01-01,98.27163028
Johor,male,15-24,2020-01-01,96.9
Johor,male,15-24,2021-01-01,97.8
Johor,male,15-24,2022-01-01,99.6
Kedah,both,15+,2016-01-01,94.4
Kedah,both,15+,2017-01-01,95.1
Kedah,both,15+,2018-01-01,95.0
Kedah,both,15+,2019-01-01,95.2
Kedah,both,15+,2020-01-01,95.4
Kedah,both,15+,2021-01-01,95.3
Kedah,both,15+,2022-01-01,96.0
