state,date,sex,value
Malaysia,2016-01-01,both,0.28235294117647064
Malaysia,2017-01-01,both,0.2346749226006192
Malaysia,2018-01-01,both,0.2
Malaysia,2019-01-01,both,0.15
Malaysia,2020-01-01,both,0.13868606052537052
Malaysia,2021-01-01,both,0.16576473765934482
Malaysia,2022-01-01,both,0.024466234684710517
Johor,2018-01-01,both,0.29
Johor,2019-01-01,both,0.19
Johor,2020-10-01,both,0.07481912476587849
Johor,2021-01-01,both,0.17413112919808388
Johor,2022-01-01,both,0.0
Kedah,2018-01-01,both,0.18
Kedah,2019-01-01,both,0.14
Kedah,2020-10-01,both,0.09383384934130984
Kedah,2021-01-01,both,0.13942632573521824
Kedah,2022-01-01,both,0.0
Kelantan,2018-01-01,both,0.0
Kelantan,2019-01-01,both,0.11
Kelantan,2020-10-01,both,0.11157594891160451
Kelantan,2021-01-01,both,0.05517831977602017
Kelantan,2022-01-01,both,0.0
Melaka,2018-01-01,both,0.33
Melaka,2019-01-01,both,0.32
Melaka,2020-10-01,both,0.0
Melaka,2021-01-01,both,0.19910204975560222
Melaka,2022-01-01,both,0.0
Negeri Sembilan,2018-01-01,both,0.0
Negeri Sembilan,2019-01-01,both,0.18
Negeri Sembilan,2020-10-01,both,0.2500054167840303
Negeri Sembilan,2021-01-01,both,0.249137361884475
Negeri Sembilan,2022-01-01,both,0.0
Pahang,2018-01-01,both,0.24
Pahang,2019-01-01,both,0.18
Pahang,2020-10-01,both,0.12568379841575572
Pahang,2021-01-01,both,0.18732964710216646
Pahang,2022-01-01,both,0.0
Perak,2018-01-01,both,0.48
Perak,2019-01-01,both,0.16
Perak,2020-10-01,both,0.2804441112946462
Perak,2021-01-01,both,0.3974866126508859
Perak,2022-01-01,both,0.0
Perlis,2018-01-01,both,0.0
Perlis,2019-01-01,both,0.0
Perlis,2020-10-01,both,0.0
Perlis,2021-01-01,both,0.0
Perlis,2022-01-01,both,0.0
Pulau Pinang,2018-01-01,both,0.17
Pulau Pinang,2019-01-01,both,0.11
Pulau Pinang,2020-10-01,both,0.17237367164539288
Pulau Pinang,2021-01-01,both,0.22988651077679226
Pulau Pinang,2022-01-01,both,0.0
Sabah,2018-01-01,both,0.18
Sabah,2019-01-01,both,0.18
Sabah,2020-10-01,both,0.08775047275567197
Sabah,2021-01-01,both,0.029303067562324692
Sabah,2022-01-01,both,0.0
Sarawak,2018-01-01,both,0.11
Sarawak,2019-01-01,both,0.11
Sarawak,2020-10-01,both,0.08151032104062597
Sarawak,2021-01-01,both,0.08111721112538774
Sarawak,2022-01-01,both,0.08085852345867482
Selangor,2018-01-01,both,0.2
Selangor,2019-01-01,both,0.17
Selangor,2020-10-01,both,0.057188419974027876
Selangor,2021-01-01,both,0.19958008350430692
Selangor,2022-01-01,both,0.042551187660382524
Terengganu,2018-01-01,both,0.16
Terengganu,2019-01-01,both,0.0
Terengganu,2020-10-01,both,0.26099665924276166
Terengganu,2021-01-01,both,0.0
Terengganu,2022-01-01,both,0.16854851078963293
W.P. Kuala Lumpur,2018-01-01,both,0.22
W.P. Kuala Lumpur,2019-01-01,both,0.06
W.P. Kuala Lumpur,2020-10-01,both,0.5549635943882081
W.P. Kuala Lumpur,2021-01-01,both,0.20366308423301502
W.P. Kuala Lumpur,2022-01-01,both,0.0
W.P. Labuan,2018-01-01,both,0.0
W.P. Labuan,2019-01-01,both,0.0
W.P. Labuan,2020-10-01,both,0.0
W.P. Labuan,2021-01-01,both,0.0
W.P. Labuan,2022-01-01,both,1.0322154440074733
W.P. Putrajaya,2018-01-01,both,0.0
W.P. Putrajaya,2019-01-01,both,0.0
W.P. Putrajaya,2020-10-01,both,0.0
W.P. Putrajaya,2021-01-01,both,0.0
W.P. Putrajaya,2022-01-01,both,0.0
Malaysia,2016-01-01,female,0.09882352941176473
Malaysia,2017-01-01,female,0.08213622291021673
Malaysia,2018-01-01,female,0.07
Malaysia,2019-01-01,female,0.1
Malaysia,2020-01-01,female,0.0775135312787769
Malaysia,2021-01-01,female,0.03852122166202379
Malaysia,2022-01-01,female,0.006386387695627827
Johor,2018-01-01,female,0.11
Johor,2019-01-01,female,0.06
Johor,2020-10-01,female,0.0
Johor,2021-01-01,female,0.0
Johor,2022-01-01,female,0.0
Kedah,2018-01-01,female,0.0
Kedah,2019-01-01,female,0.19
Kedah,2020-10-01,female,0.0
Kedah,2021-01-01,female,0.0
Kedah,2022-01-01,female,0.0
Kelantan,2018-01-01,female,0.0
Kelantan,2019-01-01,female,0.0
Kelantan,2020-10-01,female,0.0
Kelantan,2021-01-01,female,0.0
Kelantan,2022-01-01,female,0.0
Melaka,2018-01-01,female,0.22
Melaka,2019-01-01,female,0.43
Melaka,2020-10-01,female,0.0
Melaka,2021-01-01,female,0.0
Melaka,2022-01-01,female,0.0
Negeri Sembilan,2018-01-01,female,0.0
Negeri Sembilan,2019-01-01,female,0.37
Negeri Sembilan,2020-10-01,female,0.17361111111111113
Negeri Sembilan,2021-01-01,female,0.0
Negeri Sembilan,2022-01-01,female,0.0
Pahang,2018-01-01,female,0.0
Pahang,2019-01-01,female,0.13
Pahang,2020-10-01,female,0.0
Pahang,2021-01-01,female,0.13255075368358546
Pahang,2022-01-01,female,0.0
Perak,2018-01-01,female,0.16
Perak,2019-01-01,female,0.08
Perak,2020-10-01,female,0.08362581461996667
Perak,2021-01-01,female,0.24859605378624222
Perak,2022-01-01,female,0.0
Perlis,2018-01-01,female,0.0
Perlis,2019-01-01,female,0.0
Perlis,2020-10-01,female,0.0
Perlis,2021-01-01,female,0.0
Perlis,2022-01-01,female,0.0
Pulau Pinang,2018-01-01,female,0.11
Pulau Pinang,2019-01-01,female,0.11
Pulau Pinang,2020-10-01,female,0.0
Pulau Pinang,2021-01-01,female,0.11783670660545442
Pulau Pinang,2022-01-01,female,0.0
Sabah,2018-01-01,female,0.05
Sabah,2019-01-01,female,0.11
Sabah,2020-10-01,female,0.06101359443897694
Sabah,2021-01-01,female,0.0
Sabah,2022-01-01,female,0.0
Sarawak,2018-01-01,female,0.07
Sarawak,2019-01-01,female,0.0
Sarawak,2020-10-01,female,0.16890237105148484
Sarawak,2021-01-01,female,0.0
Sarawak,2022-01-01,female,0.08351490866392014
Selangor,2018-01-01,female,0.1
Selangor,2019-01-01,female,0.06
Selangor,2020-10-01,female,0.06090749734747849
Selangor,2021-01-01,female,0.030259566561968567
Selangor,2022-01-01,female,0.0
Terengganu,2018-01-01,female,0.0
Terengganu,2019-01-01,female,0.0
Terengganu,2020-10-01,female,0.35614120998976095
Terengganu,2021-01-01,female,0.0
Terengganu,2022-01-01,female,0.0
W.P. Kuala Lumpur,2018-01-01,female,0.0
W.P. Kuala Lumpur,2019-01-01,female,0.12
W.P. Kuala Lumpur,2020-10-01,female,0.3249545605206205
W.P. Kuala Lumpur,2021-01-01,female,0.0
W.P. Kuala Lumpur,2022-01-01,female,0.0
W.P. Labuan,2018-01-01,female,0.0
W.P. Labuan,2019-01-01,female,0.0
W.P. Labuan,2020-10-01,female,0.0
W.P. Labuan,2021-01-01,female,0.0
W.P. Labuan,2022-01-01,female,0.0
W.P. Putrajaya,2018-01-01,female,0.0
W.P. Putrajaya,2019-01-01,female,0.0
W.P. Putrajaya,2020-10-01,female,0.0
W.P. Putrajaya,2021-01-01,female,0.0
W.P. Putrajaya,2022-01-01,female,0.0
Malaysia,2016-01-01,male,0.4658823529411765
Malaysia,2017-01-01,male,0.3872136222910217
Malaysia,2018-01-01,male,0.33
Malaysia,2019-01-01,male,0.2
Malaysia,2020-01-01,male,0.1945041726154982
Malaysia,2021-01-01,male,0.2823453178528886
Malaysia,2022-01-01,male,0.04108024374199705
Johor,2018-01-01,male,0.46
Johor,2019-01-01,male,0.3
Johor,2020-10-01,male,0.14010134931609527
Johor,2021-01-01,male,0.3272847985562065
Johor,2022-01-01,male,0.0
Kedah,2018-01-01,male,0.36
Kedah,2019-01-01,male,0.09
Kedah,2020-10-01,male,0.18394424282111604
Kedah,2021-01-01,male,0.2737820804152727
Kedah,2022-01-01,male,0.0
Kelantan,2018-01-01,male,0.0
Kelantan,2019-01-01,male,0.21
Kelantan,2020-10-01,male,0.22220666775547934
Kelantan,2021-01-01,male,0.10992900784673258
Kelantan,2022-01-01,male,0.0
Melaka,2018-01-01,male,0.43
Melaka,2019-01-01,male,0.21
Melaka,2020-10-01,male,0.0
Melaka,2021-01-01,male,0.3792094620344967
Melaka,2022-01-01,male,0.0
Negeri Sembilan,2018-01-01,male,0.0
Negeri Sembilan,2019-01-01,male,0.0
Negeri Sembilan,2020-10-01,male,0.32052617577014425
Negeri Sembilan,2021-01-01,male,0.48059593896431574
Negeri Sembilan,2022-01-01,male,0.0
Pahang,2018-01-01,male,0.45
Pahang,2019-01-01,male,0.23
Pahang,2020-10-01,male,0.23692443650484332
Pahang,2021-01-01,male,0.23611998200765735
Pahang,2022-01-01,male,0.0
Perak,2018-01-01,male,0.79
Perak,2019-01-01,male,0.24
Perak,2020-10-01,male,0.4614539799636682
Perak,2021-01-01,male,0.5347466943105244
Perak,2022-01-01,male,0.0
Perlis,2018-01-01,male,0.0
Perlis,2019-01-01,male,0.0
Perlis,2020-10-01,male,0.0
Perlis,2021-01-01,male,0.0
Perlis,2022-01-01,male,0.0
Pulau Pinang,2018-01-01,male,0.23
Pulau Pinang,2019-01-01,male,0.11
Pulau Pinang,2020-10-01,male,0.3361141174651618
Pulau Pinang,2021-01-01,male,0.3365654838633679
Pulau Pinang,2022-01-01,male,0.0
Sabah,2018-01-01,male,0.29
Sabah,2019-01-01,male,0.25
Sabah,2020-10-01,male,0.11237179782515622
Sabah,2021-01-01,male,0.05619625530633141
Sabah,2022-01-01,male,0.0
Sarawak,2018-01-01,male,0.14
Sarawak,2019-01-01,male,0.21
Sarawak,2020-10-01,male,0.0
Sarawak,2021-01-01,male,0.1570340661851479
Sarawak,2022-01-01,male,0.07836591396206306
Selangor,2018-01-01,male,0.3
Selangor,2019-01-01,male,0.27
Selangor,2020-10-01,male,0.0538973874588864
Selangor,2021-01-01,male,0.3504054460553511
Selangor,2022-01-01,male,0.08055233122474181
Terengganu,2018-01-01,male,0.32
Terengganu,2019-01-01,male,0.0
Terengganu,2020-10-01,male,0.17010708240837608
Terengganu,2021-01-01,male,0.0
Terengganu,2022-01-01,male,0.3294529269421662
W.P. Kuala Lumpur,2018-01-01,male,0.44
W.P. Kuala Lumpur,2019-01-01,male,0.0
W.P. Kuala Lumpur,2020-10-01,male,0.7554967107561955
W.P. Kuala Lumpur,2021-01-01,male,0.3827040721626798
W.P. Kuala Lumpur,2022-01-01,male,0.0
W.P. Labuan,2018-01-01,male,0.0
W.P. Labuan,2019-01-01,male,0.0
W.P. Labuan,2020-10-01,male,0.0
W.P. Labuan,2021-01-01,male,0.0
W.P. Labuan,2022-01-01,male,2.006460803788198
W.P. Putrajaya,2018-01-01,male,0.0
W.P. Putrajaya,2019-01-01,male,0.0
W.P. Putrajaya,2020-10-01,male,0.0
W.P. Putrajaya,2021-01-01,male,0.0
W.P. Putrajaya,2022-01-01,male,0.0
