date,type,sex,age,value
2016-01-01,all,both,18_and_above,652.0
2016-01-01,all,both,18_below,24.0
2016-01-01,all,both,all,676.0
2016-01-01,all,female,18_and_above,569.0
2016-01-01,all,female,18_below,20.0
2016-01-01,all,female,all,589.0
2016-01-01,all,male,18_and_above,83.0
2016-01-01,all,male,18_below,4.0
2016-01-01,all,male,all,87.0
2016-01-01,forced_labour,both,18_and_above,141.0
2016-01-01,forced_labour,both,18_below,19.0
2016-01-01,forced_labour,both,all,160.0
2016-01-01,forced_labour,female,18_and_above,58.0
2016-01-01,forced_labour,female,18_below,15.0
2016-01-01,forced_labour,female,all,73.0
2016-01-01,forced_labour,male,18_and_above,83.0
2016-01-01,forced_labour,male,18_below,4.0
2016-01-01,forced_labour,male,all,87.0
2016-01-01,sexual_exploitation,both,18_and_above,511.0
2016-01-01,sexual_exploitation,both,18_below,5.0
2016-01-01,sexual_exploitation,both,all,516.0
2016-01-01,sexual_exploitation,female,18_and_above,511.0
2016-01-01,sexual_exploitation,female,18_below,5.0
2016-01-01,sexual_exploitation,female,all,516.0
2017-01-01,all,both,18_and_above,471.0
2017-01-01,all,both,18_below,43.0
2017-01-01,all,both,all,514.0
2017-01-01,all,female,18_and_above,392.0
2017-01-01,all,female,18_below,28.0
2017-01-01,all,female,all,420.0
2017-01-01,all,male,18_and_above,79.0
2017-01-01,all,male,18_below,15.0
2017-01-01,all,male,all,94.0
2017-01-01,forced_labour,both,18_and_above,152.0
2017-01-01,forced_labour,both,18_below,43.0
2017-01-01,forced_labour,both,all,195.0
2017-01-01,forced_labour,female,18_and_above,73.0
2017-01-01,forced_labour,female,18_below,28.0
2017-01-01,forced_labour,female,all,101.0
2017-01-01,forced_labour,male,18_and_above,79.0
2017-01-01,forced_labour,male,18_below,15.0
2017-01-01,forced_labour,male,all,94.0
2017-01-01,sexual_exploitation,both,18_and_above,319.0
2017-01-01,sexual_exploitation,both,18_below,
2017-01-01,sexual_exploitation,both,all,319.0
2017-01-01,sexual_exploitation,female,18_and_above,319.0
2017-01-01,sexual_exploitation,female,18_below,
2017-01-01,sexual_exploitation,female,all,319.0
2018-01-01,all,both,18_and_above,54.0
2018-01-01,all,both,18_below,6.0
2018-01-01,all,both,all,60.0
2018-01-01,all,female,18_and_above,52.0
2018-01-01,all,female,18_below,2.0
2018-01-01,all,female,all,54.0
2018-01-01,all,male,18_and_above,2.0
2018-01-01,all,male,18_below,4.0
2018-01-01,all,male,all,6.0
2018-01-01,forced_labour,both,18_and_above,25.0
2018-01-01,forced_labour,both,18_below,4.0
2018-01-01,forced_labour,both,all,29.0
2018-01-01,forced_labour,female,18_and_above,23.0
2018-01-01,forced_labour,female,18_below,
2018-01-01,forced_labour,female,all,23.0
2018-01-01,forced_labour,male,18_and_above,2.0
2018-01-01,forced_labour,male,18_below,4.0
2018-01-01,forced_labour,male,all,6.0
2018-01-01,sexual_exploitation,both,18_and_above,29.0
2018-01-01,sexual_exploitation,both,18_below,2.0
2018-01-01,sexual_exploitation,both,all,31.0
2018-01-01,sexual_exploitation,female,18_and_above,29.0
2018-01-01,sexual_exploitation,female,18_below,2.0
2018-01-01,sexual_exploitation,female,all,31.0
2019-01-01,all,both,18_and_above,90.0
2019-01-01,all,both,18_below,1.0
2019-01-01,all,both,all,91.0
2019-01-01,all,female,18_and_above,86.0
2019-01-01,all,female,18_below,1.0
2019-01-01,all,female,all,87.0
2019-01-01,all,male,18_and_above,4.0
2019-01-01,all,male,18_below,
2019-01-01,all,male,all,4.0
2019-01-01,forced_labour,both,18_and_above,36.0
