series,date,section,index
index,2015-01-01,H,102.6
index,2015-01-01,I,115.4
index,2015-01-01,J,100.5
index,2015-01-01,L,117.7
index,2015-01-01,M,101.1
index,2015-01-01,P,106.8
index,2015-01-01,Q,100.8
index,2015-01-01,R,100.7
index,2015-04-01,H,102.3
index,2015-04-01,I,117.0
index,2015-04-01,J,100.5
index,2015-04-01,L,117.7
index,2015-04-01,M,101.2
index,2015-04-01,P,107.5
index,2015-04-01,Q,100.8
index,2015-04-01,R,101.4
index,2015-07-01,H,103.3
index,2015-07-01,I,118.2
index,2015-07-01,J,100.5
index,2015-07-01,L,118.7
index,2015-07-01,M,101.2
index,2015-07-01,P,107.6
index,2015-07-01,Q,100.9
index,2015-07-01,R,102.1
index,2015-10-01,H,104.4
index,2015-10-01,I,119.0
index,2015-10-01,J,100.6
index,2015-10-01,L,119.0
index,2015-10-01,M,102.0
index,2015-10-01,P,107.6
index,2015-10-01,Q,101.3
index,2015-10-01,R,102.4
index,2016-01-01,H,104.8
index,2016-01-01,I,120.1
index,2016-01-01,J,100.6
index,2016-01-01,L,119.3
index,2016-01-01,M,102.0
index,2016-01-01,P,108.8
index,2016-01-01,Q,102.0
index,2016-01-01,R,101.8
index,2016-04-01,H,103.0
index,2016-04-01,I,120.7
index,2016-04-01,J,100.6
index,2016-04-01,L,120.1
index,2016-04-01,M,102.1
index,2016-04-01,P,109.0
index,2016-04-01,Q,102.1
index,2016-04-01,R,101.7
index,2016-07-01,H,103.0
index,2016-07-01,I,121.5
index,2016-07-01,J,100.6
index,2016-07-01,L,120.3
index,2016-07-01,M,102.1
index,2016-07-01,P,110.0
index,2016-07-01,Q,102.6
index,2016-07-01,R,100.9
index,2016-10-01,H,103.1
index,2016-10-01,I,122.3
index,2016-10-01,J,100.6
index,2016-10-01,L,121.1
index,2016-10-01,M,102.7
index,2016-10-01,P,110.1
index,2016-10-01,Q,102.9
index,2016-10-01,R,99.0
index,2017-01-01,H,102.8
index,2017-01-01,I,124.1
index,2017-01-01,J,100.6
index,2017-01-01,L,121.2
index,2017-01-01,M,102.8
index,2017-01-01,P,111.7
index,2017-01-01,Q,104.6
index,2017-01-01,R,98.9
index,2017-04-01,H,102.8
index,2017-04-01,I,125.5
index,2017-04-01,J,100.7
index,2017-04-01,L,122.7
index,2017-04-01,M,103.0
index,2017-04-01,P,112.1
index,2017-04-01,Q,104.9
index,2017-04-01,R,99.4
index,2017-07-01,H,103.2
index,2017-07-01,I,126.4
index,2017-07-01,J,100.7
index,2017-07-01,L,122.9
index,2017-07-01,M,103.0
index,2017-07-01,P,112.6
index,2017-07-01,Q,105.0
index,2017-07-01,R,98.9
index,2017-10-01,H,103.5
index,2017-10-01,I,127.4
index,2017-10-01,J,100.7
index,2017-10-01,L,123.0
index,2017-10-01,M,103.3
index,2017-10-01,P,112.6
index,2017-10-01,Q,105.1
index,2017-10-01,R,99.9
index,2018-01-01,H,103.4
index,2018-01-01,I,128.5
index,2018-01-01,J,101.1
index,2018-01-01,L,122.9
index,2018-01-01,M,103.7
index,2018-01-01,P,113.4
index,2018-01-01,Q,105.2
index,2018-01-01,R,100.2
index,2018-04-01,H,103.5
index,2018-04-01,I,129.1
index,2018-04-01,J,101.1
index,2018-04-01,L,123.2
index,2018-04-01,M,103.7
index,2018-04-01,P,113.3
index,2018-04-01,Q,105.3
index,2018-04-01,R,100.2
index,2018-07-01,H,103.5
index,2018-07-01,I,129.2
index,2018-07-01,J,101.1
index,2018-07-01,L,123.6
index,2018-07-01,M,103.7
index,2018-07-01,P,113.8
index,2018-07-01,Q,105.5
index,2018-07-01,R,100.7
index,2018-10-01,H,103.5
index,2018-10-01,I,130.5
index,2018-10-01,J,101.1
index,2018-10-01,L,123.8
index,2018-10-01,M,103.7
index,2018-10-01,P,114.2
index,2018-10-01,Q,105.5
index,2018-10-01,R,101.0
index,2019-01-01,H,103.9
index,2019-01-01,I,131.6
index,2019-01-01,J,101.1
index,2019-01-01,L,124.0
index,2019-01-01,M,103.7
index,2019-01-01,P,114.2
index,2019-01-01,Q,105.6
index,2019-01-01,R,100.8
index,2019-04-01,H,103.9
index,2019-04-01,I,132.0
index,2019-04-01,J,101.2
index,2019-04-01,L,124.2
index,2019-04-01,M,103.7
index,2019-04-01,P,114.3
index,2019-04-01,Q,105.6
index,2019-04-01,R,101.3
index,2019-07-01,H,103.8
index,2019-07-01,I,132.4
index,2019-07-01,J,101.2
index,2019-07-01,L,124.2
index,2019-07-01,M,103.7
index,2019-07-01,P,114.5
index,2019-07-01,Q,105.6
index,2019-07-01,R,100.2
index,2019-10-01,H,103.7
index,2019-10-01,I,132.8
index,2019-10-01,J,101.2
index,2019-10-01,L,124.2
index,2019-10-01,M,103.7
index,2019-10-01,P,114.6
index,2019-10-01,Q,105.7
index,2019-10-01,R,100.1
index,2020-01-01,H,104.0
index,2020-01-01,I,133.3
index,2020-01-01,J,101.2
index,2020-01-01,L,124.3
index,2020-01-01,M,103.7
index,2020-01-01,P,114.9
index,2020-01-01,Q,105.8
index,2020-01-01,R,100.1
index,2020-04-01,H,104.4
index,2020-04-01,I,133.6
index,2020-04-01,J,101.1
index,2020-04-01,L,125.0
index,2020-04-01,M,103.6
index,2020-04-01,P,115.2
index,2020-04-01,Q,106.9
index,2020-04-01,R,100.1
index,2020-07-01,H,105.6
index,2020-07-01,I,134.4
index,2020-07-01,J,101.1
index,2020-07-01,L,126.3
index,2020-07-01,M,103.7
index,2020-07-01,P,115.4
index,2020-07-01,Q,107.0
