series,date,division,index
index,2015-01-01,49,105.9
index,2015-01-01,50,100.4
index,2015-01-01,51,100.7
index,2015-01-01,53,106.5
index,2015-01-01,55,101.6
index,2015-01-01,56,118.6
index,2015-01-01,61,100.4
index,2015-01-01,62,101.6
index,2015-01-01,63,100.3
index,2015-01-01,68,117.7
index,2015-01-01,69,101.9
index,2015-01-01,71,100.3
index,2015-01-01,85,106.8
index,2015-01-01,86,100.8
index,2015-01-01,92,100.4
index,2015-01-01,93,102.9
index,2015-04-01,49,106.5
index,2015-04-01,50,100.4
index,2015-04-01,51,99.5
index,2015-04-01,53,106.8
index,2015-04-01,55,101.8
index,2015-04-01,56,120.5
index,2015-04-01,61,100.4
index,2015-04-01,62,101.6
index,2015-04-01,63,100.3
index,2015-04-01,68,117.7
index,2015-04-01,69,101.9
index,2015-04-01,71,100.4
index,2015-04-01,85,107.5
index,2015-04-01,86,100.8
index,2015-04-01,92,101.1
index,2015-04-01,93,103.3
index,2015-07-01,49,106.6
index,2015-07-01,50,100.4
index,2015-07-01,51,101.8
index,2015-07-01,53,107.1
index,2015-07-01,55,101.8
index,2015-07-01,56,122.1
index,2015-07-01,61,100.4
index,2015-07-01,62,101.6
index,2015-07-01,63,100.3
index,2015-07-01,68,118.7
index,2015-07-01,69,102.0
index,2015-07-01,71,100.4
index,2015-07-01,85,107.6
index,2015-07-01,86,100.9
index,2015-07-01,92,101.8
index,2015-07-01,93,104.2
index,2015-10-01,49,106.7
index,2015-10-01,50,100.4
index,2015-10-01,51,104.3
index,2015-10-01,53,107.2
index,2015-10-01,55,101.9
index,2015-10-01,56,123.0
index,2015-10-01,61,100.4
index,2015-10-01,62,101.6
index,2015-10-01,63,101.4
index,2015-10-01,68,119.0
index,2015-10-01,69,103.6
index,2015-10-01,71,100.4
index,2015-10-01,85,107.6
index,2015-10-01,86,101.3
index,2015-10-01,92,102.2
index,2015-10-01,93,104.2
index,2016-01-01,49,107.0
index,2016-01-01,50,100.5
index,2016-01-01,51,104.8
index,2016-01-01,53,107.8
index,2016-01-01,55,101.8
index,2016-01-01,56,124.4
index,2016-01-01,61,100.4
index,2016-01-01,62,102.0
index,2016-01-01,63,101.4
index,2016-01-01,68,119.3
index,2016-01-01,69,103.6
index,2016-01-01,71,100.4
index,2016-01-01,85,108.8
index,2016-01-01,86,102.0
index,2016-01-01,92,101.4
index,2016-01-01,93,104.5
index,2016-04-01,49,107.1
index,2016-04-01,50,100.5
index,2016-04-01,51,100.6
index,2016-04-01,53,107.8
index,2016-04-01,55,101.8
index,2016-04-01,56,125.1
index,2016-04-01,61,100.4
index,2016-04-01,62,102.1
index,2016-04-01,63,101.4
index,2016-04-01,68,120.1
index,2016-04-01,69,103.6
index,2016-04-01,71,100.4
index,2016-04-01,85,109.0
index,2016-04-01,86,102.1
index,2016-04-01,92,101.3
index,2016-04-01,93,104.5
index,2016-07-01,49,107.2
index,2016-07-01,50,100.5
index,2016-07-01,51,100.4
index,2016-07-01,53,107.8
index,2016-07-01,55,101.8
index,2016-07-01,56,126.1
index,2016-07-01,61,100.4
index,2016-07-01,62,102.2
index,2016-07-01,63,101.4
index,2016-07-01,68,120.3
index,2016-07-01,69,103.7
index,2016-07-01,71,100.4
index,2016-07-01,85,110.0
index,2016-07-01,86,102.6
index,2016-07-01,92,100.4
index,2016-07-01,93,104.6
index,2016-10-01,49,107.2
index,2016-10-01,50,100.5
index,2016-10-01,51,100.2
index,2016-10-01,53,110.1
index,2016-10-01,55,102.0
index,2016-10-01,56,127.0
index,2016-10-01,61,100.4
index,2016-10-01,62,102.2
index,2016-10-01,63,101.4
index,2016-10-01,68,121.1
index,2016-10-01,69,104.0
index,2016-10-01,71,101.2
index,2016-10-01,85,110.1
index,2016-10-01,86,102.9
index,2016-10-01,92,98.2
index,2016-10-01,93,104.8
index,2017-01-01,49,107.3
index,2017-01-01,50,100.1
index,2017-01-01,51,99.8
index,2017-01-01,53,110.4
index,2017-01-01,55,102.7
index,2017-01-01,56,129.1
index,2017-01-01,61,100.4
index,2017-01-01,62,102.2
index,2017-01-01,63,101.4
index,2017-01-01,68,121.2
index,2017-01-01,69,104.2
index,2017-01-01,71,101.2
index,2017-01-01,85,111.7
index,2017-01-01,86,104.6
index,2017-01-01,92,98.0
index,2017-01-01,93,105.4
index,2017-04-01,49,107.3
index,2017-04-01,50,100.1
index,2017-04-01,51,99.6
index,2017-04-01,53,110.7
index,2017-04-01,55,103.0
index,2017-04-01,56,130.8
index,2017-04-01,61,100.4
index,2017-04-01,62,102.3
index,2017-04-01,63,101.4
index,2017-04-01,68,122.7
index,2017-04-01,69,104.2
index,2017-04-01,71,101.7
index,2017-04-01,85,112.1
index,2017-04-01,86,104.9
index,2017-04-01,92,98.5
index,2017-04-01,93,105.7
index,2017-07-01,49,107.4
index,2017-07-01,50,100.1
index,2017-07-01,51,100.6
index,2017-07-01,53,110.7
index,2017-07-01,55,103.0
index,2017-07-01,56,131.9
index,2017-07-01,61,100.4
index,2017-07-01,62,102.5
index,2017-07-01,63,101.4
index,2017-07-01,68,122.9
index,2017-07-01,69,104.2
index,2017-07-01,71,101.7
index,2017-07-01,85,112.6
index,2017-07-01,86,105.0
index,2017-07-01,92,98.0
index,2017-07-01,93,105.7
index,2017-10-01,49,107.6
index,2017-10-01,50,100.1
index,2017-10-01,51,101.1
index,2017-10-01,53,110.7
index,2017-10-01,55,103.3
index,2017-10-01,56,133.1
index,2017-10-01,61,100.4
index,2017-10-01,62,102.6
index,2017-10-01,63,101.4
index,2017-10-01,68,123.0
index,2017-10-01,69,104.7
index,2017-10-01,71,101.8
index,2017-10-01,85,112.6
index,2017-10-01,86,105.1
index,2017-10-01,92,99.1
index,2017-10-01,93,105.8
index,2018-01-01,49,107.3
index,2018-01-01,50,100.2
index,2018-01-01,51,101.1
index,2018-01-01,52,103.4
index,2018-01-01,53,110.3
index,2018-01-01,55,102.7
index,2018-01-01,56,134.2
index,2018-01-01,61,100.0
index,2018-01-01,62,103.1
index,2018-01-01,63,101.0
index,2018-01-01,68,122.9
index,2018-01-01,69,105.0
index,2018-01-01,71,102.3
index,2018-01-01,85,113.4
index,2018-01-01,86,105.2
index,2018-01-01,92,100.2
index,2018-01-01,93,106.3
index,2018-04-01,49,107.3
index,2018-04-01,50,100.2
index,2018-04-01,51,101.5
index,2018-04-01,52,103.5
index,2018-04-01,53,110.3
index,2018-04-01,55,102.6
index,2018-04-01,56,134.9
index,2018-04-01,61,100.0
index,2018-04-01,62,103.1
index,2018-04-01,63,101.0
index,2018-04-01,68,123.2
index,2018-04-01,69,105.0
index,2018-04-01,71,102.4
index,2018-04-01,85,113.3
index,2018-04-01,86,105.3
index,2018-04-01,92,100.2
index,2018-04-01,93,106.5
index,2018-07-01,49,107.4
index,2018-07-01,50,99.9
index,2018-07-01,51,101.3
index,2018-07-01,52,103.5
index,2018-07-01,53,110.9
index,2018-07-01,55,102.7
index,2018-07-01,56,135.1
index,2018-07-01,61,99.9
index,2018-07-01,62,103.2
index,2018-07-01,63,101.0
index,2018-07-01,68,123.6
index,2018-07-01,69,105.0
index,2018-07-01,71,102.4
index,2018-07-01,85,113.8
index,2018-07-01,86,105.5
index,2018-07-01,92,100.7
index,2018-07-01,93,106.5
index,2018-10-01,49,107.4
index,2018-10-01,50,99.8
index,2018-10-01,51,101.4
index,2018-10-01,52,103.5
index,2018-10-01,53,110.7
index,2018-10-01,55,103.0
index,2018-10-01,56,136.6
index,2018-10-01,61,100.0
index,2018-10-01,62,103.1
index,2018-10-01,63,101.0
index,2018-10-01,68,123.8
index,2018-10-01,69,104.9
