series,date,group,index
index,2015-01-01,492,105.9
index,2015-01-01,501,100.4
index,2015-01-01,511,99.0
index,2015-01-01,512,112.5
index,2015-01-01,531,104.2
index,2015-01-01,532,107.7
index,2015-01-01,551,101.6
index,2015-01-01,561,118.7
index,2015-01-01,562,113.3
index,2015-01-01,563,119.5
index,2015-01-01,611,99.2
index,2015-01-01,612,101.0
index,2015-01-01,620,101.6
index,2015-01-01,631,100.3
index,2015-01-01,682,117.7
index,2015-01-01,691,100.4
index,2015-01-01,692,104.6
index,2015-01-01,711,100.3
index,2015-01-01,851,113.6
index,2015-01-01,852,111.2
index,2015-01-01,853,105.5
index,2015-01-01,854,105.5
index,2015-01-01,861,100.5
index,2015-01-01,862,101.3
index,2015-01-01,869,100.9
index,2015-01-01,920,100.4
index,2015-01-01,931,103.7
index,2015-01-01,932,102.0
index,2015-04-01,492,106.5
index,2015-04-01,501,100.4
index,2015-04-01,511,97.5
index,2015-04-01,512,113.4
index,2015-04-01,531,104.2
index,2015-04-01,532,108.2
index,2015-04-01,551,101.8
index,2015-04-01,561,120.5
index,2015-04-01,562,114.4
index,2015-04-01,563,122.5
index,2015-04-01,611,99.2
index,2015-04-01,612,101.0
index,2015-04-01,620,101.6
index,2015-04-01,631,100.3
index,2015-04-01,682,117.7
index,2015-04-01,691,100.4
index,2015-04-01,692,104.6
index,2015-04-01,711,100.4
index,2015-04-01,851,115.1
index,2015-04-01,852,111.8
index,2015-04-01,853,106.1
index,2015-04-01,854,105.7
index,2015-04-01,861,100.5
index,2015-04-01,862,101.4
index,2015-04-01,869,101.1
index,2015-04-01,920,101.1
index,2015-04-01,931,104.2
index,2015-04-01,932,102.2
index,2015-07-01,492,106.6
index,2015-07-01,501,100.4
index,2015-07-01,511,100.0
index,2015-07-01,512,113.8
index,2015-07-01,531,104.2
index,2015-07-01,532,108.6
index,2015-07-01,551,101.8
index,2015-07-01,561,122.1
index,2015-07-01,562,115.5
index,2015-07-01,563,123.6
index,2015-07-01,611,99.2
index,2015-07-01,612,101.0
index,2015-07-01,620,101.6
index,2015-07-01,631,100.3
index,2015-07-01,682,118.7
index,2015-07-01,691,100.4
index,2015-07-01,692,104.8
index,2015-07-01,711,100.4
index,2015-07-01,851,115.1
index,2015-07-01,852,112.5
index,2015-07-01,853,106.1
index,2015-07-01,854,105.7
index,2015-07-01,861,100.5
index,2015-07-01,862,101.4
index,2015-07-01,869,101.2
index,2015-07-01,920,101.8
index,2015-07-01,931,104.1
index,2015-07-01,932,104.4
index,2015-10-01,492,106.7
index,2015-10-01,501,100.4
index,2015-10-01,511,102.8
index,2015-10-01,512,114.7
index,2015-10-01,531,104.2
index,2015-10-01,532,108.8
index,2015-10-01,551,101.9
index,2015-10-01,561,123.0
index,2015-10-01,562,116.8
index,2015-10-01,563,124.6
index,2015-10-01,611,99.2
index,2015-10-01,612,101.0
index,2015-10-01,620,101.6
index,2015-10-01,631,101.4
index,2015-10-01,682,119.0
index,2015-10-01,691,102.6
index,2015-10-01,692,105.2
index,2015-10-01,711,100.4
index,2015-10-01,851,115.1
index,2015-10-01,852,112.5
index,2015-10-01,853,106.1
index,2015-10-01,854,105.7
index,2015-10-01,861,100.7
index,2015-10-01,862,102.3
index,2015-10-01,869,101.4
index,2015-10-01,920,102.2
index,2015-10-01,931,104.1
index,2015-10-01,932,104.4
index,2016-01-01,492,107.0
index,2016-01-01,501,100.5
index,2016-01-01,511,103.4
index,2016-01-01,512,114.7
index,2016-01-01,531,104.2
index,2016-01-01,532,109.7
index,2016-01-01,551,101.8
index,2016-01-01,561,124.4
