date,abs,rate
2000-01-01,1121,2.1
2001-01-01,1909,3.8
2002-01-01,2056,4.1
2003-01-01,2152,4.5
2004-01-01,2098,4.3
2005-01-01,2078,4.4
2006-01-01,2148,4.5
2007-01-01,2116,4.4
2008-01-01,2138,4.3
2009-01-01,2225,4.4
2010-01-01,2222,4.5
2011-01-01,2305,4.5
2012-01-01,2274,4.3
2013-01-01,2188,4.3
2014-01-01,2277,4.3
2015-01-01,2325,4.4
2016-01-01,2648,5.2
2017-01-01,2769,5.4
2018-01-01,2755,5.5
2019-01-01,2626,5.3
2020-01-01,2413,5.1
2021-01-01,2219,5.0
2022-01-01,2134,5.0
2023-01-01,2193,4.8
2024-01-01,1893,4.5
