state,district,stage,sex,date,teachers
Malaysia,All Districts,primary,both,2017-01-01,230631
Malaysia,All Districts,primary,both,2018-01-01,238858
Malaysia,All Districts,primary,both,2019-01-01,235534
Malaysia,All Districts,primary,both,2020-01-01,237093
Malaysia,All Districts,primary,both,2021-01-01,235031
Malaysia,All Districts,primary,both,2022-01-01,235232
Malaysia,All Districts,primary,both,2023-06-30,232703
Malaysia,All Districts,primary,both,2024-06-30,235578
Malaysia,All Districts,primary,both,2025-06-30,236976
Malaysia,All Districts,primary,female,2017-01-01,160247
Malaysia,All Districts,primary,female,2018-01-01,168366
Malaysia,All Districts,primary,female,2019-01-01,166072
Malaysia,All Districts,primary,female,2020-01-01,167039
Malaysia,All Districts,primary,female,2021-01-01,166098
Malaysia,All Districts,primary,female,2022-01-01,166663
Malaysia,All Districts,primary,female,2023-06-30,165327
Malaysia,All Districts,primary,female,2024-06-30,167756
Malaysia,All Districts,primary,female,2025-06-30,169321
Malaysia,All Districts,primary,male,2017-01-01,70384
Malaysia,All Districts,primary,male,2018-01-01,70492
Malaysia,All Districts,primary,male,2019-01-01,69462
Malaysia,All Districts,primary,male,2020-01-01,70054
Malaysia,All Districts,primary,male,2021-01-01,68933
Malaysia,All Districts,primary,male,2022-01-01,68569
Malaysia,All Districts,primary,male,2023-06-30,67376
Malaysia,All Districts,primary,male,2024-06-30,67822
Malaysia,All Districts,primary,male,2025-06-30,67655
Malaysia,All Districts,secondary,both,2017-01-01,181633
Malaysia,All Districts,secondary,both,2018-01-01,183476
Malaysia,All Districts,secondary,both,2019-01-01,182432
Malaysia,All Districts,secondary,both,2020-01-01,180178
Malaysia,All Districts,secondary,both,2021-01-01,175987
Malaysia,All Districts,secondary,both,2022-01-01,181134
Malaysia,All Districts,secondary,both,2023-06-30,178609
Malaysia,All Districts,secondary,both,2024-06-30,180328
Malaysia,All Districts,secondary,both,2025-06-30,180486
Malaysia,All Districts,secondary,female,2017-01-01,127192
Malaysia,All Districts,secondary,female,2018-01-01,129247
Malaysia,All Districts,secondary,female,2019-01-01,128974
Malaysia,All Districts,secondary,female,2020-01-01,128192
Malaysia,All Districts,secondary,female,2021-01-01,125773
