date,volume,value
2021-07-01,41752,114154038.04
2021-07-02,72684,158758632.4
2021-07-05,36453,210016916.77
2021-07-06,55588,287628609.89
2021-07-07,8082,181390900.37
2021-07-08,31955,162381507.6
2021-07-09,22758,214211100.24
2021-07-12,162325,330053938.11
2021-07-13,40058,243220862.56
2021-07-14,10292,127789071.41
2021-07-15,25528,154412201.66
2021-07-16,13969,123931884.95
2021-07-19,11685,198680032.84
2021-07-21,20022,169029158.99
2021-07-22,14699,105582252.99
2021-07-23,5154,137899147.63
2021-07-26,83016,180359929.28
2021-07-27,34808,240164733.55
2021-07-28,28506,159783567.63
2021-07-29,11662,145078494.77
2021-07-30,15015,123180209.22
2021-09-17,15401,112511455.81
2021-09-20,15632,194506207.78
2021-09-21,16177,351228581.98
2021-09-22,28178,168804351.7
2021-09-23,18399,152201590.47
2021-09-24,7194,152055607.28
2021-09-27,49220,214572603.92
2021-09-28,40694,280782212.1
2021-09-29,36759,198955661.33
2021-09-30,12826,178543731.03
2021-10-01,66696,149297066.82
2021-10-04,68548,233290083.98
2021-10-05,35299,270045073.51
2021-10-06,69475,290453578.02
2021-10-07,13812,161402852.19
2021-10-08,21566,184885246.4
2021-10-11,180915,265841883.52
2021-10-12,41015,380231610.15
2021-10-13,36134,224563030.96
2021-10-14,7421,146651735.66
2021-10-15,23632,229584676.81
2021-10-18,18987,211105153.29
2021-10-20,35698,192008521.43
2021-10-21,13458,237061211.06
2021-10-22,13144,131148261.39
2021-10-25,30767,174963407.07
2021-10-26,29186,260249472.65
2021-10-27,69460,256214105.16
2021-10-28,30473,161275661.35
2021-10-29,13507,171517089.94
2021-11-01,54323,265533198.55
2021-11-02,70319,383897265.71
2021-11-03,53361,246088075.8
2021-11-05,31100,169390824.98
2021-11-08,51286,221840332.71
2021-11-09,27206,381565854.08
2021-11-10,222773,311453269.51
2021-11-11,16679,281846214.93
2021-11-12,13830,239728550.67
2021-11-15,29708,223601175.05
2021-11-16,21470,297883968.75
2021-11-17,25308,181958200.69
2021-11-18,9213,136807093.31
2021-11-19,6037,120860639.89
2021-11-22,23251,158371135.45
2021-11-23,18748,275509952.77
2021-11-24,34899,161073683.58
2021-11-25,38599,195119702.23
2021-11-26,50825,243174654.84
2021-11-29,46558,254025624.69
2021-11-30,23305,332823637.2
2021-12-01,64759,207200970.52
2021-12-02,70665,242108305.81
2021-12-03,27471,153835729.96
2021-12-06,23618,207925493.77
2021-12-07,57070,337781803.1
2021-12-08,50963,255486580.65
2021-12-09,10798,220007129.7
2021-12-10,225143,383210849.66
2021-12-13,17413,249985503.45
2021-12-14,11604,296512796.55
2021-12-15,43330,244960246.53
2021-12-16,14183,144593392.75
2021-12-17,8102,146872483.53
2021-12-20,19329,224813021.38
2021-12-21,16072,226545655.23
2021-12-22,39452,181700936.95
2021-12-23,9974,157209681.67
2021-12-24,6898,165845491.95
2021-12-27,98688,215528190.1
2021-12-28,38528,245876339.81
2021-12-29,28001,249193741.57
2021-12-30,11228,209795950.42
2021-12-31,4689,220300389.33
2022-01-03,124034,401592490.84
2022-01-04,15172,311550919.03
2022-01-05,93098,271613022.5
2022-01-06,14165,228899360.85
2022-01-07,11054,261550245.08
2022-01-10,145311,279308458.1
2022-01-11,105060,445679433.03
2022-01-12,43754,243158090.95
2022-01-13,8791,253389747.8
2022-01-14,13048,160985946.6
2022-01-17,27336,219210204.1
2022-01-19,36804,333687606.78
2022-01-20,12531,209752280.17
2022-01-21,8047,210449162.13
2022-01-24,21227,175927381.64
2022-01-25,33265,269476215.0
2022-01-26,41838,186124290.86
2022-01-27,86215,334283131.2
2022-01-28,38943,229900819.84
2022-01-31,19708,245874718.81
2022-02-03,104842,241317244.1
2022-02-04,39883,196165494.59
2022-02-07,93822,288732744.77
2022-02-08,31590,381135551.47
2022-02-09,40065,452437094.74
2022-02-10,220635,231450620.34
2022-02-11,15265,227258927.05
2022-02-14,18884,280020943.67
2022-02-15,29862,301371135.21
2022-02-16,29130,232846214.85
2022-02-17,8941,154376934.15
2022-02-18,7066,144968168.62
2022-02-21,14244,220548890.07
2022-02-22,24888,233621218.34
2022-02-23,42840,195799095.92
2022-02-24,7463,193271675.53
2022-02-25,82938,165175251.08
2022-02-28,65736,311912496.55
2022-03-01,86686,306793909.22
2022-03-02,80991,222987972.29
2022-03-03,26506,235678406.06
2022-03-04,18136,177887405.88
2022-03-07,59718,217691424.46
2022-03-08,41079,440270493.05
2022-03-09,26060,381545390.27
2022-03-10,159129,193591504.35
2022-03-11,98699,343082459.66
2022-03-14,14043,221318501.05
2022-03-15,21769,228367194.46
2022-03-16,39132,212895689.64
2022-03-17,7746,127480838.12
2022-03-18,7478,149174325.68
2022-03-21,13010,166263853.52
2022-03-22,28379,210467646.27
2022-03-23,37870,183483056.46
2022-03-24,8511,189834660.05
2022-03-25,31351,143297088.19
2022-03-28,119437,235029344.15
2022-03-29,26833,324433335.93
2022-03-30,27189,194928568.83
2022-03-31,7501,150877612.73
2022-04-01,76514,225175826.86
2022-04-04,70471,251319180.15
2022-04-05,76560,353358758.25
2022-04-06,29909,248706359.9
2022-04-07,23860,219738768.72
2022-04-08,21721,485534946.4
2022-04-11,140938,428635691.68
2022-04-12,116052,447185358.18
2022-04-13,26553,232537810.21
2022-04-14,8430,306550670.05
2022-04-15,23229,180485835.82
2022-04-18,21526,177463609.29
2022-04-20,39954,302477406.26
2022-04-21,14092,235390114.61
2022-04-22,16228,218485808.68
2022-04-25,46431,193154439.16
2022-04-26,16273,355984454.17
2022-04-27,129998,285137732.62
2022-04-28,51298,231449435.54
2022-04-29,18500,185356147.16
2022-05-05,156126,360722046.47
2022-05-06,59111,389202708.34
2022-05-09,47809,323943664.62
2022-05-10,149061,519473003.41
2022-05-11,61803,426035287.41
2022-05-12,96791,283680758.61
2022-05-13,9093,285822663.41
2022-05-17,61185,350410454.61
2022-05-18,25434,278941259.17
2022-05-19,12804,187535302.6
2022-05-20,8743,196205535.67
2022-05-23,40614,196974192.86
2022-05-24,7311,248556673.09
2022-05-25,63276,203931855.21
2022-05-26,38878,239850055.81
2022-05-27,78920,230610764.9
2022-05-30,74924,246347597.75
2022-05-31,8001,358598014.49
2022-06-01,96680,202496689.57
2022-06-02,55852,210878121.71
2022-06-03,32265,169547083.28
2022-06-07,77888,326843344.27
2022-06-08,35045,521465544.28
2022-06-09,40356,260291199.02
2022-06-10,220760,257499901.26
