date,model,volume,value
2020-01-01,both,659215,242052694.990002
2020-01-02,both,697383,203808699.300003
2020-01-03,both,715381,309455269.010004
2020-01-04,both,629496,262948287.15000302
2020-01-05,both,568361,118161660.6500009
2020-01-06,both,665370,242924879.40000302
2020-01-07,both,744258,427184114.52000403
2020-01-08,both,731152,430350751.27000403
2020-01-09,both,720919,481046791.05000305
2020-01-10,both,690114,514684740.100004
2020-01-11,both,610506,366643693.520003
2020-01-12,both,525729,118005447.4700007
2020-01-13,both,686439,297252062.910003
2020-01-14,both,785421,724139558.210004
2020-01-15,both,775428,681893216.360003
2020-01-16,both,814158,455442651.770004
2020-01-17,both,670233,223382798.460003
2020-01-18,both,581465,195938825.19000202
2020-01-19,both,537786,94374419.480002
2020-01-20,both,633540,168219091.480002
2020-01-21,both,678818,309277260.400001
2020-01-22,both,667573,447633942.17999995
2020-01-23,both,639951,447366392.570002
2020-01-24,both,604004,347900368.830002
2020-01-25,both,494436,154890332.6000005
2020-01-26,both,405247,53501427.7399995
2020-01-27,both,424694,61422679.779999405
2020-01-28,both,571101,141986937.16
2020-01-29,both,628099,260819595.47000098
2020-01-30,both,625473,445660089.040002
2020-01-31,both,636351,592861956.140003
2020-02-01,both,645621,346126780.69000196
2020-02-02,both,538705,102052824.8100001
2020-02-03,both,636459,209365994.060002
2020-02-04,both,699925,336866944.910003
2020-02-05,both,685345,375570220.470003
2020-02-06,both,674302,397662385.040002
2020-02-07,both,651949,451586893.530003
2020-02-08,both,563257,298375628.520001
2020-02-09,both,489824,110465559.78000021
2020-02-10,both,630608,271194043.700001
2020-02-11,both,689928,550915443.480003
2020-02-12,both,671337,623312283.460003
2020-02-13,both,673200,614305383.5700021
2020-02-14,both,673710,754026747.360003
2020-02-15,both,614751,500740985.080003
2020-02-16,both,511431,149120684.390001
2020-02-17,both,548514,134519396.32
2020-02-18,both,567171,183300658.490001
2020-02-19,both,516779,138460439.5899999
2020-02-20,both,554381,143933852.68
2020-02-21,both,565092,155816401.29000002
2020-02-22,both,501729,110292049.6699996
2020-02-23,both,458786,64606648.049999304
2020-02-24,both,638918,131815147.72
2020-02-25,both,785283,232811588.800003
2020-02-26,both,765412,237353036.200002
2020-02-27,both,721677,266110909.340002
2020-02-28,both,760626,401858621.660002
2020-02-29,both,735266,259606389.180003
2020-03-01,both,666511,128749154.110001
2020-03-02,both,752050,198756728.92000198
2020-03-03,both,909377,340563015.100005
2020-03-04,both,908226,376878277.450002
2020-03-05,both,749851,373396359.22000396
2020-03-06,both,706685,384254079.06000304
2020-03-07,both,648970,277005577.360003
2020-03-08,both,600244,124136772.850001
2020-03-09,both,729937,258349320.89000297
2020-03-10,both,773391,460685721.380003
2020-03-11,both,741768,499834837.01000303
2020-03-12,both,711578,607657638.910004
2020-03-13,both,726588,695789055.760002
2020-03-14,both,686435,514494024.680004
2020-03-15,both,570762,172386984.340001
2020-03-16,both,638577,208688095.26000202
2020-03-17,both,626646,234073524.200003
2020-03-18,both,525111,365587720.980002
2020-03-19,both,506170,230106158.80000198
2020-03-20,both,546499,222967444.08000398
2020-03-21,both,561583,153157736.580003
2020-03-22,both,510360,88366636.7700005
2020-03-23,both,543788,178577787.000003
2020-03-24,both,580666,203514114.09000498
2020-03-25,both,736247,220039799.730007
2020-03-26,both,868834,240590668.690007
2020-03-27,both,1047460,300499560.860004
2020-03-28,both,947425,226012430.41001
2020-03-29,both,765666,137781548.460005
2020-03-30,both,775721,191979921.38000602
2020-03-31,both,879469,297684078.63000697
2020-04-01,both,884988,296679468.560004
2020-04-02,both,879493,308322911.330002
2020-04-03,both,910408,341758864.800003
2020-04-04,both,951206,272162987.970007
2020-04-05,both,895790,176552579.990006
2020-04-06,both,812601,250768476.54000497
2020-04-07,both,869546,414738335.11000395
2020-04-08,both,877096,422424391.58000004
2020-04-09,both,867648,386998542.189999
2020-04-10,both,926710,448593867.76
2020-04-11,both,929308,337288547.620004
2020-04-12,both,917823,179622236.570004
2020-04-13,both,967618,351157133.57
2020-04-14,both,1032677,547191530.429993
2020-04-15,both,1027787,525177943.76999307
2020-04-16,both,1019089,348356991.689995
2020-04-17,both,928643,243823146.870004
2020-04-18,both,855376,211488282.120005
2020-04-19,both,819322,151527123.750004
2020-04-20,both,879090,188169873.810004
2020-04-21,both,944439,250285045.62000498
2020-04-22,both,953436,245616102.200006
2020-04-23,both,1137831,281160615.930001
2020-04-24,both,1258753,318875513.9599959
2020-04-25,both,1159546,250525895.850003
2020-04-26,both,1046057,183689897.670006
2020-04-27,both,1090586,262525482.74
2020-04-28,both,1155001,349873334.029993
2020-04-29,both,1199495,398984323.859992
2020-04-30,both,1183416,517806785.83999
2020-05-01,both,1167379,383371876.499994
2020-05-02,both,1120727,195996215.980008
2020-05-03,both,1006490,153835181.130006
2020-05-04,both,1057152,244509751.050007
2020-05-05,both,1165593,395045223.550003
2020-05-06,both,1168427,390845235.399998
2020-05-07,both,1045439,347168939.07000697
2020-05-08,both,1138594,312240901.4800019
2020-05-09,both,1081226,394882439.990009
2020-05-10,both,986531,173271967.280007
2020-05-11,both,1037720,251933651.900006
2020-05-12,both,1107993,437465639.600003
2020-05-13,both,1134094,601724970.6899999
2020-05-14,both,1256195,622010197.719996
2020-05-15,both,1326028,634435948.079996
2020-05-16,both,1125030,392284320.830004
2020-05-17,both,870330,147860114.460003
2020-05-18,both,962844,242931673.56
2020-05-19,both,975926,328590895.49
2020-05-20,both,974595,337215919.51
2020-05-21,both,1021155,435111795.690001
2020-05-22,both,1019280,505969449.300004
2020-05-23,both,907796,308937613.760006
2020-05-24,both,682706,118900086.970002
2020-05-25,both,585925,113217082.790002
2020-05-26,both,791626,162852663.55000398
2020-05-27,both,970618,328630801.530005
2020-05-28,both,1083446,692403048.449999
2020-05-29,both,1140273,938055401.209992
2020-05-30,both,1093694,670105023.869998
2020-05-31,both,1001792,228027408.910009
2020-06-01,both,1133700,338510485.790003
2020-06-02,both,1179614,414843528.890001
2020-06-03,both,1126256,391329190.630001
2020-06-04,both,1113310,430098588.890003
2020-06-05,both,1074238,429687502.560003
2020-06-06,both,1152559,348884451.630007
2020-06-07,both,1037658,189460444.180009
2020-06-08,both,926952,190222934.310009
2020-06-09,both,994800,313904474.58000505
2020-06-10,both,1038806,484540653.550003
2020-06-11,both,1012061,555672148.090003
2020-06-12,both,972329,632109310.150002
2020-06-13,both,893245,486275051.470008
2020-06-14,both,773275,181496302.790007
2020-06-15,both,958842,368805523.270006
2020-06-16,both,1032569,510063015.300001
2020-06-17,both,952450,314417878.020007
2020-06-18,both,935301,287212551.010006
2020-06-19,both,910439,293928504.260005
2020-06-20,both,777034,221905271.900006
2020-06-21,both,734774,139272373.630005
2020-06-22,both,864648,207084208.540007
2020-06-23,both,1134840,347235836.750004
2020-06-24,both,1025987,337498161.730003
2020-06-25,both,1049556,357629509.24000204
2020-06-26,both,1068821,410269653.810002
2020-06-27,both,969603,366192595.90000296
2020-06-28,both,886248,198430410.300006
2020-06-29,both,1030126,342219851.570002
2020-06-30,both,1163458,638171169.499999
2020-07-01,both,1287844,585901217.099996
2020-07-02,both,1212870,399354798.530003
2020-07-03,both,1142365,409656557.42000103
2020-07-04,both,1020512,317105445.8700059
2020-07-05,both,915956,183578408.13000602
2020-07-06,both,1055764,326486562.55000496
2020-07-07,both,1522284,548585992.21999
2020-07-08,both,1488398,614570193.219981
2020-07-09,both,1113025,526941582.58
2020-07-10,both,1031590,573730461.78
2020-07-11,both,927896,386540314.700005
2020-07-12,both,821846,178994052.50000602
2020-07-13,both,964437,374287243.07000303
2020-07-14,both,1072532,683618338.550001
2020-07-15,both,1074761,688958213.350004
2020-07-16,both,1055774,548119907.640001
2020-07-17,both,914057,340618800.440003
2020-07-18,both,808165,231308115.900006
2020-07-19,both,746807,146837219.70000398
2020-07-20,both,883978,246046949.830005
2020-07-21,both,975903,359339714.930004
2020-07-22,both,959632,375734107.790004
2020-07-23,both,1194154,407084366.11000395
2020-07-24,both,1277699,450175058.64000803
2020-07-25,both,1128050,330756560.640008
2020-07-26,both,1001481,178719853.280009
2020-07-27,both,1117957,371390960.710005
2020-07-28,both,1173405,585014875.980003
2020-07-29,both,1088151,629588815.560001
2020-07-30,both,1045085,751325379.089997
2020-07-31,both,887936,425802031.039999
2020-08-01,both,842286,211274075.960006
2020-08-02,both,849867,167110644.730005
2020-08-03,both,1068253,360981425.250004
2020-08-04,both,1176359,557095240.570004
2020-08-05,both,1217889,478066084.080003
2020-08-06,both,1211152,491887224.95000005
2020-08-07,both,1155504,515272565.22
2020-08-08,both,1353802,403823534.669999
2020-08-09,both,1206276,204344329.980007
2020-08-10,both,1094740,368214282.640002
2020-08-11,both,1151954,581474159.23
2020-08-12,both,1098875,621609782.959999
2020-08-13,both,1091003,646945955.559999
2020-08-14,both,1075747,693220967.0300009
2020-08-15,both,953698,471005492.200001
2020-08-16,both,885616,201408371.660005
2020-08-17,both,955849,251549601.810004
2020-08-18,both,977536,315233758.460002
2020-08-19,both,943973,342266366.710003
2020-08-20,both,874663,238211884.490004
2020-08-21,both,907377,232801940.610005
2020-08-22,both,860055,231854971.830005
2020-08-23,both,793080,143040021.84000298
2020-08-24,both,922556,259139969.86000398
2020-08-25,both,1169844,375080053.090005
2020-08-26,both,1316113,453568182.930001
2020-08-27,both,1217748,482964374.580001
2020-08-28,both,1167431,545859914.589999
2020-08-29,both,1177344,465921626.63999903
2020-08-30,both,986510,240197376.190004
2020-08-31,both,1008210,244464125.730002
2020-09-01,both,1242883,380297968.88000304
2020-09-02,both,1122624,391867148.980005
2020-09-03,both,1151473,411405357.490002
2020-09-04,both,1225629,495293208.87000096
2020-09-05,both,1129499,392534456.39000297
2020-09-06,both,986208,203341345.590006
2020-09-07,both,1149530,360208899.740004
2020-09-08,both,1254446,533287300.7
2020-09-09,both,1815399,605790310.869988
2020-09-10,both,1788305,641599162.760005
2020-09-11,both,1115350,620690820.15
2020-09-12,both,924281,446224757.75000405
2020-09-13,both,841422,179117307.02000397
2020-09-14,both,1024901,430971233.450004
2020-09-15,both,1150237,680480686.4900019
2020-09-16,both,990958,403425439.37000203
2020-09-17,both,953518,243934631.39000398
2020-09-18,both,937590,331579358.160003
2020-09-19,both,843218,233426553.650003
2020-09-20,both,775203,129636071.100002
2020-09-21,both,912716,229876244.180004
