date,volume,value
2020-01-01,115195,40623290.99
2020-01-02,170648,90972684.2
2020-01-03,151263,81720571.94
2020-01-04,90228,38323788.39
2020-01-05,84522,31316146.71
2020-01-06,163997,92619570.25
2020-01-07,160936,91407620.33
2020-01-08,143156,82954494.37
2020-01-09,135247,88887504.05
2020-01-10,127943,96386542.08
2020-01-11,68114,30425527.57
2020-01-12,61702,26669589.87
2020-01-13,132318,93882108.8
2020-01-14,122867,89883432.85
2020-01-15,135830,113226482.42
2020-01-16,167613,99801503.38
2020-01-17,136678,96512867.13
2020-01-18,77160,31839630.46
2020-01-19,72952,27086563.08
2020-01-20,163219,119801266.45
2020-01-21,165078,126346769.02
2020-01-22,172666,131220910.89
2020-01-23,162569,125669718.58
2020-01-24,132277,97711119.76
2020-01-25,58043,19139701.79
2020-01-26,56342,16829646.57
2020-01-27,79078,27113647.86
2020-01-28,150269,86812250.5
2020-01-29,142684,112982702.79
2020-01-30,155949,157723870.68
2020-01-31,167344,139451787.14
2020-02-01,115108,39807661.81
2020-02-02,94094,31555946.07
2020-02-03,189151,99804977.38
2020-02-04,169283,94172339.27
2020-02-05,169504,97200812.72
2020-02-06,165840,96539110.09
2020-02-07,153310,97977540.87
2020-02-08,81717,35864174.09
2020-02-09,80085,32024310.36
2020-02-10,173574,107067498.26
2020-02-11,150232,100258828.68
2020-02-12,139480,101107982.53
2020-02-13,138484,99534701.76
2020-02-14,124859,117224260.47
2020-02-15,74124,36203527.17
2020-02-16,68850,27254437.54
2020-02-17,141716,100029766.63
2020-02-18,124677,91038836.12
2020-02-19,125695,98746935.86
2020-02-20,133080,113737322.01
2020-02-21,135883,113782901.12
2020-02-22,80705,33383576.47
2020-02-23,77456,26441435.97
2020-02-24,213394,117270118.97
2020-02-25,241766,159040568.95
2020-02-26,216284,152558923.88
2020-02-27,214856,185460079.47
2020-02-28,243430,186946052.19
2020-02-29,153247,53963129.11
2020-03-01,137839,42556084.15
2020-03-02,216629,109924606.16
2020-03-03,199983,95644371.63
2020-03-04,168281,91521029.62
2020-03-05,154008,88708185.01
2020-03-06,150316,90801785.3
2020-03-07,89834,38758987.9
2020-03-08,78618,32617420.36
2020-03-09,155120,95088727.3
2020-03-10,164712,98515617.12
2020-03-11,129520,77085863.43
2020-03-12,125292,87050271.04
2020-03-13,120303,111572585.87
2020-03-14,66105,30549553.36
2020-03-15,63396,26722324.84
2020-03-16,115505,85850328.31
2020-03-17,139710,119659251.84
2020-03-18,104651,85600798.49
2020-03-19,101451,76945014.94
2020-03-20,101893,76457433.86
2020-03-21,71966,22348095.96
2020-03-22,62858,19552719.89
2020-03-23,94863,58418156.39
2020-03-24,123428,65473125.47
2020-03-25,194436,90397895.16
2020-03-26,167448,84184788.77
2020-03-27,159680,102561684.8
2020-03-28,118257,34512393.25
2020-03-29,91700,22677648.82
2020-03-30,152671,163095255.57
2020-03-31,190099,111653200.34
2020-04-01,176988,76100354.88
2020-04-02,152738,66745417.24
2020-04-03,140963,65058321.46
2020-04-04,104779,30672346.14
2020-04-05,86675,23046581.79
2020-04-06,136999,60236181.65
2020-04-07,150677,68038483.99
2020-04-08,120275,57355524.46
2020-04-09,115559,63414413.43
2020-04-10,111591,63440164.35
2020-04-11,86993,31183761.08
2020-04-12,71408,23782076.76
2020-04-13,120068,75050398.85
2020-04-14,109207,70879739.72
2020-04-15,115278,79031626.34
2020-04-16,105832,71438044.15
2020-04-17,100919,77989181.36
2020-04-18,68975,26206133.07
2020-04-19,61741,21321720.24
2020-04-20,114630,87612286.1
2020-04-21,111286,77138550.53
2020-04-22,123825,84719401.14
2020-04-23,184069,107498960.82
2020-04-24,174412,109445448.45
2020-04-25,125461,37739580.83
2020-04-26,109416,28663127.2
2020-04-27,175491,126568114.4
2020-04-28,174082,136563062.86
2020-04-29,171691,141996940.04
2020-04-30,212890,210956244.93
2020-05-01,154003,46901134.3
2020-05-02,127291,36923522.65
2020-05-03,107820,29557530.55
2020-05-04,179825,88904245.31
2020-05-05,185557,90714140.35
2020-05-06,167852,97096926.64
2020-05-07,138354,52162516.6
2020-05-08,158480,97681808.81
2020-05-09,102076,41115428.45
2020-05-10,79987,28232713.91
2020-05-11,131139,63466406.32
2020-05-12,149554,99210418.25
2020-05-13,141970,85344569.19
2020-05-14,184700,102451115.2
2020-05-15,172927,118955399.02
2020-05-16,96132,34804200.23
2020-05-17,90591,28948370.18
2020-05-18,167096,101090414.17
2020-05-19,158052,87352999.81
2020-05-20,172471,107984803.48
2020-05-21,182238,111953874.57
2020-05-22,191139,147956732.74
2020-05-23,105918,36604264.59
2020-05-24,54584,17720999.19
2020-05-25,87718,25344827.93
2020-05-26,109117,34173864.92
2020-05-27,173138,121297482.87
2020-05-28,197242,164540088.73
2020-05-29,187018,180974254.8
2020-05-30,124820,45568177.43
2020-05-31,117397,37732731.06
2020-06-01,202667,93018532.91
2020-06-02,182515,86658245.6
2020-06-03,172461,85828432.23
2020-06-04,167189,85026136.85
2020-06-05,165049,105736668.49
2020-06-06,114934,47497063.79
2020-06-07,90098,32696510.65
