date,views,api_hits,downloads
2023-09-13,74466,812,122
2023-09-14,115637,238,228
2023-09-15,426802,579,560
2023-09-16,140508,1775,139
2023-09-17,90398,257,130
2023-09-18,95280,388,221
2023-09-19,51594,409,137
2023-09-20,33051,540,185
2023-09-21,25045,488,132
2023-09-22,26347,121,352
2023-09-23,39216,129,148
2023-09-24,29732,311,199
2023-09-25,73844,248,395
2023-09-26,34544,562,324
2023-09-27,26163,436,213
2023-09-28,17755,2067,122
2023-09-29,17794,992,218
2023-09-30,11687,193,90
2023-10-01,11365,588,95
2023-10-02,29870,156,261
2023-10-03,32754,161,221
2023-10-04,26536,215,312
2023-10-05,20709,317,315
2023-10-06,14697,217,220
2023-10-07,9806,214,385
2023-10-08,16340,174,202
2023-10-09,21394,305,737
2023-10-10,25292,252,484
2023-10-11,24578,478,485
2023-10-12,21842,353,365
2023-10-13,19591,291,834
2023-10-14,15343,267,411
2023-10-15,15856,232,403
2023-10-16,24525,370,424
2023-10-17,21338,594,271
2023-10-18,23721,655,356
2023-10-19,23217,616,382
2023-10-20,17466,698,231
2023-10-21,12000,450,158
2023-10-22,16892,802,238
2023-10-23,44234,705,543
2023-10-24,21896,797,468
2023-10-25,25337,851,367
2023-10-26,26854,915,361
2023-10-27,21064,5271,377
2023-10-28,13182,6284,174
2023-10-29,14540,3595,230
2023-10-30,23058,5848,444
2023-10-31,24315,2940,523
2023-11-01,20969,835,508
2023-11-02,18062,852,320
2023-11-03,16427,1654,424
2023-11-04,10348,1265,230
2023-11-05,13230,869,250
2023-11-06,23811,1693,751
2023-11-07,22584,1382,295
2023-11-08,20907,1042,581
2023-11-09,17505,1577,397
2023-11-10,14316,1606,213
2023-11-11,7848,23351,111
2023-11-12,6168,19695,96
2023-11-13,8694,41153,131
2023-11-14,15346,53311,273
2023-11-15,18888,64630,338
2023-11-16,19784,39091,322
2023-11-17,16452,53597,273
2023-11-18,9094,53471,219
2023-11-19,12003,54337,229
2023-11-20,20896,53456,353
2023-11-21,19535,54221,357
2023-11-22,19706,69778,185
2023-11-23,20846,56141,195
2023-11-24,12146,44513,143
2023-11-25,13672,62531,116
2023-11-26,17273,62553,338
2023-11-27,36262,75193,297
2023-11-28,26199,45060,251
2023-11-29,22904,62389,213
2023-11-30,23881,64249,233
2023-12-01,20594,64267,108
2023-12-02,19586,86968,108
2023-12-03,36688,64255,120
2023-12-04,70033,63066,357
2023-12-05,47885,68081,414
2023-12-06,50170,78330,296
2023-12-07,44298,95254,268
2023-12-08,30640,94363,219
2023-12-09,27064,88193,189
2023-12-10,34392,80689,197
2023-12-11,68936,190751,573
2023-12-12,48762,147736,309
2023-12-13,49495,209027,311
2023-12-14,52295,175570,382
2023-12-15,33768,73273,208
2023-12-16,29153,126589,217
2023-12-17,41896,126471,361
2023-12-18,104423,128752,545
2023-12-19,64010,128888,369
2023-12-20,44774,129063,356
2023-12-21,36262,128665,251
2023-12-22,27554,128493,272
2023-12-23,19969,129253,145
2023-12-24,24950,134199,151
2023-12-25,26818,134323,148
2023-12-26,30321,134976,208
2023-12-27,30965,134356,282
2023-12-28,23055,135247,171
2023-12-29,25082,135158,211
2023-12-30,16959,134383,154
2023-12-31,20020,134283,119
2024-01-01,18222,139029,159
2024-01-02,32619,127457,322
2024-01-03,31869,126748,289
2024-01-04,25902,124196,243
2024-01-05,26054,122394,239
2024-01-06,17147,122491,154
2024-01-07,23212,121244,215
2024-01-08,33160,121340,309
2024-01-09,32698,121356,468
2024-01-10,31463,118142,407
2024-01-11,30181,118696,311
2024-01-12,22803,112439,221
