endpoint,hits,hits_prop
gtfsr-prasarana,215886321,47.18181798154749
gtfsr-mybas-johor,60950329,13.320655590742295
gtfsr-ktmb,60210749,13.15902085269517
weather-forecast,30848384,6.741894679435859
weather-warning,11411968,2.4940783394388597
weather-warning-earthquake,7814213,1.7077912751824706
gtfsr-mybas-kangar,7437870,1.6255417521817541
data-catalogue,7435416,1.6250054320444227
gtfsr-mybas-alor-setar,6619607,1.4467108945887204
gtfsr-mybas-kuching,6222144,1.359845609036887
gtfsr-mybas-melaka,6144984,1.3429823401711571
gtfsr-mybas-kota-bharu,6074129,1.3274970250405032
gtfsr-mybas-kuala-terengganu,6072531,1.3271477831580842
gtfs-prasarana,5401409,1.1804744974179835
gtfsr-mybas-seremban-a,5272226,1.1522416350296794
gtfsr-mybas-seremban-b,5146616,1.1247896495161451
gtfsr-mybas-ipoh,5119647,1.1188955917395789
gtfs-ktmb,1627168,0.35561653024509443
gtfs-mybas-johor,1172963,0.25635031672567105
flood-warning,593758,0.12976543280427516
invalid,29964,0.006548613119397634
gtfs-mybas-kangar,8575,0.001874060789575314
gtfs-mybas-kuching,8555,0.0018696898023109988
gtfs-mybas-alor-setar,8339,0.0018224831398563903
gtfs-mybas-kota-bharu,7996,0.0017475207082733775
gtfs-mybas-melaka,7895,0.0017254472225885838
gtfs-mybas-kuala-terengganu,7711,0.0016852341397568802
gtfs-mybas-ipoh,7705,0.0016839228435775856
gtfs-mybas-seremban-b,6705,0.0014653734803618055
gtfs-mybas-seremban-a,6655,0.0014544460122010165
