date,state,sex,age,registrations
2021-02-23,Malaysia,female,0-12,165
2021-02-23,Malaysia,female,12-17,3238
2021-02-23,Malaysia,female,18-24,76335
2021-02-23,Malaysia,female,25-29,63047
2021-02-23,Malaysia,female,30-34,49370
2021-02-23,Malaysia,female,35-39,42049
2021-02-23,Malaysia,female,40-44,32663
2021-02-23,Malaysia,female,45-49,25553
2021-02-23,Malaysia,female,50-54,20857
2021-02-23,Malaysia,female,55-59,18147
2021-02-23,Malaysia,female,60-64,13920
2021-02-23,Malaysia,female,65-69,8058
2021-02-23,Malaysia,female,70-74,3728
2021-02-23,Malaysia,female,75-79,1228
2021-02-23,Malaysia,female,80-84,452
2021-02-23,Malaysia,female,85+,124
2021-02-23,Malaysia,male,0-12,138
2021-02-23,Malaysia,male,12-17,2713
2021-02-23,Malaysia,male,18-24,47219
2021-02-23,Malaysia,male,25-29,45330
2021-02-23,Malaysia,male,30-34,43917
2021-02-23,Malaysia,male,35-39,39229
2021-02-23,Malaysia,male,40-44,32371
2021-02-23,Malaysia,male,45-49,25274
2021-02-23,Malaysia,male,50-54,20492
2021-02-23,Malaysia,male,55-59,17780
2021-02-23,Malaysia,male,60-64,15415
2021-02-23,Malaysia,male,65-69,9764
2021-02-23,Malaysia,male,70-74,4839
2021-02-23,Malaysia,male,75-79,1723
2021-02-23,Malaysia,male,80-84,574
2021-02-23,Malaysia,male,85+,144
2021-02-24,Malaysia,female,0-12,283
2021-02-24,Malaysia,female,12-17,5188
2021-02-24,Malaysia,female,18-24,72825
2021-02-24,Malaysia,female,25-29,64045
2021-02-24,Malaysia,female,30-34,57643
2021-02-24,Malaysia,female,35-39,51279
2021-02-24,Malaysia,female,40-44,40927
2021-02-24,Malaysia,female,45-49,33315
2021-02-24,Malaysia,female,50-54,27637
2021-02-24,Malaysia,female,55-59,23728
2021-02-24,Malaysia,female,60-64,17984
2021-02-24,Malaysia,female,65-69,10919
2021-02-24,Malaysia,female,70-74,5364
2021-02-24,Malaysia,female,75-79,2106
2021-02-24,Malaysia,female,80-84,832
2021-02-24,Malaysia,female,85+,271
