category,subcategory,id,title,data_as_of,description,data_source,link_csv,link_parquet,link_editions,csv_bytes,csv_etag,csv_last_modified,parquet_bytes,parquet_etag,parquet_last_modified
"Demography","Population","population_malaysia","Population Table: Malaysia","2026","Population at national level from 1970 to 2026, by sex, age group and ethnicity. The preview table shows data for the latest year only, but you may download the data in full.","DOSM","https://storage.dosm.gov.my/population/population_malaysia.csv","https://storage.dosm.gov.my/population/population_malaysia.parquet",,,,,,,
"Demography","Population","population_state","Population Table: States","2026","Population at state level from 1970 to 2026, by sex, age group and ethnicity. The preview table shows data for the latest year only, but you may download the data in full.","DOSM","https://storage.dosm.gov.my/population/population_state.csv","https://storage.dosm.gov.my/population/population_state.parquet",,,,,,,
"Demography","Population","population_district","Population Table: Administrative Districts","2025","Population at district level from 2020 to 2024, by sex, age group and ethnicity. The preview table shows data for the latest year only, but you may download the data in full.","DOSM","https://storage.dosm.gov.my/population/population_district.csv","https://storage.dosm.gov.my/population/population_district.parquet",,,,,,,
"Demography","Population","population_parlimen","Population Table: Parliamentary Constituencies","2024","Population at parliamentary constituency level from 2020 to 2022, with breakdowns by sex and nationality. The preview table shows data for the latest year only, but you may download the data in full.","DOSM","https://storage.dosm.gov.my/population/population_parlimen.csv","https://storage.dosm.gov.my/population/population_parlimen.parquet",,,,,,,
"Demography","Population","population_dun","Population Table: State Legislative Assemblies (DUNs)","2024","Population at state legislative assembly (DUN) level from 2020 to 2022, with breakdowns by sex and nationality. The preview table shows data for the latest year only, but you may download the data in full.","DOSM","https://storage.dosm.gov.my/population/population_dun.csv","https://storage.dosm.gov.my/population/population_dun.parquet",,,,,,,
"Demography","Births","births","Daily Live Births","2023-07-31 23:59","Number of people born daily in Malaysia, based on registrations with JPN from 1920 to the present.","JPN","https://storage.data.gov.my/demography/births.csv","https://storage.data.gov.my/demography/births.parquet",,,,,,,
"Demography","Births","births_annual","Annual Live Births","2024","Annual number of births with signs of life upon delivery.","JPN;DOSM","https://storage.dosm.gov.my/demography/birth.csv","https://storage.dosm.gov.my/demography/birth.parquet",,,,,,,
"Demography","Births","births_annual_state","Annual Live Births by State","2024","Annual number of births with signs of life upon delivery, by state.","JPN;DOSM","https://storage.dosm.gov.my/demography/birth_state.csv","https://storage.dosm.gov.my/demography/birth_state.parquet",,,,,,,
"Demography","Births","births_annual_sex_ethnic","Annual Live Births by Sex & Ethnicity","2024","Annual number of births with signs of life upon delivery, with breakdowns by sex and ethnic group.","JPN;DOSM","https://storage.dosm.gov.my/demography/birth_sex_ethnic.csv","https://storage.dosm.gov.my/demography/birth_sex_ethnic.parquet",,,,,,,
"Demography","Births","births_annual_sex_ethnic_state","Annual Live Births by State, Sex, & Ethnicity","2024","Annual number of births with signs of life upon delivery, with breakdowns by sex, ethnic group and state.","JPN;DOSM","https://storage.dosm.gov.my/demography/birth_sex_ethnic_state.csv","https://storage.dosm.gov.my/demography/birth_sex_ethnic_state.parquet",,,,,,,
"Demography","Births","births_district_sex","Annual Live Births by District & Sex","2024","Annual number of births with signs of life upon delivery, by district and sex.","JPN;DOSM","https://storage.dosm.gov.my/demography/birth_district_sex.csv","https://storage.dosm.gov.my/demography/birth_district_sex.parquet",,,,,,,
"Demography","Births","stillbirths","Annual Stillbirths","2024","Annual number of stillbirths recorded by the Ministry of Health.","MOH;DOSM","https://storage.dosm.gov.my/demography/stillbirth.csv","https://storage.dosm.gov.my/demography/stillbirth.parquet",,,,,,,
"Demography","Births","stillbirths_state","Annual Stillbirths by State","2024","Annual number of stillbirths recorded by the Ministry of Health, by state.","MOH;DOSM","https://storage.dosm.gov.my/demography/stillbirth_state.csv","https://storage.dosm.gov.my/demography/stillbirth_state.parquet",,,,,,,
"Demography","Deaths","deaths","Annual Deaths","2024","Annual number of deaths registered with JPN.","JPN;DOSM","https://storage.dosm.gov.my/demography/death.csv","https://storage.dosm.gov.my/demography/death.parquet",,,,,,,
"Demography","Deaths","deaths_state","Annual Deaths by State","2024","Annual number of deaths registered with JPN, by state.","JPN;DOSM","https://storage.dosm.gov.my/demography/death_state.csv","https://storage.dosm.gov.my/demography/death_state.parquet",,,,,,,
"Demography","Deaths","deaths_sex_ethnic","Annual Deaths by Sex & Ethnicity","2024","Annual number of deaths, with breakdowns by sex and ethnic group.","JPN;DOSM","https://storage.dosm.gov.my/demography/death_sex_ethnic.csv","https://storage.dosm.gov.my/demography/death_sex_ethnic.parquet",,,,,,,
"Demography","Deaths","deaths_sex_ethnic_state","Annual Deaths by State, Sex, & Ethnicity","2024","Annual number of deaths, with breakdowns by sex, ethnic group and state.","JPN;DOSM","https://storage.dosm.gov.my/demography/death_sex_ethnic_state.csv","https://storage.dosm.gov.my/demography/death_sex_ethnic_state.parquet",,,,,,,
"Demography","Deaths","deaths_district_sex","Annual Deaths by District & Sex","2024","Annual number and rate of deaths by administrative district and sex.","JPN;DOSM","https://storage.dosm.gov.my/demography/death_district_sex.csv","https://storage.dosm.gov.my/demography/death_district_sex.parquet",,,,,,,
"Demography","Deaths","deaths_early_childhood","Annual Early Childhood Deaths","2024","Annual number of deaths aged less than 5 year old, broken down into perinatal, neonatal, infant and toddler deaths.","JPN;DOSM","https://storage.dosm.gov.my/demography/deaths_early_childhood.csv","https://storage.dosm.gov.my/demography/deaths_early_childhood.parquet",,,,,,,
"Demography","Deaths","deaths_early_childhood_sex","Annual Early Childhood Deaths by Sex","2024","Annual number of deaths aged less than 5 year old by sex, broken down into neonatal and infant deaths.","JPN;DOSM","https://storage.dosm.gov.my/demography/deaths_early_childhood_sex.csv","https://storage.dosm.gov.my/demography/deaths_early_childhood_sex.parquet",,,,,,,
"Demography","Deaths","deaths_early_childhood_state","Annual Early Childhood Deaths by State","2024","Annual number of deaths aged less than 5 year old by state, broken down into perinatal, neonatal, infant and toddler deaths.","JPN;DOSM","https://storage.dosm.gov.my/demography/deaths_early_childhood_state.csv","https://storage.dosm.gov.my/demography/deaths_early_childhood_state.parquet",,,,,,,
"Demography","Deaths","deaths_early_childhood_state_sex","Annual Early Childhood Deaths by State & Sex","2024","Annual number of deaths aged less than 5 year old by state and sex, broken down into neonatal and infant deaths.","JPN;DOSM","https://storage.dosm.gov.my/demography/deaths_early_childhood_state_sex.csv","https://storage.dosm.gov.my/demography/deaths_early_childhood_state_sex.parquet",,,,,,,
"Demography","Deaths","deaths_maternal","Annual Maternal Deaths","2024","Annual number of deaths of women during pregnancy or childbirth.","JPN;DOSM","https://storage.dosm.gov.my/demography/death_maternal.csv","https://storage.dosm.gov.my/demography/death_maternal.parquet",,,,,,,
"Demography","Deaths","deaths_maternal_state","Annual Maternal Deaths by State","2024","Annual number of deaths of women during pregnancy or childbirth, by state.","JPN;DOSM","https://storage.dosm.gov.my/demography/death_maternal_state.csv","https://storage.dosm.gov.my/demography/death_maternal_state.parquet",,,,,,,
"Demography","Marriage","marriages","Annual Marriages","2022-12-31 23:59","Number of marriages registered annually in Malaysia, including marriage rates per 1,000 unmarried population.","DOSM","https://storage.dosm.gov.my/demography/marriages.csv","https://storage.dosm.gov.my/demography/marriages.parquet",,,,,,,
"Demography","Marriage","marriages_age","Annual Marriage by Age Group","2022-12-31 23:59","Number of marriages registered annually in Malaysia by age group, including marriage rates per 1,000 unmarried population.","DOSM","https://storage.dosm.gov.my/demography/marriages_age.csv","https://storage.dosm.gov.my/demography/marriages_age.parquet",,,,,,,
"Demography","Marriage","marriages_state","Annual Marriages by State","2022-12-31 23:59","Number of marriages registered annually by state of residence, including marriage rates per 1,000 unmarried population.","DOSM","https://storage.dosm.gov.my/demography/marriages_state.csv","https://storage.dosm.gov.my/demography/marriages_state.parquet",,,,,,,
"Demography","Marriage","marriages_state_age","Annual Marriage by State & Age Group","2022-12-31 23:59","Number of marriages registered annually by state and age group, including marriage rates per 1,000 unmarried population.","DOSM","https://storage.dosm.gov.my/demography/marriages_state_age.csv","https://storage.dosm.gov.my/demography/marriages_state_age.parquet",,,,,,,
"Demography","Fertility","fertility","TFR and ASFR","2024","Total fertility rate (TFR) and age-specific fertility rates (ASFR) from 1958 to the present at national level.","DOSM","https://storage.dosm.gov.my/demography/fertility.csv","https://storage.dosm.gov.my/demography/fertility.parquet",,,,,,,
"Demography","Fertility","fertility_state","TFR and ASFR by State","2024","Total fertility rate (TFR) and age-specific fertility rates (ASFR) by state.","DOSM","https://storage.dosm.gov.my/demography/fertility_state.csv","https://storage.dosm.gov.my/demography/fertility_state.parquet",,,,,,,
"Demography","Migration","arrivals","Monthly Arrivals by Nationality & Sex","2024-10-31 23:59","Monthly foreign arrivals in Malaysia by nationality and sex.","Imigresen","https://storage.data.gov.my/demography/arrivals.csv","https://storage.data.gov.my/demography/arrivals.parquet",,,,,,,
"Demography","Migration","arrivals_soe","Monthly Arrivals by State of Entry, Nationality & Sex","2024-10-31 23:59","Monthly foreign arrivals in Malaysia by state of entry, nationality and sex. The table shows a preview of the full dataset using the latest month of data only.","Imigresen","https://storage.data.gov.my/demography/arrivals_soe.csv","https://storage.data.gov.my/demography/arrivals_soe.parquet",,,,,,,
"Demography","Migration","passports","Monthly Passport Issuances by State and Branch","2024-10-31 23:59","Monthly issuances of Malaysian passports by state and office.","Imigresen","https://storage.data.gov.my/demography/passports.csv","https://storage.data.gov.my/demography/passports.parquet",,,,,,,
"Households","Profile","hh_profile","Number of Households and Living Quarters","2024","Number of households and living quarters in Malaysia from 1970 to 2024.","DOSM","https://storage.dosm.gov.my/demography/hh_lq.csv","https://storage.dosm.gov.my/demography/hh_lq.parquet",,,,,,,
"Households","Profile","hh_profile_state","Number of Households and Living Quarters by State","2024","Number of households and living quarters by state from 1970 to 2024.","DOSM","https://storage.dosm.gov.my/demography/hh_lq_state.csv","https://storage.dosm.gov.my/demography/hh_lq_state.parquet",,,,,,,
